省份编码,省份,年份,房地产开发投资额(亿元),房地产开发住宅投资额(亿元),房地产开发别墅、高档公寓投资额(亿元),房地产开发办公楼投资额(亿元),房地产开发商业营业用房投资额(亿元),房地产开发其他投资额(亿元)
110000,北京市,2019,3838.3805,2039.755,165.6234,379.8523,259.2747,1159.4985
110000,北京市,2018,3873.3513,2026.0619,246.6818,522.16,315.0314,1010.098
110000,北京市,2017,3692.5416,1694.6697,157.1555,742.9272,357.6544,897.2903
110000,北京市,2016,4000.5729,1925.8648,187.7091,699.0757,484.1151,891.5173
110000,北京市,2015,4177.0481,1889.5385,243.1243,899.0697,463.6694,924.7705
110000,北京市,2014,3715.3341,1846.0805,163.7493,712.9843,380.8433,775.426
110000,北京市,2013,3483.4045,1724.561,135.6381,611.7479,317.5052,829.5904
110000,北京市,2012,3153.4419,1627.9851,181.5421,384.8067,275.8685,864.7816
110000,北京市,2011,3036.3118,1778.307,247.8279,363.8232,296.7169,597.4647
110000,北京市,2010,2901.07,1508.95,260.73,259.1,336.29,796.73
110000,北京市,2009,2337.7124,906.6168,163.2269,166.7239,200.7351,1063.6366
110000,北京市,2008,1908.7387,940.5586,178.4641,170.501,240.3637,557.3154
110000,北京市,2007,1995.8206,991.6637,203.8239,242.2185,267.3568,494.5816
110000,北京市,2006,1719.865,863.6238,173.1771,216.7424,225.9568,413.542
110000,北京市,2005,1525.0082,779.5336,138.8641,196.1721,112.9007,436.4018
110000,北京市,2004,1473.2859,775.989,,187.8924,94.7604,414.6441
110000,北京市,2003,1202.4763,632.9718,99.5141,142.7491,61.3455,365.4099
110000,北京市,2002,989.4132,586.741,82.8075,97.3262,57.6078,247.7382
110000,北京市,2001,783.8185,464.224,73.0503,71.9932,41.6677,205.9336
110000,北京市,2000,522.0737,288.2583,63.655,45.2191,30.6195,157.9768
120000,天津市,2019,2727.8199,2200.0095,112.5583,58.1033,168.9876,300.7195
120000,天津市,2018,2424.4892,1863.4979,92.3028,59.4447,146.1683,355.3783
120000,天津市,2017,2233.3936,1559.7031,70.0684,92.5785,189.3933,391.7187
120000,天津市,2016,2300.0107,1598.2672,92.7545,124.6437,252.4386,324.6612
120000,天津市,2015,1871.5464,1251.5275,51.6114,107.7004,249.0076,263.3109
120000,天津市,2014,1699.6496,1122.2553,59.0322,123.5819,217.933,235.8794
120000,天津市,2013,1480.8152,986.2785,63.9806,99.9098,165.2899,229.337
120000,天津市,2012,1259.9969,843.0526,62.3395,85.6968,155.3063,175.9412
120000,天津市,2011,1080.2492,689.2818,59.6685,109.8389,176.7896,104.3389
120000,天津市,2010,866.64,565.39,68.9,77.18,127.35,96.72
120000,天津市,2009,735.1836,494.8563,44.0182,32.8289,97.3219,110.1765
120000,天津市,2008,653.7248,459.3327,35.1336,30.9731,79.8714,83.5476
120000,天津市,2007,505.2956,342.8187,28.6624,34.5476,63.7558,64.1735
120000,天津市,2006,402.3184,311.3391,34.6048,23.7419,35.6585,31.5789
120000,天津市,2005,327.5403,234.924,31.1449,11.9477,41.7449,38.9237
120000,天津市,2004,263.9165,175.2377,,15.7504,28.2388,44.6896
120000,天津市,2003,211.3876,150.9252,17.6977,7.7808,24.2564,28.4252
120000,天津市,2002,175.8446,103.1788,14.0597,7.5122,14.7244,50.4292
120000,天津市,2001,161.2662,96.3985,8.7147,4.5157,15.6497,44.7023
120000,天津市,2000,133.9294,90.0198,8.2704,3.1251,7.1834,33.6011
130000,河北省,2019,4347.054,3455.7441,42.2949,141.4162,335.7113,414.1824
