年份,实物交易资金运用_净出口,实物交易资金运用_增加值,实物交易资金运用_劳动者报酬,实物交易资金运用_工资及工资性收入,实物交易资金运用_单位社会保险付款,实物交易资金运用_生产税净额,实物交易资金运用_生产税,实物交易资金运用_生产补贴,实物交易资金运用_财产收入,实物交易资金运用_利息,实物交易资金运用_红利,实物交易资金运用_地租,实物交易资金运用_其他财产收入,实物交易资金运用_初次分配总收入,实物交易资金运用_经常转移,实物交易资金运用_收入税,实物交易资金运用_社会保险缴款,实物交易资金运用_社会保险福利,实物交易资金运用_社会补助,实物交易资金运用_其他经常转移,实物交易资金运用_可支配总收入,实物交易资金运用_最终消费,实物交易资金运用_居民消费,实物交易资金运用_政府消费,实物交易资金运用_总储蓄,实物交易资金运用_资本转移,实物交易资金运用_投资性补助,实物交易资金运用_其他资本转移,实物交易资金运用_资本形成总额,实物交易资金运用_固定资本形成总额,实物交易资金运用_存货增加,实物交易资金运用_其他非金融资产获得减处置,实物交易资金运用_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,476220.237342643,,,95553.6922246562,,,169704.027176439,121067.963973332,35379.6491684013,7691.436976,5564.97705870646,,195400.633459319,49227.84647,61347.75,49586.7,15311.2321298458,19927.104859473,,,,,,11823.9053231103,11745.6665216678,78.2388014424875,402585.14774735,393847.895080943,8737.25266640653,,3501.29397950368
2017,,,424735.601757396,,,93844.283915112,,,155446.270494423,106068.6655001,36065.8888142503,7821.9878561837,5489.72832388901,,184180.564788885,44128.6648,58437.57,48652.99,13490.5172820562,19470.8227068292,,437152.0,317964.0,119188.0,,9922.07195532618,9884.90494472952,37.1670105966569,363955.0,349369.0,14586.0,,5068.83815372305
2016,,,386976.202060859,,,86545.4126052044,,,143956.455131472,99442.8123608409,32457.4871777187,6877.3873,5178.76829291255,,163440.069875324,39004.5419,50112.471,43604.8474,12564.6913470223,18153.5182283015,,399910.1,293443.1,106467.0,,9066.83262101247,9002.0361225834,64.7964984290725,329137.6,318083.6,11054.0,,-2437.8144701508
2015,,,357432.025853695,,,79668.7114526208,,,141032.656312021,100647.830818652,30204.1137518113,6743.0122,3437.69954155695,,150630.298452356,36025.3183210014,46354.0840013894,39117.6609268015,11687.5693385345,17445.6658646293,,362266.5,265980.1,96286.4,,12626.7878501184,8750.59887493405,3876.18897518434,312835.7,301503.0,11332.7,,-8396.60192447982
2014,,,328602.760376038,,,78643.1124359994,,,133533.246362606,100225.702934313,23715.7322156423,5869.4274,3722.38381265012,,133642.992149579,32362.8343,40438.81373,33680.572168,10672.2051321483,16488.5668194302,,328313.0,242540.0,85773.0,,12316.9192888046,8161.87595243448,4155.04333637012,302717.4,290053.0,12664.4,,-3207.92158031295
2013,,,299072.279678504,,,73536.4115246,,,119873.928989906,87877.793724,23563.1681254065,5127.9177,3305.04944049902,,121659.734182763,29030.3639,35993.5842,28743.9264,10090.9631662903,17800.8965164729,,301008.4,219762.5,81245.9,,11651.4771633488,7707.34359611097,3944.13356723779,274176.7,263027.9,11148.8,,-1718.44339430128
2012,,,256676.808411383,,,68866.0282853542,,,130019.451846312,103907.534126778,17606.9309466254,4411.210982584,4093.77579032463,,105843.866467649,25818.1619120047,31411.0283,23930.6977,8708.27953300119,15975.699022643,,261993.6,190584.6,71409.0,,9646.26115170991,6622.54401217583,3023.71713953408,252773.24,241756.84,11016.4,,-9929.14120687876
2011,,,222528.353703888,,,62270.8052059079,,,107178.042162116,82711.24605336,18179.7255844843,3075.524,3211.54652427159,,44438.8628911087,22823.75,,,7588.84553154888,14026.2673595599,,232111.5,168956.6,63154.9,,8656.32797540208,6219.44472476208,2436.88325064,228344.3,215682.0,12662.3,,484.948313902249
2010,,,190967.992555868,,,52672.5909182424,,,77405.6422732116,56850.276715,15378.6528496921,2428.6760257363,2748.03668278315,,72076.4060218468,17680.81,20584.5011,16207.243134,6137.51478653894,11466.3370013079,,194115.0,140758.6,53356.4,,6791.32735636832,5174.52257056832,1616.8047858,193603.9,183615.2,9988.7,,-1303.7010150401
2009,,,167098.092620806,,,41962.7575438905,,,63322.0459394261,41421.2564994131,17865.004404869,1733.808814,2301.97622114401,,59725.5440025389,15486.184512,16115.6,12302.6,6246.031731,9575.12775953887,,169274.8,123584.6,45690.2,,5556.97634893689,3817.29234893689,1739.684,164463.2,156679.8,7783.4,,-7872.29563563105
