年份,实物交易资金来源_净出口,实物交易资金来源_增加值,实物交易资金来源_劳动者报酬,实物交易资金来源_工资及工资性收入,实物交易资金来源_单位社会保险付款,实物交易资金来源_生产税净额,实物交易资金来源_生产税,实物交易资金来源_生产补贴,实物交易资金来源_财产收入,实物交易资金来源_利息,实物交易资金来源_红利,实物交易资金来源_地租,实物交易资金来源_其他财产收入,实物交易资金来源_初次分配总收入,实物交易资金来源_经常转移,实物交易资金来源_收入税,实物交易资金来源_社会保险缴款,实物交易资金来源_社会保险福利,实物交易资金来源_社会补助,实物交易资金来源_其他经常转移,实物交易资金来源_可支配总收入,实物交易资金来源_最终消费,实物交易资金来源_居民消费,实物交易资金来源_政府消费,实物交易资金来源_总储蓄,实物交易资金来源_资本转移,实物交易资金来源_投资性补助,实物交易资金来源_其他资本转移,实物交易资金来源_资本形成总额,实物交易资金来源_固定资本形成总额,实物交易资金来源_存货增加,实物交易资金来源_其他非金融资产获得减处置,实物交易资金来源_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,-7059.7435318837,919281.129066646,476220.237342643,,,95553.6922246562,,,169704.027176439,121067.963973332,35379.6491684013,7691.436976,5564.97705870646,914327.10167799,195400.633459319,49227.84647,61347.75,49586.7,15311.2321298458,19927.104859473,914193.761113759,,,,406086.441726853,11823.9053231103,11745.6665216678,78.2388014424875,,,,,
2017,-14578.44,,424735.601757396,,,93844.283915112,,,155446.270494423,106068.6655001,36065.8888142503,7821.9878561837,5489.72832388901,,184180.564788885,44128.6648,58437.57,48652.99,13490.5172820562,19470.8227068292,819295.911707024,,,,369023.838153723,9922.07195532618,9884.90494472952,37.1670105966569,,,,,
2016,-16975.5994,,386976.202060859,,,86545.4126052044,,,143956.455131472,99442.8123608409,32457.4871777187,6877.3873,5178.76829291255,,163440.069875324,39004.5419,50112.471,43604.8474,12564.6913470223,18153.5182283015,739961.862717465,,,,326699.785529849,9066.83262101247,9002.0361225834,64.7964984290725,,,,,
2015,-22346.4946725484,,357432.025853695,,,79668.7114526208,,,141032.656312021,100647.830818652,30204.1137518113,6743.0122,3437.69954155695,,150630.298452356,36025.3183210014,46354.0840013894,39117.6609268015,11687.5693385345,17445.6658646293,685655.860277758,,,,304439.09807552,12626.7878501184,8750.59887493405,3876.18897518434,,,,,
2014,-16151.57,,328602.760376038,,,78643.1124359994,,,133533.246578863,100225.70315057,23715.7322156423,5869.4274,3722.38381265012,,133642.992149579,32362.8343,40438.81373,33680.572168,10672.2051321483,16488.5668194302,644879.278299285,,,,299509.478419687,12316.9192888046,8161.87595243448,4155.04333637012,,,,,
2013,-14552.0992661429,588018.755871842,299072.279678504,,,73536.4115246,,,119873.928989906,87877.793724,23563.1681254065,5127.9177,3305.04944049902,,121659.734182763,29030.3639,35993.5842,28743.9264,10090.9631662903,17800.8965164729,582656.905328346,,,,272458.256605699,11651.4771633488,7707.34359611097,3944.13356723779,,,,,
2012,-14632.4,519470.099169899,256676.808411383,,,68866.0282853542,,,130019.451469534,103907.53375,17606.9309466254,4411.210982584,4093.77579032463,,105843.866467649,25818.1619120047,31411.0283,23930.6977,8708.27953300119,15975.699022643,518431.549566028,,,,242844.098793121,9646.26115170991,6622.54401217583,3023.71713953408,,,,,
2011,-12163.3,473104.048647262,222528.353703888,,,62270.8052059079,,,107178.041828756,82711.24572,18179.7255844843,3075.524,3211.54652427159,,44438.8628911087,22823.75,,,7588.84553154888,14026.2673595599,470145.444669974,,,,228829.248313902,8656.32797540208,6219.44472476208,2436.88325064,,,,,
2010,-15097.60101504,401512.8,190967.992555868,,,52672.5909182424,,,77405.6422732115,56850.276715,15378.6528496921,2428.6760257363,2748.03668278315,399759.54431409,72076.4060218468,17680.81,20584.5011,16207.243134,6137.51478653894,11466.3370013079,402513.713615745,,,,192300.19898496,6791.32735636832,5174.52257056832,1616.8047858,,,,,
2009,-15037.1077173648,340902.812581147,167098.092620806,,,41962.7575438905,,,63322.045440013,41421.256,17865.004404869,1733.808814,2301.97622114401,340319.951541934,59725.5440025389,15486.184512,16115.6,12302.6,6246.031731,9575.12775953887,342482.489268583,,,,156590.904364369,5556.97634893689,3817.29234893689,1739.684,,,,,
2008,-24226.7682600739,314045.425793764,150701.731330878,,,39556.3366666667,,,62165.0936999923,43538.17006,15231.3795168624,1337.06,2058.48412312994,316030.337526745,53136.8495280885,14897.94,13696.1,9925.1,5156.87594,9460.83358808848,319027.493379762,,,,136396.15753369,3949.24814728007,3162.56915715007,786.67899013,,,,,
2007,-23423.0596286863,265810.30584365,128108.491182388,,,35304.8632,,,48052.8173486705,31292.06,13407.8668486705,965.6565,2387.234,266421.999212496,41729.2949866359,11964.83,10812.3,7887.9,3364.59583,7699.66915663589,269243.210697663,,,,110154.346282124,3179.20472040924,2507.65918760924,671.5455328,,,,,
2006,-16654.5988233383,216314.380142192,106554.741342974,,,27656.6856117,,,36912.0366299894,24986.86,10164.411263578,579.864,1180.90136641136,215904.359776761,32611.6928395063,8814.8529,8643.2,6477.4,2807.754,5868.48593950633,218141.812916908,,,,86555.8813188533,2530.16247702759,1965.08540190759,565.07707512,,,,,
2005,-10209.0533722173,184937.4,93296.872025937,,,23685.681399,,,24829.300334787,15451.939,8677.65153330417,306.0631,393.646701482856,183617.408975621,26652.6796423803,6949.2665,6975.2,5400.8,2241.91,5085.50314238028,185572.364120577,,,,75370.8200856719,2267.02691161863,1781.96573481963,485.061176799,,,,,
2004,-4235.60129406663,159878.3,81065.144465712,,,20608.8261,,,18317.319462144,13186.32,4763.409462144,175.1,192.49,159453.566820752,21946.8390876126,5408.8443,5780.3,4627.4,2020.72,4109.57478761265,161348.78184535,,,,68090.0987059334,1575.22725628342,1494.47405628342,80.7532,,,,,
2003,-2964.91485281719,135822.8,71828.46030538,,,17516.1702,,,15971.22765742,11557.62,4095.19765742,126.15,192.26,134977.01566547,17808.3717826318,4195.8818,4882.9,4016.4,1519.85034782609,3193.33963480569,136421.247805692,,,,55172.3851471828,4078.62349745726,4041.34349745726,37.28,,,,,
2002,-3094.1,120332.7,64580.16645304,,,14761.7561,,,14348.61355416,10037.0783,4085.19525416,110.53,115.81,119095.70001727,14767.6432626351,3542.89,4048.7,3471.5,1164.77421550095,2539.77904713419,120170.410323011,,,,45422.11,3676.21090519552,3655.70090519552,20.51,,,,,
2001,-2324.7,109655.2,57600.3232473,,,12968.1697732936,,,13875.51864438,10089.87,3583.53864438,92.84,109.27,108068.22935257,12191.4546750804,3363.0008,3101.9,2748.0,1160.5988830443,1817.9549920361,108771.130088881,,,,40396.6,3459.56015631822,3449.23015631822,10.33,,,,,
2000,-2390.2,99214.6,52299.111688864,,,11975.3053093033,,,14103.671931328,10510.0919,3398.240031328,84.17,111.17,98000.527853856,9535.0870862662,2118.8631,2644.9,2385.6,980.564076560261,1405.15990970594,98522.9958851383,,,,35308.4,2946.39263232725,2938.00263232725,8.39,,,,,
