年份,地级区划数,地级市数,县级区划数,市辖区数,县级市数,县数,自治县数,乡镇级区划数,镇数,乡数,街道办事处
2019,333,293,2846,965,387,1323,117,38755,21013,9221,8519
2018,333,293,2851,970,375,1335,117,39945,21297,10253,8393
2017,334,294,2851,962,363,1355,117,39888,21116,10529,8241
2016,334,293,2851,954,360,1366,117,39862,20883,10872,8105
2015,334,291,2850,921,361,1397,117,39789,20515,11315,7957
2014,333,288,2854,897,361,1425,117,40381,20401,12282,7696
2013,333,286,2853,872,368,1442,117,40497,20117,12812,7566
2012,333,285,2852,860,368,1453,117,40446,19881,13281,7282
2011,332,284,2853,857,369,1456,117,40466,19683,13587,7194
2010,333,283,2856,853,370,1461,117,40906,19410,14571,6923
2009,333,283,2858,855,367,1464,117,40858,19322,14848,6686
2008,333,283,2859,856,368,1463,117,40828,19234,15067,6524
2007,333,283,2859,856,368,1463,117,40813,19249,15120,6434
2006,333,283,2860,856,369,1463,117,41040,19369,15306,6355
2005,333,283,2862,852,374,1464,117,41636,19522,15951,6152
2004,333,283,2862,852,374,1464,117,43258,19883,17451,5904
2003,333,282,2861,845,374,1470,117,44067,20226,18064,5751
2002,332,275,2860,830,381,1478,116,44850,20601,18639,5576
2001,332,265,2861,808,393,1489,116,45303,20374,19341,5510
2000,333,259,2861,787,400,1503,116,49668,20312,23199,5902
