年份,粮食人均占有量,棉花人均占有量,油料人均占有量,糖料人均占有量,茶叶人均产量,水果人均占有量,猪牛羊肉人均占有量,水产品人均占有量,人均原煤产量,人均原油产量,人均纱产量,人均布产量,人均机制纸及纸板产量,人均水泥产量,人均粗钢产量,人均发电量
2019,474.949071451445,4.21332750961873,24.9906478917376,87.1,1.99,196,38.7,46.4,2.75,136.66,20.2269884776224,39.7211085449548,89.541121745134,1677.24192653836,712.175880447731,5368.35
2018,472.375952130081,4.38187719802115,24.6522239041307,85.7123072224763,,184.446045913036,46.8,46.4,2.66,135.94,22.1067974409972,50.1511420016802,86.491782326797,1605.5489578023,667.062819067587,5145.39
2017,477.214084473536,4.07713876636889,25.0667268197904,82.0750238042973,,182.068573751461,47.298847694604,46.4898380331724,2.54152805492663,138.132408873373,23.0193415296506,49.8451018649086,90.4649107938214,1681.22403788242,628.061194681169,4763.75545497495
2016,479.039592603889,3.87537465938927,24.6618942839067,81.0641405109583,1.74,177.020823251275,47.166279082458,46.2729045852328,2.47384531630236,144.839567262533,27.0740172558236,65.7701472076248,89.3561525098555,1748.29258739433,585.790891913554,4448.62243706774
2015,481.762766247905,4.30812866142323,24.7259133127975,81.7900710397432,1.64,178.852549649308,48.8778406695157,45.0902482668267,2.7326030833856,156.47073409081,25.8018406966059,65.0938580242412,85.63738860285,1720.50312860081,586.211548839719,4240.43790325404
2014,468.857535840454,4.61744192286687,24.7159581987789,88.6095132132703,1.54,170.806603155874,50.3137783718206,43.8024080854461,2.83961385942665,154.976067787168,24.7692905363308,65.5060948346002,86.3890578844364,1826.66979410234,602.744544701562,4247.29480828575
2013,464.484552828093,4.62771639345966,24.7,92.4944109128623,1.32,167.588318724119,49.1415993186294,42.1526537884717,2.92769894944673,154.64976646186,23.5748279774271,66.1266557633087,83.4184973994018,1782.28565324375,599.050302789197,4001.55814878663
2012,453.267575127413,4.89231136969831,24.3253681039328,92.1881916563633,1.32506051329131,163.556575228968,47.8479138990896,40.585381472667,2.92081343308445,153.608327564698,22.0923302447999,62.8520872587816,81.1177949129892,1636.07683451853,535.933130721591,3692.58270742099
2011,437.824683626105,4.8498691392399,23.9002748218922,86.7706850098837,1.2076315311763,156.373331380355,45.7026238103072,41.7048970245805,2.80064815159248,150.934433425338,20.2202167945065,60.5700341484827,81.9183412318749,1561.79729639246,509.833944633332,3506.37140752755
2010,417.964409679536,4.31364928884028,23.5984311863983,84.4981169669221,1.10268631723736,150.222726482561,46.1664183210944,40.2,2.56293226084974,151.762907367469,19.2330976634497,59.8039179041717,73.503724662762,1406.82116012125,476.360557821044,3145.05814062144
2009,405.186516246343,4.68416200634672,23.5822959830204,88.2389440995737,1.020568333759,143.425847018798,44.7539800556577,38.4293282158362,2.34015459038805,142.33853642414,17.0248478611992,56.5945044544266,67.3431936661509,1234.90362513709,429.805071886784,2790.3272088097
2008,403.382681347491,5.45979558743992,22.9249275596181,98.183781044612,0.95,137.991377674368,42.9767673722779,36.9575368680902,2.19182020979047,143.765433263755,15.5189018142614,54.5840237646783,63.4451989385915,1074.66268575591,379.764919922546,2617.19617560799
2007,382.536067207742,5.7646359468034,21.1474543202576,91.679872656217,0.884371451226776,133.997719990311,40.3658743751038,36.02,2.09418219343873,141.376675506588,14.8603373309616,51.238158109395,59.1283002689916,1032.84618915915,371.26759922148,2490.01468261647
2006,379.889147548774,5.74574453661535,20.1394206611344,79.7849748030249,0.784171103415661,130.447799591158,42.7789801042633,34.96,1.96010068496285,140.932785159647,13.2946865799149,45.6552912999039,52.3487055880154,943.360742017666,319.711751155589,2185.87512013547
2005,371.262160929641,4.38297993702636,23.602729405087,72.4995382444083,0.717069071579787,123.646909612493,41.98,33.9,1.81415181173872,139.104178811401,11.1261620593379,37.154450342098,47.5977970729911,819.844675237014,270.947596109594,1917.78909581812
2004,362.224017900199,4.87896887140019,23.6553401616419,73.8433470285284,0.644431070732789,118.364153309029,40.39,32.76,1.63772219971838,135.696853962927,9.96346662037305,37.1969214744517,41.7666415909573,745.95984028702,218.28281542349,1699.98572613468
2003,334.286915243713,3.77189459795095,21.8177615647314,74.8342587705681,0.596196833281589,112.677829866501,39.5,31.64,1.42416850357032,131.635982614095,7.63411983855945,27.4386836386215,37.6383886991618,669.10982614095,172.567525613164,1482.90515367898
2002,356.964620431115,3.8395954076851,22.6273424867229,80.3864250624805,0.582141518275539,54.2953787878788,38.49,30.89,1.21087183692596,130.427991252734,6.63855045298344,25.1788503592627,36.4494689159638,566.229303342705,142.42900656045,1291.78381755701
2001,355.888430239415,4.2,22.5,68.0514843810198,0.551715217989543,52.3489405197154,37.99,29.85,1.15699689428785,128.913551126312,5.98089397334591,22.8014309863585,29.6974485984983,519.746746864803,119.223493336478,1164.2898140504
2000,366.037326406076,3.49848373850132,23.4,60.4709201715447,0.54118457682088,49.3024328294968,37.57,29.35,1.09625785553342,129.09408424379,5.20336278209631,21.9380744389753,19.696272507316,472.816983395966,101.770489725932,1073.61926749007
