年份,外商投资企业注册资本,农、林、牧、渔业外商投资企业注册资本,采矿业外商投资企业注册资本,制造业外商投资企业注册资本,电力、燃气及水的生产和供应业外商投资企业注册资本,建筑业外商投资企业注册资本,交通运输、仓储和邮政业外商投资企业注册资本,信息传输、计算机服务和软件业外商投资企业注册资本,批发和零售业外商投资企业注册资本,住宿和餐饮业外商投资企业注册资本,金融业外商投资企业注册资本,房地产业外商投资企业注册资本,租赁和商务服务业外商投资企业注册资本,科学研究、技术服务和地质勘查业外商投资企业注册资本,水利、环境和公共设施管理业外商投资企业注册资本,居民服务和其他服务业外商投资企业注册资本,教育外商投资企业注册资本,卫生、社会保障和社会福利业外商投资企业注册资本,文化、体育和娱乐业外商投资企业注册资本,其他外商投资企业注册资本
2019,5015974.5447,117698.8044,12615.4522,1297624.8009,126007.2442,106959.2339,128372.3001,210861.1593,327767.9545,41635.5554,413186.7687,540869.8292,929733.9687,625591.0871,32460.3373,32211.4845,3396.3376,17579.2203,42876.895,8526.1114
2018,4273859.505,115761.5469,12664.0571,1212812.4013,119194.7458,85417.9917,119306.0315,150326.8351,291102.2648,38188.186,378999.3347,489871.2363,820229.6096,333965.2552,30754.8515,18631.5274,3303.2334,12095.7249,37757.5406,3477.1312
2017,3710718.5529,71052.6994,12300.3603,1142461.4629,130600.677,79955.7449,114728.7705,120784.3771,240494.5975,36883.181,302794.5084,463219.2817,670139.1238,244144.2536,24699.6419,14227.5198,2790.4414,9658.7468,27309.462,2473.7029
2016,3124335.7579,52526.4445,11864.6637,1070920.1233,102756.0374,68425.843,97796.3123,96913.603,200792.1311,36045.1257,228830.5117,400881.6216,517730.171,178809.227,16673.3887,10748.8266,717.2271,5879.3394,24269.6545,1755.5063
2015,2668158.1139,36293.2081,11922.7116,1025345.976,88646.8095,56548.598,90378.5639,81954.0332,167812.0449,23460.864,147684.4098,378827.4177,383472.2795,129810.7547,14101.1847,9577.4806,582.5119,3561.5343,16589.2377,1588.4938
2014,2183510.3793,31356.2298,10967.9754,968276.4377,69241.4071,37068.457,78049.766,43497.8929,133138.2076,21167.4069,93658.4289,350325.2748,210273.6955,98674.3743,12777.0217,7782.0791,623.9826,2281.6362,13574.6601,775.4457
2013,2028029.804,27904.084,10644.6286,923868.4995,69385.2148,50205.579,76291.0624,55719.605,110897.9373,21106.7219,81988.0819,312312.7241,165854.0115,83413.5229,11357.1984,7104.9237,648.0366,1905.8986,12300.5438,5121.53
2012,1881414.8401,,,,,,,,,,,,,,,,,,,
2011,1729429.6158,23255.7502,10205.3198,854870.6205,61319.6925,47030.2987,59997.7103,56427.3176,74994.9547,20948.9423,49793.0842,246620.9481,122659.3835,64276.7075,10415.6606,6032.4094,547.6351,1438.1992,11749.1311,6845.8503
2010,1573800.0,20700.0,9400.0,798200.0,57300.0,44200.0,52100.0,64100.0,60400.0,20900.0,39000.0,217100.0,104500.0,55200.0,9300.0,5600.0,500.0,1200.0,8200.0,5800.0
2009,1403500.0,17876.7866,8839.1139,745058.1235,52963.6623,23533.4503,48434.1663,60896.7861,49287.6523,23129.5341,29438.1379,183889.0689,88727.7062,42530.8279,8822.6186,4801.4642,571.2949,1322.2582,7607.8684,5750.7809
2008,1300553.4816,16260.1978,6966.6729,721740.645,44909.8513,23278.0327,45100.4723,48094.6771,43016.1733,21476.5209,23256.3865,172952.4839,70551.6834,34664.0368,7371.1028,5194.7825,512.8617,1289.7996,8047.4253,5869.6759
2007,1155400.0,14746.254,5887.919721,674943.187426,39681.713951,18969.2836,38963.798123,41757.748306,29744.882125,19840.582086,18471.3558,145979.41156,54784.419511,26732.21861,5918.5134,5144.7151,378.2625,1227.7072,8094.57116785,4152.0965
2006,946500.0,12700.0,5200.0,592400.0,33200.0,17100.0,30600.0,20700.0,22300.0,15300.0,5000.0,113400.0,26500.0,18800.0,6000.0,6500.0,300.0,1200.0,7800.0,11400.0
2005,812030.0,11540.0,4200.0,511670.0,29870.0,15830.0,24710.0,,,,3760.0,90560.0,,,,,,,,17210.0
2004,728500.0,,,,,,,,,,,,,,,,,,,
2003,622641.0,7787.4702,2702.2371,385077.3389,22646.9333,13988.5037,30287.9481,,,,3350.82,74816.5065,,,,,,,,13835.423
2002,552119.0,6847.0,2520.0,339340.0,21394.0,12367.0,22788.0,,,,2372.0,69384.0,,,,,,,,14247.0
2001,505793.0,6180.0,2317.0,305250.0,20039.0,11862.0,20432.0,,,,1965.0,72244.0,,,,,,,,9079.0
2000,483950.0,6301.0,1980.0,289030.0,19658.0,12033.0,17267.0,,,,1886.0,74303.0,,,,,,,,
