年份,外商投资企业投资总额,农、林、牧、渔业外商投资企业投资总额,采矿业外商投资企业投资总额,制造业外商投资企业投资总额,电力、燃气及水的生产和供应业外商投资企业投资总额,建筑业外商投资企业投资总额,交通运输、仓储和邮政业外商投资企业投资总额,信息传输、计算机服务和软件业外商投资企业投资总额,批发和零售业外商投资企业投资总额,住宿和餐饮业外商投资企业投资总额,金融业外商投资企业投资总额,房地产业外商投资企业投资总额,租赁和商务服务业外商投资企业投资总额,科学研究、技术服务和地质勘查业外商投资企业投资总额,水利、环境和公共设施管理业外商投资企业投资总额,居民服务和其他服务业外商投资企业投资总额,教育外商投资企业投资总额,卫生、社会保障和社会福利业外商投资企业投资总额,文化、体育和娱乐业外商投资企业投资总额,其他外商投资企业投资总额
2019,8840026.3585,961685.2361,21472.8815,2420454.0819,296106.5756,152633.5462,225166.7911,340444.1034,521044.0275,59173.0958,486358.1942,928253.2317,1202966.7666,990872.4561,62918.5965,50279.9152,8502.2194,34846.6564,64822.0425,12063.267
2018,7773797.7443,954883.3743,22140.6831,2308370.4016,279248.6095,130819.6792,206080.7408,257039.5843,487868.9067,56860.9747,420348.4858,855604.9949,1011901.1209,592363.0126,58990.6913,38045.3027,8349.1792,25786.3278,53128.8045,5966.8704
2017,6899243.5612,913556.5074,21450.3083,2157564.4023,298544.1624,125070.6659,197124.1075,215445.5623,414040.5845,54915.7578,322042.9629,797534.1048,811224.906,427563.1728,48097.7876,24387.6414,7396.206,19185.4992,40242.2395,3856.9826
2016,5124007.8329,81377.1533,19935.9576,2022281.5196,236402.6844,109063.6164,171650.5223,167511.3966,353917.876,53187.3254,237570.6986,657585.0624,596389.0139,311755.3552,32900.5153,18174.9795,1155.3347,13588.5653,36841.7323,2718.5241
2015,4539020.2474,60864.3347,19526.0873,1990427.7947,213452.3822,88778.8615,159258.2819,141746.6928,308397.4869,41136.8244,154286.4036,599740.7781,450490.0409,228321.5316,27519.6808,16167.1291,1040.4458,7818.2656,27671.4698,2375.7557
2014,3797728.6231,52214.4917,18337.815,1832859.9603,177863.5627,66933.8602,137500.9451,69980.589,236797.2796,37450.3364,100156.9115,558723.0626,262787.9587,177506.4771,24917.1657,13169.229,1092.7993,5287.6064,22975.2073,1173.3655
2013,3517608.4657,44435.8265,17171.8024,1734205.036,169454.9678,76122.9504,131875.7554,97992.1444,196207.8441,37514.5577,87139.2699,499055.2357,209723.6959,147439.3579,21342.0612,11711.2077,1061.6785,3830.934,20374.2885,10949.8517
2012,3261047.7725,,,,,,,,,,,,,,,,,,,
2011,2993124.0213,37498.31,16548.901,1559487.3504,147555.7045,71250.7631,107836.3614,91220.8143,129513.9998,37805.4921,53623.4447,399850.8638,160132.9434,113994.0552,19275.6005,10172.2057,951.9569,2901.631,19220.4987,14283.1248
2010,2705900.0,32500.0,15100.0,1430600.0,139600.0,64400.0,90700.0,106300.0,103200.0,37200.0,43700.0,357000.0,136700.0,91400.0,17000.0,9300.0,900.0,2500.0,14200.0,13400.0
2009,2500000.0,27902.0494,13757.7277,1388522.5744,130608.9625,40820.7815,84293.5202,102472.6819,83703.7502,39237.6583,39984.9553,308968.0958,117110.9763,69868.4185,15081.8997,7908.0087,947.4762,2460.9156,13254.8607,13059.9994
2008,2324130.4661,25081.0864,11115.4547,1351960.2446,112249.042,38951.9467,77361.4119,70023.2099,73962.9723,37294.816,27645.8991,296320.5255,95749.4392,58624.9329,13424.5402,8289.3302,841.5654,2521.031,14103.0945,8609.9235
2007,2108800.0,23229.4635,9568.4446,1264627.92770492,101967.108551,34741.7489,67913.98337445,59970.250175,52447.7705688,35103.3144,20076.2214,271239.5041,75873.621722,47590.381048,11348.6713,8160.7538,578.3264,2308.13012,14645.77778,7398.0048
2006,1707600.0,25710.0,8100.0,1041200.0,86600.0,30800.0,57200.0,34900.0,37800.0,28200.0,5900.0,227100.0,39600.0,32200.0,10200.0,10000.0,500.0,2200.0,13800.0,15400.0
2005,1463990.0,23460.0,6380.0,895500.0,75950.0,28100.0,45910.0,,,,4670.0,185160.0,,,,,,,,25070.0
2004,1311200.0,,,,,,,,,,,,,,,,,,,
2003,1117351.0,11929.7302,3929.4209,670808.7496,56224.3016,25548.6789,56725.7023,,,,3603.26,156168.685,,,,,,,,19683.4957
2002,981893.0,10371.0,3658.0,572761.0,53898.0,22937.0,44588.0,,,,2530.0,148033.0,,,,,,,,21407.0
2001,875011.0,9135.0,3282.0,491322.0,49505.0,21547.0,41442.0,,,,2089.0,149094.0,,,,,,,,13994.0
2000,824675.0,9215.0,2770.0,453632.0,49105.0,22131.0,33205.0,,,,1999.0,151247.0,,,,,,,,
