年份,外商投资企业外方注册资本,农、林、牧、渔业外商投资企业外方注册资本,采矿业外商投资企业外方注册资本,制造业外商投资企业外方注册资本,电力、燃气及水的生产和供应业外商投资企业外方注册资本,建筑业外商投资企业外方注册资本,交通运输、仓储和邮政业外商投资企业外方注册资本,信息传输、计算机服务和软件业外商投资企业外方注册资本,批发和零售业外商投资企业外方注册资本,住宿和餐饮业外商投资企业外方注册资本,金融业外商投资企业外方注册资本,房地产业外商投资企业外方注册资本,租赁和商务服务业外商投资企业外方注册资本,科学研究、技术服务和地质勘查业外商投资企业外方注册资本,水利、环境和公共设施管理业外商投资企业外方注册资本,居民服务和其他服务业外商投资企业外方注册资本,教育外商投资企业外方注册资本,卫生、社会保障和社会福利业外商投资企业外方注册资本,文化、体育和娱乐业外商投资企业外方注册资本,其他外商投资企业外方注册资本
2019,3789448.4562,103644.5856,8125.691,993522.9288,69751.185,55957.7591,82108.7113,188054.9984,271169.9832,35980.6416,236681.8601,434134.2882,700580.6808,504243.4402,24261.9761,23227.1671,3031.5973,12688.6507,35788.4664,6493.8453
2018,3234192.8052,103455.1301,8865.9889,939462.9875,67184.0606,50375.6813,75056.3402,132549.783,242187.1418,33261.402,221627.109,398500.1712,612243.9534,263621.7097,22938.2648,15617.1472,2937.8838,9285.7322,32353.0066,2669.3119
2017,2826618.5647,58859.3941,8875.1933,893563.5377,79976.3346,45713.167,72703.0552,110044.7408,200835.5147,31923.0712,184205.4339,380004.4962,501971.9562,193487.8509,18114.7336,11713.1753,2579.4797,7311.7409,22796.6307,1939.0587
2016,2391845.2183,45217.5461,8574.879,846813.5568,56156.2749,37879.7882,57565.5967,85212.4166,168053.131,31431.4481,137342.6582,335982.1919,394076.3798,140002.8457,13331.7171,8928.4319,633.701,4626.4354,18674.3303,1341.8896
2015,2075674.0641,29977.7959,8691.8156,815269.0725,51427.7937,30791.1186,50511.4564,73911.3277,140353.1604,18485.6898,95164.5397,320498.1515,302874.3198,101543.3452,11241.3378,7921.3398,519.6139,2803.4838,12670.2742,1018.4278
2014,1741388.6408,27027.0346,7592.0404,774005.6274,42665.4817,28615.4838,44030.7808,39099.9029,115940.0809,17247.3641,67878.9936,298062.8538,172684.3033,77283.2443,10249.7855,6379.1308,514.1095,1810.1969,9796.5395,505.687
2013,1607711.9312,24450.5352,7236.8425,740148.345,40167.4672,27209.9712,41225.856,51887.1351,97297.0197,17086.663,55967.4702,267812.4361,142050.9671,65757.2932,9078.9943,5839.4867,544.6987,1463.7555,8986.0546,3500.9399
2012,1490349.7496,,,,,,,,,,,,,,,,,,,
2011,1381028.4977,20198.2967,7034.5752,689543.507,36841.2824,24345.6887,33773.0602,54051.9557,64981.7389,16734.3655,33413.2884,210476.0724,108210.9753,53831.3429,8807.3589,4950.1144,444.7644,1042.3613,8361.5193,3986.2299
2010,1259000.0,17900.0,6300.0,642400.0,33300.0,21300.0,29000.0,61900.0,52500.0,16700.0,27500.0,185300.0,92900.0,48000.0,7700.0,4600.0,400.0,900.0,6500.0,3900.0
2009,1136900.0,15257.1404,5647.5579,601269.7086,31294.5883,18047.047,27193.0177,58979.7144,42610.546,18886.9561,22335.4807,157555.0537,78627.606,37182.2479,6882.6605,4008.8203,474.9554,961.6651,6156.3336,3574.2225
2008,1038850.5708,13620.2845,4705.4574,575484.2427,26151.8166,16561.0584,24938.4282,45871.6615,36263.5877,16967.4292,17535.4949,146958.8489,62739.2368,29580.0138,5916.6985,4078.5036,390.9645,898.403,6484.8641,3703.5765
2007,921100.0,,,,,,,,,,,,,,,,,,,
2006,740600.0,,,,,,,,,,,,,,,,,,,
2005,631930.0,,,,,,,,,,,,,,,,,,,
2004,558000.0,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
