年份,旅行社数,星级饭店总数,入境游客,外国人入境游客,港澳同胞入境游客,台湾同胞入境游客,入境过夜游客,国内居民出境人数,国内居民因私出境人数,国内游客,国际旅游外汇收入,国内旅游总花费
2019,38943,10130,14530.78,3188.34,10729.01,613.42,6572.52,16920.54,16211.43,600600,131254,57250.92
2018,37309,8962,14119.8277,3054.29,10451.9258,613.6081,6289.57,16199.34,15501.69,553900,127103.014561019,51278.29
2017,29717,9566,13948.24,2917.0,10444.59,587.13,6073.84,14272.74,13581.56,500100,123417,45660.77
2016,27939,11685,13844.38,2815.12,10456.26,573.0,5926.73,13513.0,12850.0,443500,120000,39389.8
2015,27621,12327,13382.04,2598.54,10233.64,549.86,5688.57,12786.0,12172.0,399000,113650,34195.05
2014,26650,12803,12849.83,2636.08,9677.16,536.59,5562.2,11659.32,11002.91,361100,105380,30311.86
2013,26054,13293,12907.78,2629.0294,9762.5,516.25,5568.59,9818.52,9197.08,326200,51664,26276.1
2012,24944,12807,13240.53,2719.16,9987.35,534.02,5772.49,8318.17,7705.51,295700,50028,22706.2
2011,23690,13513,13542.35,2711.2,10304.85,526.3,5758.07,7025.0,6411.79,264100,48464,19305.39
2010,22784,13991,13376.22,2612.69,10249.48,514.06,5566.45,5738.65,5150.79,210300,45814,12579.77
2009,20399,14237,12647.59,2193.75,10005.44,448.4,5087.52,4765.62,4220.97,190200,39675,10183.7
2008,20110,14099,13002.74,2432.53,10131.65,438.56,5304.92401959,4584.44,4013.12,171200,40843,8749.29591841918
2007,18943,13583,13187.33,2610.9668,10113.57,462.79,5471.98,4095.4,3492.4,161000,41919,7770.6
2006,17957,12751,12494.21,2221.03,9831.84,441.35,4991.3,3452.36,2879.91,139400,33949,6229.7
2005,16245,11828,12029.23,2025.5137,9592.79,410.92,4680.9,3102.63,2514.0,121200,29296,5285.86
2004,14927,10888,10903.82,1693.2506,8842.0462,368.525,4176.1,2885.0,2298.0,110200,25739,4710.71
2003,13361,9751,9166.21,1140.2855,7752.73,273.19,3297.1,2022.19,1481.09,87000,17406,3442.27
2002,11552,8880,9790.8,1343.9497,8080.82,366.06,3680.3,1660.23,1006.14,87800,20385,3878.36
2001,10532,7358,8901.3,1122.6384,7434.45,344.2,3316.7,1213.44,694.67,78400,17792,3522.37
2000,8993,10481,8344.3881,1016.0432,7009.93,310.86,3122.9,1047.26,563.09,74400,16224,3175.54
