年份,国内实物交易资金来源_净出口,国内实物交易资金来源_增加值,国内实物交易资金来源_劳动者报酬,国内实物交易资金来源_工资及工资性收入,国内实物交易资金来源_单位社会保险付款,国内实物交易资金来源_生产税净额,国内实物交易资金来源_生产税,国内实物交易资金来源_生产补贴,国内实物交易资金来源_财产收入,国内实物交易资金来源_利息,国内实物交易资金来源_红利,国内实物交易资金来源_地租,国内实物交易资金来源_其他财产收入,国内实物交易资金来源_初次分配总收入,国内实物交易资金来源_经常转移,国内实物交易资金来源_收入税,国内实物交易资金来源_社会保险缴款,国内实物交易资金来源_社会保险福利,国内实物交易资金来源_社会补助,国内实物交易资金来源_其他经常转移,国内实物交易资金来源_可支配总收入,国内实物交易资金来源_最终消费,国内实物交易资金来源_居民消费,国内实物交易资金来源_政府消费,国内实物交易资金来源_总储蓄,国内实物交易资金来源_资本转移,国内实物交易资金来源_投资性补助,国内实物交易资金来源_其他资本转移,国内实物交易资金来源_资本形成总额,国内实物交易资金来源_固定资本形成总额,国内实物交易资金来源_存货增加,国内实物交易资金来源_其他非金融资产获得减处置,国内实物交易资金来源_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,919281.129066646,475562.812842451,,,95553.6922246562,,,149086.959777521,118813.037560539,17037.4512381083,7691.436976,5545.0340028736,914327.10167799,193434.255908894,49227.84647,61347.75,49586.7,15311.2321298458,17960.7273090481,914193.761113759,,,,408058.81730585,11765.7316863483,11745.6665216678,20.0651646805716,,,,,
2017,,820754.278153723,424279.362420531,,,93844.283915112,,,135837.57966927,104610.2767001,17932.9344435913,7821.9878561837,5472.38066939564,820099.52521805,181474.585243596,44128.6648,58437.57,48652.99,13490.5172820562,16764.8431615401,819295.911707024,,,,382143.911707024,9900.30924559875,9884.90494472952,15.404300869229,,,,,
2016,,743585.484929849,386563.584624267,,,86545.4126052044,,,126395.384464991,98213.9868608409,16139.5807766577,6877.3873,5164.42952749256,740598.679313318,160753.294473162,39004.5419,50112.471,43604.8474,12564.6913470223,15466.7428261395,739961.862717465,,,,340051.762717465,9023.04747655164,9002.0361225834,21.0113539682428,,,,,
2015,,689052.092748069,357075.812697445,,,79668.7114526208,,,124909.547938446,98983.2286346523,15755.4075622363,6743.0122,3427.89954155695,686449.640728866,147600.132574688,36025.3183210014,46354.0840013894,39117.6609268015,11687.5693385345,14415.4999869614,685655.860277758,,,,323389.360277758,12614.521868624,8750.59887493405,3863.92299368999,,,,,
2014,,643974.04820343,328347.367692841,,,78643.1124359994,,,119899.306578863,99142.9117945705,11164.5835716423,5869.4274,3722.38381265012,644791.096112528,131205.942149579,32362.8343,40438.81373,33680.572168,10672.2051321483,14051.5168194302,644879.278299285,,,,316566.278299285,12195.6662207627,8161.87595243448,4033.79026832817,,,,,
2013,,588018.755871842,298966.094365619,,,73536.4115246,,,103747.02333554,86991.670668,8322.38552704081,5127.9177,3305.04944049902,583196.724839458,117827.669110653,29030.3639,35993.5842,28743.9264,10090.9631662903,13968.8314443631,582656.905328346,,,,281648.505328346,11565.2422287926,7707.34359611097,3857.89863268166,,,,,
2012,,519470.099169899,256563.937218192,,,68866.0282853542,,,118332.753070656,103402.66,6425.1062977476,4411.210982584,4093.77579032463,518214.742565182,102831.01489855,25818.1619120047,31411.0283,23930.6977,8708.27953300119,12962.8474535439,518431.549566028,,,,256437.949566028,9628.73356025431,6622.54401217583,3006.18954807848,,,,,
2011,,473104.048647262,222423.840815893,,,62270.8052059079,,,93422.9287160519,82429.577452,4706.28073978027,3075.524,3211.54652427159,468562.377316206,90014.2641904087,22823.75,27217.5839,20363.89,7588.84553154888,12020.1947588599,470145.444669974,,,,238033.944669974,8645.07377475408,6219.44472476208,2425.629049992,,,,,
2010,,401512.8,190869.465529643,,,52672.5909182424,,,66109.4887784015,56457.645715,4475.1303548821,2428.6760257363,2748.03668278315,399759.54431409,71478.2902821319,17680.81,20584.5011,16207.243134,6137.51478653894,10868.221261593,402513.713615745,,,,208398.713615745,6778.80039661832,5174.52257056832,1604.27782605,,,,,
