年份,国内实物交易资金运用_净出口,国内实物交易资金运用_增加值,国内实物交易资金运用_劳动者报酬,国内实物交易资金运用_工资及工资性收入,国内实物交易资金运用_单位社会保险付款,国内实物交易资金运用_生产税净额,国内实物交易资金运用_生产税,国内实物交易资金运用_生产补贴,国内实物交易资金运用_财产收入,国内实物交易资金运用_利息,国内实物交易资金运用_红利,国内实物交易资金运用_地租,国内实物交易资金运用_其他财产收入,国内实物交易资金运用_初次分配总收入,国内实物交易资金运用_经常转移,国内实物交易资金运用_收入税,国内实物交易资金运用_社会保险缴款,国内实物交易资金运用_社会保险福利,国内实物交易资金运用_社会补助,国内实物交易资金运用_其他经常转移,国内实物交易资金运用_可支配总收入,国内实物交易资金运用_最终消费,国内实物交易资金运用_居民消费,国内实物交易资金运用_政府消费,国内实物交易资金运用_总储蓄,国内实物交易资金运用_资本转移,国内实物交易资金运用_投资性补助,国内实物交易资金运用_其他资本转移,国内实物交易资金运用_资本形成总额,国内实物交易资金运用_固定资本形成总额,国内实物交易资金运用_存货增加,国内实物交易资金运用_其他非金融资产获得减处置,国内实物交易资金运用_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,475027.44066003,,,95553.6922246562,,,154576.359348598,112552.462333579,28904.5240322981,7691.436976,5427.93600672166,,193567.596473125,49227.84647,61347.75,49586.7,15311.2321298458,18094.0678732789,,,,,,11803.8401584297,11745.6665216678,58.1736367619158,402585.14774735,393847.895080943,8737.25266640653,,5435.56108641904
2017,,,423268.028026868,,,93844.283915112,,,137503.666998608,95353.5589000997,28885.3379639537,7821.9878561837,5442.78227837045,,182278.198754622,44128.6648,58437.57,48652.99,13490.5172820562,17568.4566725657,,437152.0,317964.0,119188.0,,9906.66765445695,9884.90494472952,21.7627097274279,363955.0,349369.0,14586.0,,18182.553298166
2016,,,385191.667426362,,,86545.4126052044,,,130754.107279427,90973.8798608409,27761.3501498649,6877.3873,5141.48996872153,,161390.111069015,39004.5419,50112.471,43604.8474,12564.6913470223,16103.5594219922,,399910.1,293443.1,106467.0,,9045.82126704423,9002.0361225834,43.7851444608298,329137.6,318083.6,11054.0,,10891.3889269729
2015,,,355373.296066097,,,79668.7114526208,,,129214.516588996,92949.7775546523,26135.3272927864,6743.0122,3386.39954155695,,148393.913025796,36025.3183210014,46354.0840013894,39117.6609268015,11687.5693385345,15209.2804380693,,362266.5,265980.1,96286.4,,12595.0399564284,8750.59887493405,3844.44108149435,312835.7,301503.0,11332.7,,10573.1421899538
2014,,,326764.9,,,78643.1124359994,,,120664.726362606,91312.9301303135,19759.9850196423,5869.4274,3722.38381265012,,131117.759962821,32362.8343,40438.81373,33680.572168,10672.2051321483,13963.3346326726,,328313.0,242540.0,85773.0,,12197.8139204764,8161.87595243448,4035.93796804195,302717.4,290053.0,12664.4,,13846.7305995717
2013,,,297970.314898727,,,73536.4115246,,,109564.833834815,79947.463056,21184.4036383164,5127.9177,3305.04944049902,,118367.488621765,29030.3639,35993.5842,28743.9264,10090.9631662903,14508.650955475,,301008.4,219762.5,81245.9,,11374.9931306671,7707.34359611097,3667.64953455613,274176.7,263027.9,11148.8,,7662.0544264717
2012,,,255599.540941391,,,68866.0282853542,,,120552.505952174,96298.1941267778,15749.3250524875,4411.210982584,4093.77579032463,,102614.207897704,25818.1619120047,31411.0283,23930.6977,8708.27953300119,12746.0404526982,,261993.6,190584.6,71409.0,,9359.13160363143,6622.54401217583,2736.5875914556,252773.24,241756.84,11016.4,,3934.31152265047
2011,,,221458.235728482,,,62270.8052059079,,,98930.2051345199,76005.13860136,16637.9960088883,3075.524,3211.54652427159,,88431.1968366399,22823.75,27217.5839,20363.89,7588.84553154888,10437.127405091,,232111.5,168956.6,63154.9,,8293.30892541008,6219.44472476208,2073.864200648,228344.3,215682.0,12662.3,,10041.4095193184
2010,,,190044.900760373,,,52672.5909182424,,,68687.3092335816,49529.9425,13980.6540250621,2428.6760257363,2748.03668278315,,68724.120980477,17680.81,20584.5011,16207.243134,6137.51478653894,8114.05195993803,,194115.0,140758.6,53356.4,,6465.34953031832,5174.52257056832,1290.82695975,193603.9,183615.2,9988.7,,15108.2644820448
