省份编码,省份,年份,私营企业户数(万户),私营企业就业人数(万人),私营企业投资者就业人数(万人),城镇私营企业就业人数(万人),城镇私营企业投资者就业人数(万人),乡村私营企业就业人数(万人),乡村私营企业投资者就业人数(万人)
110000,北京市,2019,146.4755,1115.8615,,673.5615,,442.3,
110000,北京市,2018,147.5462,1123.6657,,710.0647,,413.601,
110000,北京市,2017,137.5611,1054.7207,,688.5997,,366.121,
110000,北京市,2016,120.9704,951.3227,,633.7911,,317.5316,
110000,北京市,2015,103.7789,848.5995,,581.971,,266.6285,
110000,北京市,2014,84.8099,725.5948,151.6754,497.6767,106.876,227.9181,44.7994
110000,北京市,2013,67.3,527.8964,126.705,355.7368,89.8375,172.1596,36.8675
110000,北京市,2012,60.0354,485.6422,114.551,306.1807,78.272,179.4615,36.279
110000,北京市,2011,54.4022,447.76,104.2142,281.1186,70.5418,166.6414,33.6724
110000,北京市,2010,49.6492,411.8563,95.6234,257.9731,64.4656,153.8832,31.1578
110000,北京市,2009,43.229,366.1891,85.0752,229.5791,57.3872,136.61,27.688
110000,北京市,2008,38.3762,335.4737,81.4153,217.1724,57.5923,118.3013,23.823
110000,北京市,2007,33.6679,295.4267,75.1851,186.4741,52.6568,108.9526,22.5283
110000,北京市,2006,30.4742,328.6468,71.635,204.0034,49.2481,124.6434,22.3869
110000,北京市,2005,26.0371,294.5165,63.8605,173.5084,42.3048,121.0081,21.5557
110000,北京市,2004,22.4659,272.7845,57.1433,175.2048,40.988,97.5797,16.1553
110000,北京市,2003,18.6805,267.3204,48.1469,160.5505,34.6791,106.7699,13.4678
110000,北京市,2002,15.1,171.4,30.6,124.5,22.4,46.9,8.2
110000,北京市,2001,12.4,8.8047,1.0852,4.0915,0.5716,4.7132,0.5136
110000,北京市,2000,10.3,9.0785,1.0544,4.3246,0.5894,4.7539,0.465
120000,天津市,2019,55.3738,100.6542,,90.0182,,10.636,
120000,天津市,2018,49.3041,97.2301,,87.3093,,9.9208,
120000,天津市,2017,43.1917,143.037,,126.233,,16.804,
120000,天津市,2016,37.092,133.7643,,119.1067,,14.6576,
120000,天津市,2015,29.2413,117.4858,,105.8303,,11.6555,
120000,天津市,2014,22.931,106.1271,47.4838,95.8308,42.5298,10.2963,4.954
120000,天津市,2013,19.0,101.804,40.7458,91.8364,36.2628,9.9676,4.483
120000,天津市,2012,17.3197,100.969,36.581,92.4981,33.6269,8.4709,2.9541
120000,天津市,2011,15.9424,101.7562,33.6621,93.4741,31.0742,8.2821,2.5879
120000,天津市,2010,14.2639,100.9814,29.6148,93.0037,27.4151,7.9777,2.1997
120000,天津市,2009,12.6089,91.1558,17.1754,83.8742,15.8163,7.2816,1.3591
120000,天津市,2008,11.2938,96.1461,18.2705,88.5155,16.8228,7.6306,1.4477
120000,天津市,2007,9.4115,98.5826,19.4949,41.4205,9.2083,57.1621,10.2866
120000,天津市,2006,8.592,96.9675,20.6192,47.8006,11.1856,49.1669,9.4336
120000,天津市,2005,7.732,88.7081,19.0244,44.5062,10.4356,44.2019,8.5888
120000,天津市,2004,6.9644,76.6554,17.2086,41.9782,9.953,34.6772,7.2556
120000,天津市,2003,5.9076,66.1849,14.6845,42.4548,10.0354,23.7301,4.6491
120000,天津市,2002,4.7,51.2,11.3,35.8,8.6,15.4,2.7
120000,天津市,2001,4.0,46.3637,9.7602,34.9863,7.7853,11.3774,1.9749
120000,天津市,2000,3.4,37.9551,7.8364,27.4613,5.9793,10.4938,1.8571
130000,河北省,2019,155.8407,431.7749,,253.5118,,178.2631,
130000,河北省,2018,135.3911,384.4322,,227.8925,,156.5397,
130000,河北省,2017,112.8312,343.2557,,206.1627,,137.093,
130000,河北省,2016,91.5659,300.8251,,184.6354,,116.1897,
130000,河北省,2015,70.8269,244.8516,,154.2985,,90.5531,
130000,河北省,2014,54.5479,206.3228,102.8041,141.1129,78.4084,65.2099,24.3957
130000,河北省,2013,40.0,204.2977,79.8767,108.956,52.7752,95.3417,27.1015
130000,河北省,2012,33.8976,250.3727,71.4171,138.5531,53.2404,111.8196,18.1767
130000,河北省,2011,30.4434,236.7921,64.7052,146.7442,48.7334,90.0479,15.9718
130000,河北省,2010,26.5701,214.3288,56.3842,133.4105,42.9654,80.9183,13.4188
130000,河北省,2009,24.7164,262.1278,52.5788,110.2124,30.5792,151.9154,21.9996
130000,河北省,2008,21.2355,281.5385,47.631,147.5411,26.6909,133.9974,20.9401
130000,河北省,2007,18.8385,259.4562,43.8672,118.0715,24.3932,141.3847,19.474
130000,河北省,2006,15.7514,248.9874,39.2564,91.5846,19.2172,157.4028,20.0392
130000,河北省,2005,12.6801,241.71,36.8492,72.3473,12.7527,169.3627,24.0965
130000,河北省,2004,10.7782,223.9782,29.9466,63.0604,11.6533,160.9178,18.2933
130000,河北省,2003,8.6031,181.6717,21.3052,58.4158,8.9074,123.2559,12.3978
130000,河北省,2002,7.5,165.8,19.1,54.1,7.6,111.7,11.5
130000,河北省,2001,7.4,164.5098,20.299,45.5404,6.2575,118.9694,14.0415
130000,河北省,2000,8.9,201.4943,23.0845,43.9985,5.4937,157.4958,17.5908
140000,山西省,2019,60.4648,276.9668,,123.2816,,153.6852,
140000,山西省,2018,54.8341,274.8564,,132.378,,142.4784,
140000,山西省,2017,45.452,262.8235,,134.5334,,128.2901,
140000,山西省,2016,38.7244,247.4292,,136.4004,,111.0288,
140000,山西省,2015,32.0809,234.4011,,131.6253,,102.7758,
140000,山西省,2014,26.5789,242.8332,54.3913,137.9086,28.6995,104.9246,25.6918
140000,山西省,2013,22.0,216.1656,46.1659,124.5071,25.7575,91.6585,20.4084
140000,山西省,2012,20.2836,194.584,42.7267,105.3212,25.7375,89.2628,16.9892
140000,山西省,2011,18.3302,134.3212,39.2949,70.3269,25.5411,63.9943,13.7538
140000,山西省,2010,15.8676,118.7764,35.2043,67.0329,24.3815,51.7435,10.8228
140000,山西省,2009,13.9263,96.9449,31.4238,44.4229,19.2263,52.522,12.1975
140000,山西省,2008,12.806,125.4396,30.2566,60.5839,18.0726,64.8557,12.184
140000,山西省,2007,10.8523,110.0605,26.9294,48.5918,15.9641,61.4687,10.9653
140000,山西省,2006,8.7658,105.0173,20.4916,45.3116,11.0325,59.7057,9.4591
140000,山西省,2005,7.1296,82.2913,16.1022,39.0401,9.0706,43.2512,7.0316
