省份编码,省份,年份,城镇单位就业人员平均工资(元),城镇单位在岗职工平均工资(元),城镇国有单位就业人员平均工资(元),城镇集体单位就业人员平均工资(元),城镇其他单位就业人员平均工资(元),城镇单位就业人员平均货币工资指数(上年=100),城镇单位在岗职工平均货币工资指数(上年=100),国有城镇单位就业人员平均货币工资指数(上年=100),城镇集体单位就业人员平均货币工资指数(上年=100),其他城镇单位就业人员平均货币工资指数(上年=100),城镇单位就业人员平均实际工资指数(上年=100),城镇单位在岗职工平均实际工资指数(上年=100),国有城镇单位就业人员平均实际工资指数(上年=100),城镇集体单位就业人员平均实际工资指数(上年=100),其他城镇单位就业人员平均实际工资指数(上年=100)
110000,北京市,2019,166803,173205,189849,68765,162770,114.432034905259,115.590985231209,117.105441715294,103.857365090393,113.913597267809,111.315209051808,112.442592637363,113.915799333943,101.028565263028,110.810892283861
110000,北京市,2018,145766,149843,162118,66211,142889,110.7,111.0,111.0,113.8,110.6,108.423114593536,108.71694417238,108.71694417238,111.459353574927,108.325171400588
110000,北京市,2017,131700,134994,146019,58177,129187,109.81588953372,109.97564134942,116.424943589089,98.3550295857988,107.970748015044,107.980225696873,108.13730712824,114.478803922408,96.7109435455249,106.165927251764
110000,北京市,2016,119928,122749,125419,59150,119650,107.66496094802,108.557303688767,108.967141045023,118.973389383913,106.776015777685,105.450500438806,106.324489411134,106.725897203744,116.526336321168,104.579839155421
110000,北京市,2015,111390,113073,115098,49717,112057,108.919701177299,109.354932301741,112.249117400378,109.268131868132,107.596067059705,107.310050420984,107.738849558365,110.590263448649,107.653331889785,106.005977398724
110000,北京市,2014,102268,103400,102538,45500,104146,110.0,110.0,108.9,107.1,110.5,107.696863174583,107.737512242899,106.643083670598,104.851895890502,108.220079069468
110000,北京市,2013,93006,93997,94173,42502,94256,109.8,110.2,107.9,110.2,110.1,107.017543859649,107.407407407407,105.165692007797,107.407407407407,107.309941520468
110000,北京市,2012,84742,85306.0233697701,87299,38552,85613,112.3,112.5,111.5,118.4,112.3,108.75652395281,108.950213220758,107.981766881018,114.664046625225,108.75652395281
110000,北京市,2011,75482,75834.61,78270,32574,76251,115.844562448203,115.454531613964,116.122427785113,122.105184241107,115.102798659542,110.013829485473,109.643429832824,110.277709197639,115.95933926031,109.309400436412
110000,北京市,2010,65158,65683,67403,26677,66246,112.8,113.0,111.4,113.8,113.0,110.2,110.4,108.8,111.1,110.4
110000,北京市,2009,57779,58140,60495,23450,58624,103.5,103.2,106.7,96.8,103.3,105.120644983714,104.8,108.370751881761,98.3157336659276,104.917513302586
110000,北京市,2008,55844,56328,56677,24227,56732,121.9,121.1,117.3,119.7,124.0,,115.265480387212,,,
110000,北京市,2007,45823,46507,48328,20235,45744,115.5,115.9,117.0,115.3,114.0,,110.909090909091,,,
110000,北京市,2006,39684,40117,41313,17550,40127,117.896613190731,117.332046444971,110.589715448243,120.172555464256,122.491529045453,,115.598075315242,,,
110000,北京市,2005,,34191,,,,,115.2,,,,,113.497536945813,,,
110000,北京市,2004,,29674,,,,,117.2,,,,,113.455953533398,,,
110000,北京市,2003,,25312,,,,,115.8,,,,,114.767096134787,,,
110000,北京市,2002,,21852,,,,,114.1,,,,,115.3,,,
110000,北京市,2001,,19155,,,,,117.2,,,,,116.385302879841,,,
110000,北京市,2000,,16350,,,,,116.3,,,,,115.376984126984,,,
120000,天津市,2019,108002,111602,136864,49819,99969,107.218234704311,107.380858454167,104.244769253033,95.3546682999656,108.825194313209,104.297893681237,104.456087990435,101.405417561316,92.7574594357641,105.861083962266
120000,天津市,2018,100731,103931,131291,52246,91862,106.6,107.2,107.2,104.0,106.7,104.407443682664,104.995102840353,104.995102840353,101.860920666014,104.505386875612
120000,天津市,2017,94534,96965,122417,50215,86103,109.534789409652,110.430950048972,113.643705904196,103.870180373986,107.07064426676,107.703824394938,108.585004964574,111.744056936279,102.133904005886,105.280869485506
120000,天津市,2016,86305,87806,107720,48344,80417,107.760019977525,107.755933534595,115.035080787262,101.963596481978,104.939189894561,105.543604287488,105.539601894804,112.669031133459,99.8664020391553,102.780793236593
120000,天津市,2015,80090,81486,93641,47413,76632,110.054553199676,110.35631576809,111.1413107983,105.488808792774,109.844619001204,108.428131231208,108.725434254276,109.49882837271,103.92986087958,108.221299508575
120000,天津市,2014,72773,73839,84254,44946,69764,107.4,107.2,111.0,109.4,106.0,105.169019822221,104.995102840353,108.750619768432,107.12402662785,103.848335225475
120000,天津市,2013,67773,68864,75881,41094,65797,110.2,110.7,111.2,101.5,110.9,107.407407407407,107.894736842105,108.382066276803,98.9278752436647,108.089668615984
120000,天津市,2012,61514,65398.4300808487,68231,40494,59326,110.5,110.2,106.4,115.0,113.0,107.567404952014,107.275366748524,103.576216170989,111.947978004358,110.001056647761
120000,天津市,2011,55658,55636.33,64153,35213,52489,108.096875060693,106.634820535091,113.274476913569,93.4378814413841,108.097699610767,102.656101672073,101.267635835793,107.573102482022,88.7349301437645,102.656884720576
120000,天津市,2010,51489,52963,56635,37686,48557,117.2,117.7,118.2,129.9,116.1,113.2,113.7,114.1,125.4,112.1
120000,天津市,2009,43937,44992,47895,29018,41806,109.9,107.8,111.5,115.6,108.1,110.98185108437,108.9,112.597601418629,116.737961650166,109.16413195833
120000,天津市,2008,39990,41748,42962,25113,38673,120.0,119.5,124.5,116.6,116.0,,113.373758272727,,,
120000,天津市,2007,33312,34938,34509,21539,33352,120.6,121.8,119.0,121.3,121.7,,116.555023923445,,,
120000,天津市,2006,27628,28682,29005,17752,27406,114.534449879778,113.497685093586,117.600551410963,120.819437827537,110.592792865502,,111.820379402547,,,
120000,天津市,2005,,25271,,,,,116.2,,,,,114.48275862069,,,
120000,天津市,2004,,21754,,,,,116.7,,,,,112.97192642788,,,
120000,天津市,2003,,18648,,,,,114.7,,,,,113.676907829534,,,
120000,天津市,2002,,16258,,,,,113.6,,,,,114.7,,,
120000,天津市,2001,,14308,,,,,114.6,,,,,113.803376365442,,,
120000,天津市,2000,,12480,,,,,112.9,,,,,112.003968253968,,,
130000,河北省,2019,72956,75775,74806,47914,72420,106.168779195832,105.782251197074,105.117756168849,93.9600737341648,108.089552238806,103.277022564039,102.901022565247,102.254626623394,91.400849935958,105.145478831523
130000,河北省,2018,68717,71633,71164,50994,67000,109.0,109.8,110.3,109.5,107.6,106.758080313418,107.541625857003,108.031341821743,107.247796278159,105.386875612145
130000,河北省,2017,63036,65266,64522,46587,62276,113.91910940832,114.527874778458,109.804121781454,106.443210638152,117.668398677374,112.014856842006,112.613446193174,107.968654652364,104.66392393132,115.701473625736
130000,河北省,2016,55334,56987,58761,43767,52925,108.666365546631,108.735140910912,111.530577382986,107.702340231808,106.094016237346,106.431308077014,106.498668864752,109.236608602337,105.487110902849,103.911867029722
130000,河北省,2015,50921,52409,52686,40637,49885,112.871835793767,113.34371418067,121.533528638324,111.769074206502,106.129265594417,111.20377910716,111.668683921842,119.737466638743,110.117314489165,104.560852802382
130000,河北省,2014,45114,46239,43351,36358,47004,108.7,108.7,109.3,110.0,107.9,106.469945463004,106.464250734574,107.090782826187,107.723586810862,105.643256719722
130000,河北省,2013,41501,42532,39648,33057,43578,107.4,107.6,101.2,115.6,112.3,104.678362573099,104.873294346979,98.635477582846,112.670565302144,109.454191033138
130000,河北省,2012,38658,39542,39177,28597,38822,109.5,109.9,109.2,115.4,109.1,106.658942099447,107.048563805746,106.366725819722,112.405862267362,106.269320393148
130000,河北省,2011,35309,35973,35872,24788,35575,112.266700581857,111.350832662663,112.180629827689,113.576174112257,111.335398867086,106.616049935287,105.746279831589,106.53431132734,107.859614541554,105.731622855732
130000,河北省,2010,31451,32306,31977,21825,31953,113.2,113.8,110.8,121.2,117.7,110.1,110.7,107.8,117.9,114.5
130000,河北省,2009,27774,28383,28871,18005,27153,114.4,114.6,114.4,119.6,113.6,115.760182140147,116.0,115.760182140147,121.022008601062,114.950670376929
130000,河北省,2008,24276,24756,25233,15050,23892,123.0,124.3,121.6,122.3,125.6,,118.15465807867,,,
130000,河北省,2007,19742,19911,20754,12304,19016,120.0,120.0,121.7,120.0,114.3,,114.832535885167,,,
130000,河北省,2006,16456,16590,17057,10255,16632,112.84372214222,112.803426939553,112.246643853646,113.830613830614,113.824254037777,,111.136381221234,,,
130000,河北省,2005,,14707,,,,,113.8,,,,,112.228796844181,,,
130000,河北省,2004,,12925,,,,,115.5,,,,,111.810261374637,,,
130000,河北省,2003,,11189,,,,,111.5,,,,,110.505450941526,,,
130000,河北省,2002,,10032,,,,,114.9,,,,,116.1,,,
130000,河北省,2001,,8730,,,,,112.2,,,,,111.42005958292,,,
130000,河北省,2000,,7781,,,,,110.8,,,,,109.920634920635,,,
140000,山西省,2019,69551,72207,68447,52354,70904,105.51299361318,106.706172693552,103.478668400206,101.473039500717,106.55205578264,102.639098845506,103.799778884779,100.660183268682,98.7091823936937,103.649859710739
140000,山西省,2018,65917,67669,66146,51594,66544,109.8,109.9,104.8,106.7,114.5,107.541625857003,107.639569049951,102.644466209598,104.505386875612,112.144955925563
140000,山西省,2017,60061,61547,63133,48337,58102,111.835024671818,111.954524783993,110.430295609585,108.524921418949,113.498202844194,109.965609313489,110.083111881999,108.584361464686,106.710837186774,111.60098608082
140000,山西省,2016,53705,54975,57170,44540,51192,103.67160203077,103.804758308157,106.598795472768,104.441213712892,100.646835617246,101.539277209374,101.669694719057,104.406263930233,102.293059464145,98.5767244047467
140000,山西省,2015,51803,52960,53631,42646,50863,105.787334844493,105.95390524968,116.988416988417,109.796349218609,96.6370907985484,104.22397521625,104.388083989832,115.259524126519,108.173743072521,95.2089564517719
140000,山西省,2014,48969,49984,45843,38841,52633,105.5,105.4,108.7,106.7,103.0,103.350361270391,103.232125367287,106.461405911542,104.485472199093,100.90913507491
140000,山西省,2013,46407,47417,42175,36409,51086,104.9,105.5,103.2,111.1,101.1,102.24171539961,102.826510721248,100.584795321637,108.284600389864,98.5380116959064
140000,山西省,2012,44236,44943,40881,32780,50526,112.8,112.6,111.9,121.2,109.9,110.10848621826,109.913258405816,109.229961062263,118.308054340896,107.277682937826
140000,山西省,2011,39230,39903,36542,27038,45992,118.673805850501,118.957190555688,111.872397746755,125.297743176236,128.243593675933,112.700670323362,112.969791600843,106.241593301761,118.991209094241,121.788787916366
140000,山西省,2010,33057,33544,32664,21579,35863,117.8,117.8,113.1,119.1,126.2,114.3,114.3,109.7,115.5,122.4
140000,山西省,2009,28066,28469,28872,18115,28423,110.1,110.2,110.1,108.7,108.8,111.158899678336,111.3,111.158899678336,109.745435013943,109.846396775685
140000,山西省,2008,25489,25828,26222,16663,26129,119.6,120.0,118.6,119.1,121.9,,112.144344724239,,,
140000,山西省,2007,21315,21525,22107,13987,21442,117.7,117.6,119.2,116.4,112.9,,112.535885167464,,,
140000,山西省,2006,18106,18300,18540,12014,18992,117.016738835391,116.970278044104,116.883116883117,119.352274985098,115.896747421737,,115.241653245422,,,
140000,山西省,2005,,15645,,,,,120.9,,,,,118.879056047198,,,
140000,山西省,2004,,12943,,,,,120.6,,,,,116.74733785092,,,
140000,山西省,2003,,10729,,,,,114.7,,,,,113.676907829534,,,
140000,山西省,2002,,9357,,,,,115.2,,,,,116.4,,,
140000,山西省,2001,,8122,,,,,117.4,,,,,116.583912611718,,,
140000,山西省,2000,,6918,,,,,114.1,,,,,113.194444444444,,,
150000,内蒙古自治区,2019,80563,83277,81973,82188,79165,109.112209656667,110.153304850465,109.588107110868,104.989652793746,109.457310750086,106.140281767186,107.153020282553,106.603217033918,102.130012445278,106.475983219928
150000,内蒙古自治区,2018,73835,75601,74801,78282,72325,110.7,111.7,106.3,115.4,117.8,108.423114593536,109.402546523017,104.11361410382,113.026444662096,115.37708129285
150000,内蒙古自治区,2017,66679,67688,70361,67837,61393,109.189906168634,109.184759815466,106.554298608272,110.244909235695,112.771858927259,107.364706163849,107.35964583625,104.773154973718,108.402073978068,110.886783605958
150000,内蒙古自治区,2016,61067,61994,66033,61533,54440,106.881946267612,107.126317608433,107.738619676946,107.571413586938,105.131027557306,104.683590859561,104.922935953411,105.5226441498,105.358877166442,102.968685168762
150000,内蒙古自治区,2015,57135,57870,61290,57202,51783,106.301629828087,106.26147631289,108.855498721228,106.390655804784,102.295490014026,104.730669781366,104.691109667872,107.246796769682,104.818380103235,100.783734003966
150000,内蒙古自治区,2014,53748,54460,56304,53766,50621,106.0,106.0,104.3,105.6,108.4,103.784293803086,103.819784524976,102.165617499106,103.393028195378,106.212133038245
150000,内蒙古自治区,2013,50723,51388,53977,50932,46680,108.9,109.2,109.5,112.3,112.2,106.140350877193,106.432748538012,106.72514619883,109.454191033138,109.356725146199
150000,内蒙古自治区,2012,46557,47053,49278,45344,41598,113.2,113.4,112.5,121.3,114.5,109.591672219057,109.785297081635,108.913985200035,117.43347915346,110.850233825813
