省份编码,省份,年份,个体户数(万户),个体就业人数(万人),城镇就业人数(万人),乡村个体就业人数(万人)
110000,北京市,2019,44.1197,71.6114,34.999,36.6124
110000,北京市,2018,48.8966,78.758,40.2188,38.5392
110000,北京市,2017,54.2445,86.6552,45.6492,41.006
110000,北京市,2016,60.8142,95.4138,51.3611,44.0527
110000,北京市,2015,65.9357,103.1314,56.4268,46.7046
110000,北京市,2014,65.3319,102.9973,55.6606,47.3367
110000,北京市,2013,66.4,112.3814,64.7972,47.5842
110000,北京市,2012,69.1066,106.6883,50.8443,55.844
110000,北京市,2011,76.2701,111.0474,59.3293,51.7181
110000,北京市,2010,79.5648,114.1244,65.2761,48.8483
110000,北京市,2009,80.7886,112.2091,67.4671,44.742
110000,北京市,2008,77.3749,106.0415,65.0683,40.9732
110000,北京市,2007,77.554,102.8294,67.214,35.6154
110000,北京市,2006,75.0178,97.7878,65.5832,32.2046
110000,北京市,2005,65.1686,84.6857,57.2097,27.476
110000,北京市,2004,52.6741,69.267,45.5965,23.6705
110000,北京市,2003,44.6851,58.834,37.2498,21.5842
110000,北京市,2002,31.3,44.1,28.3,15.8
110000,北京市,2001,25.9,37.1147,20.7172,16.3975
110000,北京市,2000,24.5,34.5,20.1864,14.3468
120000,天津市,2019,65.426,125.814,124.2184,1.5956
120000,天津市,2018,56.4344,108.2453,106.5432,1.7021
120000,天津市,2017,49.2422,94.3787,75.1438,19.2349
120000,天津市,2016,40.1738,75.8887,59.9523,15.9364
120000,天津市,2015,35.5223,66.6391,52.8876,13.7515
120000,天津市,2014,31.039,57.5952,46.0107,11.5845
120000,天津市,2013,27.6,50.4898,40.5384,9.9514
120000,天津市,2012,26.061,47.0896,38.1968,8.8928
120000,天津市,2011,24.1846,43.5926,35.4423,8.1503
120000,天津市,2010,22.83,39.6306,30.3275,9.3031
120000,天津市,2009,21.0156,36.1561,30.0329,6.1232
120000,天津市,2008,19.6735,33.1725,27.6473,5.5252
120000,天津市,2007,19.3412,36.7195,7.2714,29.4481
120000,天津市,2006,17.9605,25.8282,9.7988,16.0294
120000,天津市,2005,17.704,25.4632,9.7523,15.7109
120000,天津市,2004,17.8296,25.2146,10.328,14.8866
120000,天津市,2003,18.8735,25.9145,12.4578,13.4567
120000,天津市,2002,18.7,25.9,13.1,12.8
120000,天津市,2001,19.3,26.4935,14.0603,12.4332
120000,天津市,2000,14.3,21.1,9.3784,11.7138
130000,河北省,2019,436.6121,982.2167,457.8406,524.3761
130000,河北省,2018,378.632,876.9122,410.6345,466.2777
130000,河北省,2017,333.7752,776.8457,366.1766,410.6691
130000,河北省,2016,292.658,680.8914,326.0943,354.7971
130000,河北省,2015,236.8222,560.379,275.65,284.729
130000,河北省,2014,197.9163,466.6027,232.5483,234.0544
130000,河北省,2013,165.3,391.5318,321.2045,70.3273
130000,河北省,2012,151.9883,390.8962,206.6736,184.2226
130000,河北省,2011,146.6969,389.3779,202.807,186.5709
130000,河北省,2010,132.9792,328.1573,160.6417,167.5156
130000,河北省,2009,130.2274,492.8196,342.0957,150.7239
130000,河北省,2008,132.6694,276.3691,108.2853,168.0838
130000,河北省,2007,121.0593,275.8886,104.0856,171.803
