年份,大中型工业企业主营业务收入,煤炭开采和洗选业大中型工业企业主营业务收入,石油和天然气开采业大中型工业企业主营业务收入,黑色金属矿采选业大中型工业企业主营业务收入,有色金属矿采选业大中型工业企业主营业务收入,非金属矿采选业大中型工业企业主营业务收入,开采辅助活动大中型工业企业主营业务收入,其他采矿业大中型工业企业主营业务收入,农副食品加工业大中型工业企业主营业务收入,食品制造业大中型工业企业主营业务收入,酒、饮料和精制茶制造业大中型工业企业主营业务收入,烟草制品业大中型工业企业主营业务收入,纺织业大中型工业企业主营业务收入,纺织服装、服饰业大中型工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业大中型工业企业主营业务收入,家具制造业大中型工业企业主营业务收入,造纸和纸制品业大中型工业企业主营业务收入,印刷和记录媒介复制业大中型工业企业主营业务收入,文教、工美、体育和娱乐用品制造业大中型工业企业主营业务收入,石油加工、炼焦和核燃料加工业大中型工业企业主营业务收入,化学原料和化学制品制造业大中型工业企业主营业务收入,医药制造业大中型工业企业主营业务收入,化学纤维制造业大中型工业企业主营业务收入,橡胶和塑料制品业大中型工业企业主营业务收入,非金属矿物制品业大中型工业企业主营业务收入,黑色金属冶炼和压延加工业大中型工业企业主营业务收入,有色金属冶炼和压延加工业大中型工业企业主营业务收入,金属制品业大中型工业企业主营业务收入,通用设备制造业大中型工业企业主营业务收入,专用设备制造业大中型工业企业主营业务收入,汽车制造业大中型工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备大中型工业企业主营业务收入,电气机械和器材制造业大中型工业企业主营业务收入,计算机、通信和其他电子设备制造业大中型工业企业主营业务收入,仪器仪表制造业大中型工业企业主营业务收入,其他制造业大中型工业企业主营业务收入,废弃资源综合利用业大中型工业企业主营业务收入,金属制品、机械和设备修理业大中型工业企业主营业务收入,电力、热力生产和供应业大中型工业企业主营业务收入,燃气生产和供应业大中型工业企业主营业务收入,水的生产和供应业大中型工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,721344.66,19207.4,7179.3,1994.42,2849.28,735.48,1447.45,,24046.65,13031.14,10405.19,8234.98,19344.98,11422.86,8021.79,3872.4,4242.13,7877.53,2812.66,7647.68,36167.57,45205.62,18094.65,5696.1,13923.62,21365.23,52266.76,37383.22,15132.83,22184.04,17997.9,69157.56,12427.04,47282.19,92050.48,5958.59,1245.81,1403.63,799.66,47380.77,2566.27,1265.81
2016,722934.38,16570.08,6174.17,3014.5,3415.74,1254.52,1446.39,,28949.54,14631.86,11269.41,8033.65,22623.74,13627.62,8938.84,4344.99,4252.09,7836.07,2850.01,8696.27,30120.58,48363.4,18854.57,5562.79,15209.48,22917.41,48750.46,37097.09,16528.35,23344.73,18684.84,65909.17,14487.42,48090.53,86241.51,5331.95,1407.68,1491.93,862.47,42146.94,2443.09,1152.01
2015,693927.83,17999.95,7610.44,3482.69,3457.17,1295.37,1559.92,7.67,28045.47,13436.23,10723.25,8736.15,22489.77,12524.81,8747.8,3969.33,3745.69,7476.06,2761.77,8075.19,30263.85,45909.89,17008.98,5050.15,14483.82,21687.34,48802.96,36108.43,15809.52,23215.56,18165.33,56681.9,14501.81,45051.73,79801.74,4979.95,1491.96,1303.96,645.76,43388.62,2389.67,1040.17
2014,705027.12,23061.98,11144.79,4275.32,3254.18,1283.25,1898.19,6.39,27981.13,12508.8,10268.47,8410.08,21414.41,11951.51,8391.42,3830.9,3523.73,7261.29,2477.78,7483.36,36491.32,46216.83,15232.61,5016.84,14073.76,22146.09,58480.14,35236.08,15752.18,23733.67,18063.02,54819.19,13831.9,43754.29,75282.73,4861.46,1393.38,1220.59,526.49,45269.47,2266.09,932.03
2013,665283.32,24576.82,11348.68,4402.7,3072.22,1266.55,1882.34,5.97,27159.47,11446.59,9679.02,7942.07,20062.96,11056.97,7750.82,3418.06,3266.49,6763.45,2219.06,6752.06,36059.45,42471.22,13039.01,5119.27,12894.21,20458.22,60080.79,31805.79,14513.53,22705.06,17655.03,48262.3,11992.86,39854.05,67581.33,4286.87,1258.74,1022.43,602.26,46874.6,1853.59,820.4
2012,603021.39,25611.9989,11206.02176,3948.91656,2795.84136,1085.35473,1345.5828,7.96089,23113.59158,9646.65199,8825.23695,7252.27081,17557.36578,9865.32086,7060.42864,2683.42223,2754.49891,6610.90166,1744.41318,5584.38,34777.95109,37219.17355,11036.76052,5046.27276,11204.09002,17404.33454,56850.11629,27428.74149,12718.97046,20034.41238,15878.18087,41583.0246,12121.35011,35210.14616,62823.12612,3855.73326,1180.51267,939.29592,583.09361,43987.78238,1694.14484,744.01804
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
