年份,大中型工业企业固定资产原价合计,煤炭开采和洗选业大中型工业企业固定资产原价合计,石油和天然气开采业大中型工业企业固定资产原价合计,黑色金属矿采选业大中型工业企业固定资产原价合计,有色金属矿采选业大中型工业企业固定资产原价合计,非金属矿采选业大中型工业企业固定资产原价合计,开采辅助活动大中型工业企业固定资产原价合计,其他采矿业大中型工业企业固定资产原价合计,农副食品加工业大中型工业企业固定资产原价合计,食品制造业大中型工业企业固定资产原价合计,酒、饮料和精制茶制造业大中型工业企业固定资产原价合计,烟草制品业大中型工业企业固定资产原价合计,纺织业大中型工业企业固定资产原价合计,纺织服装、服饰业大中型工业企业固定资产原价合计,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业固定资产原价合计,木材加工和木、竹、藤、棕、草制品业大中型工业企业固定资产原价合计,家具制造业大中型工业企业固定资产原价合计,造纸和纸制品业大中型工业企业固定资产原价合计,印刷和记录媒介复制业大中型工业企业固定资产原价合计,文教、工美、体育和娱乐用品制造业大中型工业企业固定资产原价合计,石油加工、炼焦和核燃料加工业大中型工业企业固定资产原价合计,化学原料和化学制品制造业大中型工业企业固定资产原价合计,医药制造业大中型工业企业固定资产原价合计,化学纤维制造业大中型工业企业固定资产原价合计,橡胶和塑料制品业大中型工业企业固定资产原价合计,非金属矿物制品业大中型工业企业固定资产原价合计,黑色金属冶炼和压延加工业大中型工业企业固定资产原价合计,有色金属冶炼和压延加工业大中型工业企业固定资产原价合计,金属制品业大中型工业企业固定资产原价合计,通用设备制造业大中型工业企业固定资产原价合计,专用设备制造业大中型工业企业固定资产原价合计,汽车制造业大中型工业企业固定资产原价合计,铁路、船舶、航空航天和其他运输设备大中型工业企业固定资产原价合计,电气机械和器材制造业大中型工业企业固定资产原价合计,计算机、通信和其他电子设备制造业大中型工业企业固定资产原价合计,仪器仪表制造业大中型工业企业固定资产原价合计,其他制造业大中型工业企业固定资产原价合计,废弃资源综合利用业大中型工业企业固定资产原价合计,金属制品、机械和设备修理业大中型工业企业固定资产原价合计,电力、热力生产和供应业大中型工业企业固定资产原价合计,燃气生产和供应业大中型工业企业固定资产原价合计,水的生产和供应业大中型工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,470660.02,24498.79,30500.66,2642.0,2036.08,524.52,1900.12,,8680.43,5026.97,4854.9,2682.32,8673.65,3773.07,1934.31,1569.17,1309.15,6571.04,1576.93,1852.47,17987.61,33563.98,8983.75,3772.29,7112.6,14952.54,37656.2,17443.85,6051.9,9224.36,7952.31,22729.74,6602.61,14946.25,33781.6,2008.67,719.63,396.0,629.45,105089.06,3173.09,5273.3
2016,467162.54,24546.27,29667.69,3073.71,1942.64,699.62,2098.06,,10787.03,5636.73,5131.97,2532.29,9588.15,4436.74,2195.16,1745.2,1431.83,6569.78,1574.67,2111.48,17426.89,34863.89,8326.84,3675.18,7412.94,16144.61,41498.8,17306.23,6292.39,9865.32,8613.33,22058.55,7225.71,16187.77,30625.04,2065.81,783.79,742.67,719.87,91905.64,2630.82,5014.8
2015,430944.12,23796.53,26818.55,3184.75,1872.45,755.48,1812.79,3.5,10400.29,5290.31,4939.34,2437.75,9092.04,3892.26,2088.57,1623.58,1306.44,6339.18,1487.97,1861.87,16524.11,32886.36,7398.91,3164.89,6970.87,15282.08,39910.36,15989.16,6101.42,9633.5,8530.87,19153.62,6558.04,14602.89,24970.32,1828.08,790.19,643.48,444.91,83706.05,2306.78,4543.58
2014,408194.84,23318.38,27653.36,2817.64,1706.32,902.65,2092.63,2.74,9874.97,4429.89,4442.64,2310.99,8620.29,3460.3,1897.0,1537.29,1196.87,6087.96,1369.27,1540.84,15635.87,30357.93,6482.22,2866.43,6596.75,14631.8,39639.31,15033.5,6939.1,9066.57,7725.54,16735.3,6242.38,13136.95,24290.94,1688.85,683.24,504.62,394.03,78240.93,2091.21,3949.38
2013,369003.48,21091.7,21635.5,2440.49,1352.74,671.93,1708.95,1.75,9282.55,3839.25,3985.15,2158.0,7972.79,3048.86,1722.38,1236.04,1091.71,5678.49,1253.71,1354.53,14034.57,27312.02,5477.43,2656.56,5762.72,13224.62,37679.49,12952.56,5324.55,8257.45,7231.53,14496.15,5683.57,12196.71,21922.32,1455.82,605.28,339.52,427.76,75102.6,1650.58,3683.14
2012,324201.66412,18397.38103,19780.95085,2135.4466,1200.84569,608.75679,1238.57595,10.37997,7037.171,3196.89266,3523.51104,1995.61639,7285.34693,2609.10285,1441.81529,961.81945,856.4288,5642.31107,1063.66755,1189.36528,12446.08277,22671.36768,4338.7981,2462.38731,4817.11339,12188.14029,33972.20616,11303.80523,4578.88474,7102.7043,6198.7325,12148.33764,5634.02627,10393.11757,18810.78016,1299.15339,537.72552,290.27824,403.22507,67441.25792,1602.32362,3385.83106
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
