年份,大中型工业企业累计折旧,煤炭开采和洗选业大中型工业企业累计折旧,石油和天然气开采业大中型工业企业累计折旧,黑色金属矿采选业大中型工业企业累计折旧,有色金属矿采选业大中型工业企业累计折旧,非金属矿采选业大中型工业企业累计折旧,开采辅助活动大中型工业企业累计折旧,其他采矿业大中型工业企业累计折旧,农副食品加工业大中型工业企业累计折旧,食品制造业大中型工业企业累计折旧,酒、饮料和精制茶制造业大中型工业企业累计折旧,烟草制品业大中型工业企业累计折旧,纺织业大中型工业企业累计折旧,纺织服装、服饰业大中型工业企业累计折旧,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业累计折旧,木材加工和木、竹、藤、棕、草制品业大中型工业企业累计折旧,家具制造业大中型工业企业累计折旧,造纸和纸制品业大中型工业企业累计折旧,印刷和记录媒介复制业大中型工业企业累计折旧,文教、工美、体育和娱乐用品制造业大中型工业企业累计折旧,石油加工、炼焦和核燃料加工业大中型工业企业累计折旧,化学原料和化学制品制造业大中型工业企业累计折旧,医药制造业大中型工业企业累计折旧,化学纤维制造业大中型工业企业累计折旧,橡胶和塑料制品业大中型工业企业累计折旧,非金属矿物制品业大中型工业企业累计折旧,黑色金属冶炼和压延加工业大中型工业企业累计折旧,有色金属冶炼和压延加工业大中型工业企业累计折旧,金属制品业大中型工业企业累计折旧,通用设备制造业大中型工业企业累计折旧,专用设备制造业大中型工业企业累计折旧,汽车制造业大中型工业企业累计折旧,铁路、船舶、航空航天和其他运输设备大中型工业企业累计折旧,电气机械和器材制造业大中型工业企业累计折旧,计算机、通信和其他电子设备制造业大中型工业企业累计折旧,仪器仪表制造业大中型工业企业累计折旧,其他制造业大中型工业企业累计折旧,废弃资源综合利用业大中型工业企业累计折旧,金属制品、机械和设备修理业大中型工业企业累计折旧,电力、热力生产和供应业大中型工业企业累计折旧,燃气生产和供应业大中型工业企业累计折旧,水的生产和供应业大中型工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,217895.19,10195.58,18340.6,913.62,697.11,225.64,1169.97,,4243.92,2142.21,2109.19,1510.69,4031.48,1785.26,909.1,835.32,488.25,2766.57,825.14,796.41,8853.34,13502.95,4188.36,1801.03,3055.04,6317.19,16959.64,6353.06,2613.58,4290.85,3382.93,10124.41,2885.48,6955.84,19713.78,943.6,365.19,145.05,283.61,48198.66,835.26,2140.04
2016,213732.83,10093.14,16571.01,1136.56,683.55,305.73,1138.8,,5626.49,2556.2,2225.57,1399.54,4504.12,2138.64,1010.23,909.87,601.03,2748.83,795.71,950.21,8361.08,14676.5,3547.9,1720.22,3393.94,6737.81,18946.6,6529.44,2739.79,4593.65,3708.87,9548.66,3306.16,8028.42,16691.71,936.75,371.07,501.96,303.91,41064.73,676.59,1948.57
2015,191234.64,9906.01,13703.33,1240.04,616.12,332.29,952.03,0.8,5343.61,2323.4,2101.22,1320.05,4273.03,1824.24,952.9,820.51,539.53,2632.86,746.87,833.13,7772.33,13231.53,3089.06,1465.26,3124.86,6053.41,18060.94,5900.52,2600.58,4282.61,3552.02,8156.47,2709.09,7044.37,13078.95,796.48,350.47,477.35,166.31,36526.79,581.32,1751.93
2014,176101.04,9514.43,13714.12,983.14,517.51,456.19,855.24,0.51,4925.08,1762.3,1775.97,1227.22,3870.44,1550.05,843.01,789.64,483.51,2480.27,670.46,646.12,7109.24,12169.91,2689.78,1215.89,2975.33,5596.13,17509.12,5455.34,2445.88,3937.08,3248.78,7038.81,2395.78,6041.1,12738.37,766.8,279.27,363.83,144.31,32883.84,502.62,1528.62
2013,157906.29,8294.37,10747.08,816.93,450.85,271.89,798.1,0.33,4904.26,1528.73,1555.25,1273.63,3551.62,1329.53,745.02,577.12,468.97,2195.01,612.75,562.44,6470.08,10901.7,2327.3,1123.14,2585.42,4755.73,17028.78,4730.16,2024.78,3533.92,2972.52,6217.22,2205.22,5499.27,11066.62,590.85,251.91,237.42,145.76,30682.88,436.26,1435.49
2012,136160.16475,7203.18942,9104.44419,688.17604,388.8286,251.93128,527.35942,6.91085,3388.75684,1194.33847,1439.60391,1045.1293,3044.104,1077.19429,577.0875,425.21435,320.4395,2392.87702,509.31589,538.01844,5383.00663,9368.20089,1759.7038,991.93947,2074.01529,4424.24488,15302.39312,4088.51309,1767.54051,2859.22641,2565.99677,5217.44278,2145.97392,4382.07793,9517.76642,537.05806,220.71649,177.35974,148.15368,27323.90715,459.33817,1322.67024
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
