年份,大中型工业企业流动资产合计,煤炭开采和洗选业大中型工业企业流动资产合计,石油和天然气开采业大中型工业企业流动资产合计,黑色金属矿采选业大中型工业企业流动资产合计,有色金属矿采选业大中型工业企业流动资产合计,非金属矿采选业大中型工业企业流动资产合计,开采辅助活动大中型工业企业流动资产合计,其他采矿业大中型工业企业流动资产合计,农副食品加工业大中型工业企业流动资产合计,食品制造业大中型工业企业流动资产合计,酒、饮料和精制茶制造业大中型工业企业流动资产合计,烟草制品业大中型工业企业流动资产合计,纺织业大中型工业企业流动资产合计,纺织服装、服饰业大中型工业企业流动资产合计,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业流动资产合计,木材加工和木、竹、藤、棕、草制品业大中型工业企业流动资产合计,家具制造业大中型工业企业流动资产合计,造纸和纸制品业大中型工业企业流动资产合计,印刷和记录媒介复制业大中型工业企业流动资产合计,文教、工美、体育和娱乐用品制造业大中型工业企业流动资产合计,石油加工、炼焦和核燃料加工业大中型工业企业流动资产合计,化学原料和化学制品制造业大中型工业企业流动资产合计,医药制造业大中型工业企业流动资产合计,化学纤维制造业大中型工业企业流动资产合计,橡胶和塑料制品业大中型工业企业流动资产合计,非金属矿物制品业大中型工业企业流动资产合计,黑色金属冶炼和压延加工业大中型工业企业流动资产合计,有色金属冶炼和压延加工业大中型工业企业流动资产合计,金属制品业大中型工业企业流动资产合计,通用设备制造业大中型工业企业流动资产合计,专用设备制造业大中型工业企业流动资产合计,汽车制造业大中型工业企业流动资产合计,铁路、船舶、航空航天和其他运输设备大中型工业企业流动资产合计,电气机械和器材制造业大中型工业企业流动资产合计,计算机、通信和其他电子设备制造业大中型工业企业流动资产合计,仪器仪表制造业大中型工业企业流动资产合计,其他制造业大中型工业企业流动资产合计,废弃资源综合利用业大中型工业企业流动资产合计,金属制品、机械和设备修理业大中型工业企业流动资产合计,电力、热力生产和供应业大中型工业企业流动资产合计,燃气生产和供应业大中型工业企业流动资产合计,水的生产和供应业大中型工业企业流动资产合计
2019,396805.05,16787.57,2564.28,1979.35,1038.75,624.78,1413,,7668.7,5606.41,7958.33,7070.03,5457.72,4104.66,2233.7,709.57,1859.82,4835.75,1419.01,2905.28,14878.37,18877.04,14441.64,2763.15,5940.52,11482.78,25567.56,15464.1,8364.85,17844.87,16008.82,37799.8,12555.91,31527.26,62389.72,3834.44,926.24,418.48,914.06,13747.97,1963.15,2853.16
2018,391077.94,17630.6,2712.7,2120.1,1119.7,541.1,1214,,8403.4,4998.2,7779.8,7151.5,6680.4,4632.4,2529.5,945.0,1922.5,4681.2,1385.9,2965.3,13627.4,20190.3,13991.6,2586.1,6384.4,10684.7,23158.1,14667.1,7844.1,16588.5,16324.4,39183.1,7741.7,32132.2,57971.8,3890.4,352.7,466.4,815.8,12979.9,1713.3,2616.8
2017,372934.53,16704.17,2343.96,1859.88,1170.23,592.12,1238.04,,8290.78,4872.54,7034.27,6993.61,6671.28,4630.88,2565.72,970.69,1848.8,4418.94,1370.31,2770.24,11725.96,20122.42,12685.22,2468.58,6555.05,10500.23,22233.45,15075.55,7349.71,16337.36,15344.54,38489.13,12236.73,31077.98,51075.25,4148.8,1004.08,437.2,750.99,13090.14,1574.3,2298.72
2016,350655.7,16327.58,2676.91,2562.72,1141.71,620.88,1298.09,,8833.8,4766.09,6556.34,6650.05,7177.33,5010.76,2748.97,985.53,1705.81,4169.97,1315.96,2731.48,10276.73,19674.53,11244.94,2472.75,6154.88,10282.1,21007.93,14305.59,7164.33,16321.93,13902.71,33557.83,12043.04,28232.94,45605.25,3493.32,895.0,322.85,1109.22,11954.79,1241.13,2109.35
2015,325464.39,17095.23,2442.7,2930.59,1195.32,600.71,1268.05,0.9,9014.86,4615.03,5966.24,6243.84,7138.05,4673.15,2817.53,982.98,1470.23,4307.26,1204.52,2593.76,8577.66,19010.82,9476.1,2281.72,5561.76,10123.42,20354.19,13843.71,7048.69,15753.1,13937.45,27953.84,11652.75,25726.5,38238.15,3204.64,956.87,303.81,593.6,11099.27,1226.74,1978.66
2014,311020.92,16735.26,2479.58,2649.97,1062.56,595.03,1248.12,1.17,8899.37,4190.91,5528.7,5416.18,7217.15,4583.42,2834.05,979.72,1389.02,3963.27,1115.31,2629.5,9099.47,18466.28,8311.8,2137.42,5418.8,9990.25,22280.19,13684.09,7049.85,15461.4,13315.12,25048.74,10771.22,23385.79,34843.23,2972.61,880.0,332.29,428.01,10825.96,1166.3,1633.84
2013,288989.1,15484.06,2502.56,2607.52,1006.62,526.43,1348.94,1.07,8681.88,3945.26,5156.57,5341.46,6966.96,4421.13,2618.02,902.85,1377.62,3820.39,1079.42,2295.56,9195.23,17087.19,7138.98,2229.36,5042.82,9151.76,22921.13,12468.93,6545.78,14588.29,13091.76,22834.11,9696.23,21439.76,28115.68,2620.57,804.02,271.98,500.85,10802.74,966.01,1391.57
2012,264650.92,15895.45087,2752.07355,2245.64028,1011.71904,453.79859,934.71536,1.45813,7408.83493,3384.75185,4475.02273,4681.77616,6478.70367,4111.19322,2411.41311,768.08768,1164.26384,3548.58837,940.26121,1944.08489,8880.18083,15118.97937,6327.39862,2159.93947,4570.19269,8085.4827,21530.07562,10917.5563,5967.42152,13071.87927,11636.77493,19723.40687,9877.77134,19451.01755,26842.94534,2459.91126,633.13706,233.24356,501.05239,10020.1765,880.05613,1150.47981
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
