年份,大中型工业企业产成品,煤炭开采和洗选业大中型工业企业产成品,石油和天然气开采业大中型工业企业产成品,黑色金属矿采选业大中型工业企业产成品,有色金属矿采选业大中型工业企业产成品,非金属矿采选业大中型工业企业产成品,开采辅助活动大中型工业企业产成品,其他采矿业大中型工业企业产成品,农副食品加工业大中型工业企业产成品,食品制造业大中型工业企业产成品,酒、饮料和精制茶制造业大中型工业企业产成品,烟草制品业大中型工业企业产成品,纺织业大中型工业企业产成品,纺织服装、服饰业大中型工业企业产成品,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业产成品,木材加工和木、竹、藤、棕、草制品业大中型工业企业产成品,家具制造业大中型工业企业产成品,造纸和纸制品业大中型工业企业产成品,印刷和记录媒介复制业大中型工业企业产成品,文教、工美、体育和娱乐用品制造业大中型工业企业产成品,石油加工、炼焦和核燃料加工业大中型工业企业产成品,化学原料和化学制品制造业大中型工业企业产成品,医药制造业大中型工业企业产成品,化学纤维制造业大中型工业企业产成品,橡胶和塑料制品业大中型工业企业产成品,非金属矿物制品业大中型工业企业产成品,黑色金属冶炼和压延加工业大中型工业企业产成品,有色金属冶炼和压延加工业大中型工业企业产成品,金属制品业大中型工业企业产成品,通用设备制造业大中型工业企业产成品,专用设备制造业大中型工业企业产成品,汽车制造业大中型工业企业产成品,铁路、船舶、航空航天和其他运输设备大中型工业企业产成品,电气机械和器材制造业大中型工业企业产成品,计算机、通信和其他电子设备制造业大中型工业企业产成品,仪器仪表制造业大中型工业企业产成品,其他制造业大中型工业企业产成品,废弃资源综合利用业大中型工业企业产成品,金属制品、机械和设备修理业大中型工业企业产成品,电力、热力生产和供应业大中型工业企业产成品,燃气生产和供应业大中型工业企业产成品,水的生产和供应业大中型工业企业产成品
2019,27422.26,363.25,95.79,67.19,47.4,34.87,15.09,,912.18,436.61,574.24,213.57,743.2,626.15,231.39,87.93,146.03,286.45,112.6,644.53,1043.89,1443.67,1412.64,322.86,637.21,916.6,1820.03,1075.86,804.82,1502.12,1479.25,2610.43,518.6,2326.52,3387.2,291.22,57.44,52.11,11.56,31.95,25.74,12.05
2018,28317.71,516.0,99.2,76.9,80.5,25.2,8.1,,883.2,400.2,568.2,301.8,751.8,720.7,232.1,105.9,156.4,352.9,106.7,624.3,1147.4,1640.7,1312.2,326.1,661.1,911.3,1873.7,1143.9,717.2,1434.1,1408.3,2649.8,357.5,2562.0,3550.3,269.6,31.1,70.0,8.3,21.3,19.9,9.0
2017,27525.52,600.94,94.3,97.07,92.01,32.58,7.08,,936.19,367.68,523.51,273.66,751.75,655.65,239.04,120.88,172.18,320.15,110.19,561.47,978.15,1574.07,1111.65,265.5,653.7,917.42,1997.66,1233.75,649.29,1404.6,1276.21,2740.14,450.73,2602.69,3228.13,296.17,50.03,42.81,18.72,43.05,27.07,7.66
2016,26096.76,692.51,92.46,103.42,106.1,41.98,10.63,,978.48,368.93,539.34,229.35,807.58,726.46,270.4,126.92,158.54,245.51,100.95,523.18,890.21,1561.74,981.32,237.26,620.09,923.25,1984.15,1138.47,702.64,1398.73,1130.04,2411.06,500.26,2159.61,2908.18,246.07,70.65,27.8,15.73,43.35,19.87,3.56
2015,25129.97,790.63,95.38,111.35,115.12,45.58,11.84,0.03,992.35,352.95,495.79,290.1,855.65,689.63,275.34,130.0,161.0,281.71,100.26,446.95,793.93,1700.76,906.3,288.69,616.57,914.23,1899.18,1227.39,681.98,1382.55,1131.11,1917.61,448.35,1991.68,2533.63,238.59,74.97,35.97,11.98,71.62,17.05,4.16
2014,24966.93,782.39,98.56,146.24,117.75,40.86,10.81,0.05,1022.33,339.67,478.39,240.57,866.78,660.62,280.08,128.92,158.39,285.9,95.28,461.3,1013.75,1632.97,781.83,272.92,595.37,865.13,2271.31,1185.27,702.81,1394.38,1086.07,1905.36,378.28,2027.64,2211.08,225.25,67.5,43.13,9.58,60.66,16.89,4.85
2013,22891.58,696.63,109.09,127.13,106.93,34.65,7.78,0.06,1042.24,310.32,453.26,184.94,849.93,650.22,223.83,119.87,140.28,274.91,89.31,411.29,944.16,1494.65,650.07,297.09,517.59,827.83,2241.91,1144.57,632.24,1293.42,1053.51,1606.74,335.17,1869.88,1745.64,195.58,57.84,36.7,16.66,67.47,25.21,5.0
2012,21458.97255,603.70358,92.53268,126.43702,112.03533,36.67619,20.49423,0.09791,931.88179,294.96114,373.81861,205.26107,837.21248,610.85959,211.32723,107.24133,118.01736,301.02955,79.84455,366.21467,876.02173,1386.05075,610.44591,270.67339,511.7786,763.06284,2062.49654,1157.09744,548.75701,1176.12838,1056.1807,1450.77355,333.43699,1723.28691,1712.97877,195.16871,48.04314,35.51441,24.32046,57.80507,25.20194,4.103
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
