年份,大中型工业企业应收账款净额,煤炭开采和洗选业大中型工业企业应收账款净额,石油和天然气开采业大中型工业企业应收账款净额,黑色金属矿采选业大中型工业企业应收账款净额,有色金属矿采选业大中型工业企业应收账款净额,非金属矿采选业大中型工业企业应收账款净额,开采辅助活动大中型工业企业应收账款净额,其他采矿业大中型工业企业应收账款净额,农副食品加工业大中型工业企业应收账款净额,食品制造业大中型工业企业应收账款净额,酒、饮料和精制茶制造业大中型工业企业应收账款净额,烟草制品业大中型工业企业应收账款净额,纺织业大中型工业企业应收账款净额,纺织服装、服饰业大中型工业企业应收账款净额,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业应收账款净额,木材加工和木、竹、藤、棕、草制品业大中型工业企业应收账款净额,家具制造业大中型工业企业应收账款净额,造纸和纸制品业大中型工业企业应收账款净额,印刷和记录媒介复制业大中型工业企业应收账款净额,文教、工美、体育和娱乐用品制造业大中型工业企业应收账款净额,石油加工、炼焦和核燃料加工业大中型工业企业应收账款净额,化学原料和化学制品制造业大中型工业企业应收账款净额,医药制造业大中型工业企业应收账款净额,化学纤维制造业大中型工业企业应收账款净额,橡胶和塑料制品业大中型工业企业应收账款净额,非金属矿物制品业大中型工业企业应收账款净额,黑色金属冶炼和压延加工业大中型工业企业应收账款净额,有色金属冶炼和压延加工业大中型工业企业应收账款净额,金属制品业大中型工业企业应收账款净额,通用设备制造业大中型工业企业应收账款净额,专用设备制造业大中型工业企业应收账款净额,汽车制造业大中型工业企业应收账款净额,铁路、船舶、航空航天和其他运输设备大中型工业企业应收账款净额,电气机械和器材制造业大中型工业企业应收账款净额,计算机、通信和其他电子设备制造业大中型工业企业应收账款净额,仪器仪表制造业大中型工业企业应收账款净额,其他制造业大中型工业企业应收账款净额,废弃资源综合利用业大中型工业企业应收账款净额,金属制品、机械和设备修理业大中型工业企业应收账款净额,电力、热力生产和供应业大中型工业企业应收账款净额,燃气生产和供应业大中型工业企业应收账款净额,水的生产和供应业大中型工业企业应收账款净额
2019,95719.55,1928.49,317.21,313.8,122.54,86.74,460.13,,998.71,1011.07,555.54,395.35,1082.97,1243.37,648.74,159.93,512.84,890.65,450.96,616.01,2114.26,3313.6,3028.59,424.46,1778.72,2541.21,3117.69,2277.25,2395,5235.27,5084.61,10685.37,2753.02,10075.98,23835.34,1209.92,150.3,78.65,343.63,2828.38,276.13,373.84
2018,92501.86,1862.9,362.9,302.1,162.0,72.3,437.3,,1082.2,919.8,563.5,403.1,1180.8,1254.7,700.9,208.0,479.5,883.8,417.9,665.4,1285.8,3548.4,2887.4,312.7,1737.6,2408.5,1946.0,2007.8,2301.5,4836.8,4836.7,10960.1,2237.3,10451.1,23608.5,1236.0,72.7,85.6,313.8,2168.3,232.4,292.6
2017,87351.7,1842.59,191.46,386.46,152.79,77.81,434.05,,1100.37,941.91,545.78,501.71,1157.51,1201.05,646.58,203.11,446.07,815.39,384.85,594.49,1260.36,3415.07,2641.26,293.16,1700.4,2312.83,2093.59,2107.85,2104.45,4826.54,4627.85,10567.21,2746.35,10080.3,20505.81,1472.49,143.82,87.04,265.95,2069.92,189.54,211.39
2016,83000.2,2219.65,205.5,455.89,144.74,80.66,524.84,,1209.56,1044.57,591.74,755.83,1271.33,1221.08,717.85,178.96,417.21,816.17,401.83,582.14,1265.24,3405.89,2388.08,281.41,1610.32,2331.72,2343.16,1873.55,1971.24,5137.89,4341.1,9006.88,2628.37,9330.18,18138.92,1170.03,159.84,65.97,477.06,1906.52,148.32,177.31
2015,75915.91,2866.3,219.38,723.89,147.17,72.62,562.6,0.09,1202.32,919.68,547.73,610.53,1267.67,1091.28,787.35,179.94,366.44,814.48,352.39,622.04,1157.21,3203.36,2058.72,272.62,1447.35,2279.17,2096.96,1765.94,1914.33,4935.11,4634.71,7184.07,2452.97,8500.41,14969.52,1071.07,182.02,45.64,187.3,1877.7,145.06,180.79
2014,69442.27,2964.4,240.31,451.69,137.93,66.11,595.13,0.1,1085.38,850.55,523.77,296.89,1196.32,1039.11,777.49,171.61,313.01,743.86,327.37,675.57,1146.2,3037.93,1799.41,267.09,1369.95,2110.77,2175.9,1714.68,1863.33,4824.03,4545.96,5810.91,2248.02,7455.28,13028.25,1005.84,167.44,53.97,117.13,1965.1,144.31,134.18
2013,63297.6,2576.17,270.21,467.87,121.94,74.96,630.09,0.11,1020.89,753.33,488.42,371.43,1143.71,992.45,748.24,155.08,298.32,767.78,304.45,485.0,899.87,2823.16,1572.3,253.02,1327.5,1914.57,2062.31,1420.45,1713.84,4437.6,4495.48,5528.71,2153.37,7038.36,10605.04,829.26,151.55,46.61,138.45,1949.73,126.33,139.64
2012,55981.28566,2322.32141,172.98599,388.32691,119.12496,58.12816,324.94944,0.22305,894.57799,678.50454,380.19807,341.43641,1053.73765,988.17805,676.54154,135.94354,241.8239,660.37382,263.49643,443.91477,885.79189,2363.75015,1294.58623,206.01151,1170.7401,1637.50465,1773.44371,1201.62312,1554.02925,3813.16152,3599.88209,4130.4331,2003.01119,6366.58455,10592.67631,769.12216,141.60533,31.04639,150.94307,1932.59835,103.36357,114.59079
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
