年份,大中型工业企业财务费用,煤炭开采和洗选业大中型工业企业财务费用,石油和天然气开采业大中型工业企业财务费用,黑色金属矿采选业大中型工业企业财务费用,有色金属矿采选业大中型工业企业财务费用,非金属矿采选业大中型工业企业财务费用,开采辅助活动大中型工业企业财务费用,其他采矿业大中型工业企业财务费用,农副食品加工业大中型工业企业财务费用,食品制造业大中型工业企业财务费用,酒、饮料和精制茶制造业大中型工业企业财务费用,烟草制品业大中型工业企业财务费用,纺织业大中型工业企业财务费用,纺织服装、服饰业大中型工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业财务费用,木材加工和木、竹、藤、棕、草制品业大中型工业企业财务费用,家具制造业大中型工业企业财务费用,造纸和纸制品业大中型工业企业财务费用,印刷和记录媒介复制业大中型工业企业财务费用,文教、工美、体育和娱乐用品制造业大中型工业企业财务费用,石油加工、炼焦和核燃料加工业大中型工业企业财务费用,化学原料和化学制品制造业大中型工业企业财务费用,医药制造业大中型工业企业财务费用,化学纤维制造业大中型工业企业财务费用,橡胶和塑料制品业大中型工业企业财务费用,非金属矿物制品业大中型工业企业财务费用,黑色金属冶炼和压延加工业大中型工业企业财务费用,有色金属冶炼和压延加工业大中型工业企业财务费用,金属制品业大中型工业企业财务费用,通用设备制造业大中型工业企业财务费用,专用设备制造业大中型工业企业财务费用,汽车制造业大中型工业企业财务费用,铁路、船舶、航空航天和其他运输设备大中型工业企业财务费用,电气机械和器材制造业大中型工业企业财务费用,计算机、通信和其他电子设备制造业大中型工业企业财务费用,仪器仪表制造业大中型工业企业财务费用,其他制造业大中型工业企业财务费用,废弃资源综合利用业大中型工业企业财务费用,金属制品、机械和设备修理业大中型工业企业财务费用,电力、热力生产和供应业大中型工业企业财务费用,燃气生产和供应业大中型工业企业财务费用,水的生产和供应业大中型工业企业财务费用
2019,6993.08,703.01,190.39,135.93,47.81,15.86,0.13,,162.84,50.63,12.41,-52.36,141.64,56.67,31.44,17.34,20.19,137.97,15.52,38.28,344.03,588.39,147.41,105.2,97.08,228.21,613.01,501.15,108.52,114.83,154.5,163.45,58.99,206.64,246,15.89,4.31,12.33,14.44,1408.02,56.42,78.49
2018,7622.03,828.1,110.0,133.1,43.4,11.6,-3.7,,213.0,58.6,40.0,-22.5,236.0,66.1,41.5,25.6,19.6,165.3,12.4,45.5,372.1,727.3,140.6,99.9,107.8,254.3,768.4,545.2,127.7,134.7,219.8,183.0,65.8,255.5,277.1,21.9,9.7,15.4,15.2,1289.3,36.2,69.5
2017,8380.81,846.24,131.56,90.5,48.13,11.6,14.67,,211.98,66.34,38.24,-23.45,261.87,89.88,52.7,32.99,31.43,156.8,22.14,58.43,351.81,760.18,176.37,91.68,137.47,303.2,841.09,583.52,141.32,178.11,271.22,195.77,129.2,371.34,263.09,36.89,9.43,14.73,13.85,1274.81,36.78,56.86
2016,8206.72,775.55,158.87,102.78,46.48,16.19,-24.17,,264.13,71.04,63.07,-18.54,276.29,91.28,53.53,37.76,22.95,162.85,13.84,46.6,354.25,817.99,158.17,99.13,139.1,309.23,899.07,566.64,121.34,172.65,213.79,228.61,94.59,247.26,233.96,21.56,7.51,10.55,24.8,1222.73,36.11,67.1
2015,8869.5,764.42,176.08,94.43,51.41,19.67,11.74,0.04,278.96,78.5,71.01,-15.63,298.21,78.58,52.99,39.01,25.36,188.04,17.49,45.13,373.24,894.53,156.9,103.17,143.91,346.76,1021.39,621.94,131.0,195.36,204.69,244.48,101.76,288.29,255.56,27.38,6.65,8.21,7.19,1359.18,33.98,68.48
2014,9013.25,788.29,154.62,121.95,46.56,21.52,17.94,0.03,266.27,67.59,67.47,-17.35,321.97,85.45,62.61,43.87,31.07,172.19,19.45,52.44,431.52,874.27,151.72,97.95,147.13,384.19,1026.12,564.39,159.29,216.02,212.81,135.85,140.85,374.0,156.73,32.63,9.16,8.39,7.42,1478.5,27.22,53.18
2013,7998.09,691.5,137.73,95.33,33.98,18.89,15.71,0.02,248.79,56.95,52.0,-10.43,315.19,89.63,62.88,40.49,34.17,147.14,18.69,52.01,341.72,701.13,126.02,84.37,138.68,359.27,871.52,462.37,155.19,192.9,190.54,132.3,90.33,379.9,123.86,30.16,9.87,3.33,6.96,1435.34,18.0,43.68
2012,7784.71969,544.16585,103.31637,76.59686,32.44579,17.26755,12.78725,0.02321,219.93593,58.33464,50.4461,-10.27015,284.55457,85.76999,63.71601,33.29713,26.91347,171.91097,13.967,44.26267,324.5588,635.89775,106.84476,98.48328,136.92596,329.15366,934.63005,445.63975,134.19524,185.70614,198.3572,195.314,77.86376,367.6482,179.87531,29.92424,10.08192,4.72146,7.09724,1484.43012,18.80379,49.12585
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
