省份编码,省份,年份,二氧化硫排放量(万吨),氮氧化物排放量(万吨),烟(粉)尘排放量(万吨)
110000,北京市,2019,,,
110000,北京市,2018,,,
110000,北京市,2017,0.468,11.24,2.04237405
110000,北京市,2016,3.32100171,9.61194082,3.45353462
110000,北京市,2015,7.11716725,13.76271384,4.93865484
110000,北京市,2014,7.8906031,15.0955141,5.73724463
110000,北京市,2013,8.70416203,16.632912,5.9285948
110000,北京市,2012,9.38493908,17.7493406,6.6824776
110000,北京市,2011,9.78833298,18.83248905,6.58480412
110000,北京市,2010,11.505,,
110000,北京市,2009,11.8793864,,
110000,北京市,2008,12.3,,
110000,北京市,2007,15.1661149,,
110000,北京市,2006,17.6,,
110000,北京市,2005,19.0,,
110000,北京市,2004,19.1,,
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,,,
120000,天津市,2018,,,
120000,天津市,2017,2.372,14.1,6.51912167
120000,天津市,2016,7.06140876,14.47486259,7.81441256
120000,天津市,2015,18.59004347,24.68000177,10.0685724
120000,天津市,2014,20.92,28.23,13.95114665
120000,天津市,2013,21.6832073,31.1719263,8.74568775
120000,天津市,2012,22.45214042,33.4222594,8.4064004
120000,天津市,2011,23.09,35.89,7.59225342
120000,天津市,2010,23.515,,
120000,天津市,2009,23.6699807,,
120000,天津市,2008,24.0,,
120000,天津市,2007,24.4700002,,
120000,天津市,2006,25.5,,
120000,天津市,2005,26.5,,
120000,天津市,2004,22.7,,
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,,,
130000,河北省,2018,,,
130000,河北省,2017,40.216,152.3,80.36891914
130000,河北省,2016,78.94438144,112.6640118,125.68359549
130000,河北省,2015,110.83709319,135.08083446,157.54171194
130000,河北省,2014,118.99025625,151.24689248,179.76834228
130000,河北省,2013,128.46974565,165.24676325,131.33126245
130000,河北省,2012,134.12011463,176.1109576,123.5877235
130000,河北省,2011,141.21287291,180.11383266,132.24771267
130000,河北省,2010,123.378,,
130000,河北省,2009,125.3463288,,
130000,河北省,2008,134.5,,
130000,河北省,2007,149.247999,,
130000,河北省,2006,154.5,,
130000,河北省,2005,149.5,,
130000,河北省,2004,142.8,,
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,,,
140000,山西省,2018,,,
140000,山西省,2017,41.442,77.83,43.37557534
140000,山西省,2016,68.64442812,67.27884905,68.14856394
140000,山西省,2015,112.06431802,93.07507871,144.89036981
140000,山西省,2014,120.82252764,106.98597716,150.67780186
140000,山西省,2013,125.54269176,115.7804224,102.67181217
140000,山西省,2012,130.17549963,124.3969905,107.0863355
140000,山西省,2011,139.9051289,128.60192666,112.98540764
140000,山西省,2010,124.9201,,
140000,山西省,2009,126.8427693,,
140000,山西省,2008,130.8,,
140000,山西省,2007,138.6724439,,
140000,山西省,2006,147.8,,
140000,山西省,2005,151.6,,
140000,山西省,2004,141.5,,
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,,,
150000,内蒙古自治区,2019,,,
150000,内蒙古自治区,2018,,,
150000,内蒙古自治区,2017,39.788,70.161,53.61932738
