省份编码,省份,年份,地级区划数(个),地级市数(个),县级区划数(个),市辖区数(个),县级市数(个),县数(个),自治县数(个),乡镇级区划数(个),镇数(个),乡数(个),街道办事处(个)
110000,北京市,2019,,,16,16,,,,333,143,38,152
110000,北京市,2018,0,0,16,16,0,0,0,333,143,38,152
110000,北京市,2017,,,16,16,,,,331,143,38,150
110000,北京市,2016,,,16,16,,,,331,143,38,150
110000,北京市,2015,,,16,16,,,,331,143,38,150
110000,北京市,2014,,,16,14,,2,,329,144,38,147
110000,北京市,2013,,,16,14,,2,,325,144,38,143
110000,北京市,2012,,,16,14,,2,,325,144,38,143
110000,北京市,2011,,,16,14,,2,,322,144,38,140
110000,北京市,2010,,,16,14,,2,,322,142,40,140
110000,北京市,2009,,,18,16,,2,,322,142,40,140
110000,北京市,2008,,,18,16,,2,,317,142,40,135
110000,北京市,2007,,,18,16,,2,,317,142,36,134
110000,北京市,2006,,,18,16,,2,,314,142,36,131
110000,北京市,2005,,,18,16,,2,,314,142,36,131
110000,北京市,2004,,,18,16,,2,,311,142,24,127
110000,北京市,2003,,,18,16,,2,,318,142,40,131
110000,北京市,2002,,,18,16,,2,,322,141,46,130
110000,北京市,2001,,,2,16,,2,,299,125,40,129
110000,北京市,2000,,,5,13,,5,,215,139,71,127
120000,天津市,2019,,,16,16,,,,248,126,3,119
120000,天津市,2018,0,0,16,16,0,0,0,249,126,3,120
120000,天津市,2017,,,16,16,,,,248,124,3,121
120000,天津市,2016,,,16,16,,,,245,124,3,118
120000,天津市,2015,,,16,15,,1,,244,121,6,117
120000,天津市,2014,,,16,13,,3,,240,121,6,113
120000,天津市,2013,,,16,13,,3,,240,121,6,113
120000,天津市,2012,,,16,13,,3,,245,123,11,111
120000,天津市,2011,,,16,13,,3,,244,123,11,110
120000,天津市,2010,,,16,13,,3,,243,115,20,108
120000,天津市,2009,,,16,13,,3,,243,116,20,107
120000,天津市,2008,,,18,15,,3,,243,116,20,107
120000,天津市,2007,,,18,15,,3,,244,117,18,107
120000,天津市,2006,,,18,15,,3,,242,118,18,104
120000,天津市,2005,,,18,15,,3,,241,120,18,101
120000,天津市,2004,,,18,15,,3,,240,120,18,100
120000,天津市,2003,,,18,15,,3,,241,120,18,101
120000,天津市,2002,,,18,15,,3,,239,120,18,99
120000,天津市,2001,,,3,15,,3,,239,120,18,99
120000,天津市,2000,,,4,14,,4,,220,114,98,90
130000,河北省,2019,11,11,168,47,21,94,6,2255,1155,789,310
130000,河北省,2018,11,11,168,47,21,94,6,2255,1156,790,308
130000,河北省,2017,11,11,168,47,20,95,6,2255,1128,818,308
130000,河北省,2016,11,11,168,47,19,96,6,2255,1107,845,302
