年份,电视节目进口总额,从欧洲进口电视节目总额,从非洲进口电视节目总额,从美洲进口电视节目总额,从美国进口电视节目总额,从亚洲进口电视节目总额,从日本进口电视节目总额,从韩国进口电视节目总额,从东南亚进口电视节目总额,从中国香港进口电视节目总额,从中国台湾进口电视节目总额,从大洋洲进口电视节目总额,电视剧进口总额,从欧洲进口电视剧总额,从非洲进口电视剧总额,从美洲进口电视剧总额,从美国进口电视剧总额,从亚洲进口电视剧总额,从日本进口电视剧总额,从韩国进口电视剧总额,从东南亚进口电视剧总额,从中国香港进口电视剧总额,从中国台湾进口电视剧总额,从大洋洲进口电视剧总额,动画电视进口总额,从欧洲进口动画电视总额,从非洲进口动画电视总额,从美洲进口动画电视总额,从美国进口动画电视总额,从亚洲进口动画电视总额,从日本进口动画电视总额,从韩国进口动画电视总额,从东南亚进口动画电视总额,从中国香港进口动画电视总额,从中国台湾进口动画电视总额,从大洋洲进口动画电视总额,纪录片进口总额,从欧洲进口纪录片总额,从非洲进口纪录片总额,从美洲进口纪录片总额,从美国进口纪录片总额,从亚洲进口纪录片总额,从日本进口纪录片总额,从韩国进口纪录片总额,从东南亚进口纪录片总额,从中国香港进口纪录片总额,从中国台湾进口纪录片总额,从大洋洲进口纪录片总额
2019,164302,26281,,75818,73392,61747,28766,1527,5438,23151,2787,457,33793,1639,,3558,3105,28596,2212,1203,5384,17214,2572,,108290,18568,,62249,61065,27403,26184,324,,895,,70,7522,2914,,2842,2746,1486,150,,,1270,,281
2018,360621,51882,7.0,104726,100856,202627,159743,99,7333,27891,7021,1379,80657,5729,,36435,33916,38293,2627,,6704,22025,6938,200.0,250634,35112,7.0,59045,58933,156428,156068,99,236.0,14,11.0,42,6577,3995,,1407,657,1073,1,,99.0,974,,102
2017,190277.88,24565.78,,53102.12,51898.4,110805.79,57694.41,415.99,1637.05,44954.06,2164.08,1804.19,81452.89,6793.77,,30923.58,30921.38,43735.34,2743,,1241.1,38180.84,800.2,,82253.61,7511.66,,15149.4,15134.92,59570.95,54926.12,415.99,240.14,2979.7,649.0,21.6,5940.44,4030.9,,992.05,992.05,666.99,,,155.81,241.18,,250.5
2016,209872.46,10245.61,3.1,47530.81,47014.29,151047.7,84430.59,29450.7,4283.71,24207.26,5491.28,1045.24,81499.5,3300.8,,37958.07,37926.07,40215.63,671,28983.4,2199.72,5256.47,535.3,25.0,105644.89,1168.22,,2280.83,2231.67,102194.84,82237.12,156.26,11.0,15182.02,4608.44,1,3201.9,1473.49,,745.65,681,594.87,25,63.0,134.99,359.18,,387.89
2015,99397.6,9641.37,23.64,22785.17,21658.77,65627.35,38955.03,11675.97,2837.83,9613.07,2494.27,1320.07,29465.61,1361.32,,12344.9,12275.9,15759.39,627.53,11227.18,1039.83,2228.49,636.36,,44472.16,864.38,,2148.63,1619.63,41459.15,38083.72,164,,2019.2,1192.23,,7488.17,2265.95,2.0,2008.99,1893.99,2530.68,106.05,67.74,16.0,2268.38,63.97,680.55
2014,209023.51,9961.59,104.6,21271.36,20058.78,175847.8,93939.99,44295.12,11072.1,21434.97,5055.92,1838.16,169807.3,1371.4,,11053.17,10784.37,157382.73,85462,44129.06,9329.66,14800.29,3661.72,,11027.99,229.2,,1018.98,1018.98,9779.81,8384.18,,,248.8,1146.83,,5274.54,1472.11,104.6,1220.72,1077.5,2189.94,2.64,4.14,,2175.16,8.0,287.17
2013,58658.06,12804.1,126.36,10898.4,10455.58,33834.88,2291.7,7683.2,8557.01,12626.49,2676.48,994.32,24497.67,1938.98,,2420,2420,20138.69,,7404.48,6535.74,4368.47,1830,,4432.38,419.61,,1159.18,1146.83,2853.59,1970.09,60,,712.41,111.09,,9273.32,4178.9,,1232.89,1097.03,3471.61,15,22.0,13.0,3421.61,,389.92
2012,62533.52,8766.07,3.3,8203.83,8144.64,43427.98,3086.07,21144.38,5495.52,8215.52,5431.33,2132.34,39583.88,999.82,,838,838,37641.06,2084,21067.76,5247.52,3919.25,5288.51,105.0,1489.01,111.44,,410.93,410.93,966.64,821.24,,107.0,38.4,,,5976.34,3471.91,3.3,2181.08,2121.89,198.37,26.58,72.44,16.95,82.4,,121.68
2011,54098.62,6094.29,86.75,6473.6,6633.84,26522.96,783.21,9492.17,14697.19,8948.69,3233.35,779.02,34563.57,67,,504,1036,22506.57,575,9487.17,14571.68,5836.88,2656.49,37.0,702.01,161,,491.01,401.01,50,50,,,,,,3682.96,1988.5,,1041.07,1011.07,621.39,33,5.0,,551.51,31.88,32
2010,43046.75,4937,18.0,,13593,,826,2242.8,,,,,21449.75,646,,,551,,318,2091.8,,,,,247,110,,,136,,1,,,,,,,,,,,,,,,,,
2009,49145.63,7192.98,,,12147.42,,1567.14,7087.53,,,,,26887.15,2266,,,,,1176.5,6712.5,,,,,127.5,34,,,74,,19.5,,,,,,,,,,,,,,,,,
2008,45420.67,7152.38,,,7029.34,,3578.01,7967.58,,,,,24293.23,452,,,145,,2901,7572.18,,,,,878.26,403,,,334.25,,45.01,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
