年份,电视节目出口量,向欧洲出口电视节目量,向非洲出口电视节目量,向美洲出口电视节目量,向美国出口电视节目量,向亚洲出口电视节目量,向日本出口电视节目量,向韩国出口电视节目量,向东南亚出口电视节目量,向中国香港出口电视节目量,向中国台湾出口电视节目量,向大洋洲出口电视节目量,电视剧出口量(部),向欧洲出口电视剧量(部),向非洲出口电视剧量(部),向美洲出口电视剧量(部),向美国出口电视剧量(部),向亚洲出口电视剧量(部),向日本出口电视剧量(部),向韩国出口电视剧量(部),向东南亚出口电视剧量(部),向中国香港出口电视剧量(部),向中国台湾出口电视剧量(部),向大洋洲出口电视剧量(部),电视剧出口量(集),向欧洲出口电视剧量(集),向非洲出口电视剧量(集),向美洲出口电视剧量(集),向美国出口电视剧量(集),向亚洲出口电视剧量(集),向日本出口电视剧量(集),向韩国出口电视剧量(集),向东南亚出口电视剧量(集),向中国香港出口电视剧量(集),向中国台湾出口电视剧量(集),向大洋洲出口电视剧量(集),动画电视出口量,向欧洲出口动画电视量,向非洲出口动画电视量,向美洲出口动画电视量,向美国出口动画电视量,向亚洲出口动画电视量,向日本出口动画电视量,向韩国出口动画电视量,向东南亚出口动画电视量,向中国香港出口动画电视量,向中国台湾出口动画电视量,向大洋洲出口动画电视量,纪录片出口量,向欧洲出口纪录片量,向非洲出口纪录片量,向美洲出口纪录片量,向美国出口纪录片量,向亚洲出口纪录片量,向日本出口纪录片量,向韩国出口纪录片量,向东南亚出口纪录片量,向中国香港出口纪录片量,向中国台湾出口纪录片量,向大洋洲出口纪录片量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,29619.38,3300.45,347.0333333,4097.533333,3318.2,21612.5,450.3333333,1207.383333,6159.883333,1208.9,2775.5,261.8666667,419.0,18.0,6.0,46.0,21.0,341.0,13.0,33.0,107.0,29.0,75.0,8.0,25455.0,769.0,287.0,1752.0,806.0,22349.0,544.0,1443.0,6809.0,1153.0,3155.0,298.0,1406.883333,531.15,71.93333333,153.5666667,153.3166667,648.2333333,,6.0,262.9333333,111.9666667,130.0,2.0,1057.1,50.76666667,41.75,260.75,250.6333333,703.8333333,0.016666667,34.26666667,228.75,74.16666667,141.1333333,
2015,25352.0,594.0,891.0,6824.0,5761.0,16913.0,219.0,784.0,7355.0,3428.0,2872.0,129.0,381.0,17.0,22.0,51.0,31.0,283.0,8.0,20.0,129.0,44.0,68.0,8.0,15902.0,373.0,837.0,1982.0,1189.0,12661.0,250.0,923.0,6522.0,1638.0,2603.0,49.0,3091.0,141.0,162.0,185.0,121.0,2512.0,,20.0,365.0,222.0,246.0,91.0,1233.0,148.0,19.0,365.0,262.0,701.0,5.0,19.0,120.0,309.0,187.0,
2014,21669.65,695.3333333333,314.4833333333,8471.5833333333,4558.9,11980.25,261.0166666667,504.75,3410.0833333333,1177.9,2993.5166666667,208.0,296.0,11.0,4.0,66.0,30.0,211.0,6.0,14.0,91.0,24.0,71.0,4.0,13824.0,361.0,155.0,3908.0,992.0,9239.0,336.0,630.0,3897.0,1029.0,3183.0,161.0,2627.8166666667,40.5,19.0666666667,689.3333333333,419.0666666667,1794.55,8.8833333333,2.8666666667,136.8333333333,229.85,183.9333333333,84.3666666667,1546.0,15.0,105.5,956.55,239.55,468.95,,28.0,,36.7,401.5833333333,
2013,21270.0,1065.0,1240.0,10617.0,9380.0,8136.0,561.0,763.0,3549.0,1481.0,1782.0,210.0,243.0,5.0,11.0,45.0,39.0,177.0,13.0,19.0,93.0,16.0,36.0,5.0,11180.0,184.0,414.0,2840.0,1564.0,7541.0,575.0,828.0,3798.0,731.0,1609.0,201.0,2507.0,223.0,850.0,417.0,417.0,1018.0,121.0,45.0,422.0,240.0,190.0,,3241.0,154.0,80.0,2055.0,1809.0,943.0,7.0,97.0,155.0,294.0,390.0,10.0
2012,37573.0,916.0,283.0,18246.0,15538.0,14949.0,242.0,695.0,5554.0,2775.0,5442.0,3179.0,326.0,20.0,11.0,57.0,48.0,199.0,9.0,14.0,78.0,42.0,45.0,39.0,15329.0,537.0,332.0,2063.0,1759.0,8521.0,257.0,590.0,3472.0,1861.0,2095.0,3876.0,1678.0,239.0,,449.0,383.0,961.0,,53.0,325.0,306.0,199.0,28.0,2369.0,59.0,3.0,498.0,498.0,1545.0,7.0,115.0,364.0,374.0,685.0,264.0
2011,25657.0,888.0,1294.0,6949.0,8455.0,11106.0,625.0,1039.0,5217.0,2775.0,2318.0,52.0,298.0,3.0,26.0,87.0,87.0,152.0,17.0,17.0,78.0,28.0,39.0,2.0,14001.0,130.0,1034.0,3337.0,3396.0,8381.0,573.0,682.0,4851.0,1561.0,1750.0,67.0,426.0,79.0,3.0,155.0,103.0,261.0,1.0,26.0,260.0,109.0,27.0,,111.0,38.0,33.0,,,40.0,31.0,33.0,,5.0,37.0,
2010,13762.0,505.0,113.0,,3032.0,,192.0,668.0,,,,,288.0,8.0,2.0,,89.0,,4.0,13.0,,,,,12362.0,338.0,81.0,,2838.0,,134.0,521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
