年份,电视节目进口量,从欧洲进口电视节目量,从非洲进口电视节目量,从美洲进口电视节目量,从美国进口电视节目量,从亚洲进口电视节目量,从日本进口电视节目量,从韩国进口电视节目量,从东南亚进口电视节目量,从中国香港进口电视节目量,从中国台湾进口电视节目量,从大洋洲进口电视节目量,电视剧进口部数,从欧洲进口电视剧部数,从非洲进口电视剧部数,从美洲进口电视剧部数,从美国进口电视剧部数,从亚洲进口电视剧部数,从日本进口电视剧部数,从韩国进口电视剧部数,从东南亚进口电视剧部数,从中国香港进口电视剧部数,从中国台湾进口电视剧部数,从大洋洲进口电视剧部数,电视剧进口集数,从欧洲进口电视剧集数,从非洲进口电视剧集数,从美洲进口电视剧集数,从美国进口电视剧集数,从亚洲进口电视剧集数,从日本进口电视剧集数,从韩国进口电视剧集数,从东南亚进口电视剧集数,从中国香港进口电视剧集数,从中国台湾进口电视剧集数,从大洋洲进口电视剧集数,动画电视进口量,从欧洲进口动画电视量,从非洲进口动画电视量,从美洲进口动画电视量,从美国进口动画电视量,从亚洲进口动画电视量,从日本进口动画电视量,从韩国进口动画电视量,从东南亚进口动画电视量,从中国香港进口动画电视量,从中国台湾进口动画电视量,从大洋洲进口动画电视量,纪录片进口量,从欧洲进口纪录片量,从非洲进口纪录片量,从美洲进口纪录片量,从美国进口纪录片量,从亚洲进口纪录片量,从日本进口纪录片量,从韩国进口纪录片量,从东南亚进口纪录片量,从中国香港进口纪录片量,从中国台湾进口纪录片量,从大洋洲进口纪录片量
2019,16182,1871,,7677,7354,6522,4579,70,1122,580,163,112,143,23,,11,9,109,33,2,60,5,8,,2539,180,,252,156,2107,268,34,1483,115,197,,6706,664,,1725,1611,4313,4248,45,,20,,5,1378,628,,499,417,226,37,,,189,,25
2018,66341,4951,1.0,41926,41653,19136,13446,46,884,3769,916,327,360,49,,103,83,207,22,,32,127,26,1.0,6846,236,,1524,1336,5026,204,,766,3681,375,60.0,18213,1865,1.0,2665,2659,13609,13258,46,213.0,19,1.0,72,1785,1032,,389,200,277,1,,4.0,272,,84
2017,26395.75,8242.26666666667,,6771.5,6621.11666666667,11077.9166666667,7488.8,147.466666666667,909.666666666667,1010.68333333333,83.3833333333333,304.066666666667,302,92,,95,84,114,15,,28,14,4,1.0,2701,259,,825,814,1616,127,,838,383,55,1.0,12022.4833333333,1526.21666666667,,2403.31666666667,2393.78333333333,8040.88333333333,7386.66666666667,147.466666666667,276.75,134,16.0,52.0666666666667,4923.91666666667,2557.7,,2174.21666666667,2174,188.666666666667,,,4.16666666666667,57.1666666666667,,3.33333333333333
2016,20102.22,3915.35,,6898.016667,6861.266667,9184.25,3528.3,1342.65,923.5,1612.283333,1113.85,104.4,277,38,,74,73,164,14,55,28,27,37,1.0,5070,339,,1114,1101,3613,152,1319,826,652,541,4.0,7751.966667,153.2166667,,2899.833333,2899.833333,4694.916667,3258.516667,210,61.0,478.8,686.6,4,3863.016667,1524.016667,,1739.833333,1739.833333,578.5,8,62.0,165.0,324,,20.66666667
2015,31109,6447,49.0,7473,5918,16923,14063,1038,204,1166,445,217,126,23,,10,9,93,16,26,8,28,15,,2340,278,,154,104,1908,184,592,182,532,418,,12690,1493,,2292,1765,8905,8431,296,,133,45.0,,3722,1186,48.0,1842,1624,630,56,16.0,17.0,508,33.0,16
2014,26088.8166666667,7216.9833333333,2.5,6206.9,6073.9,12592.0166666667,3087.5833333333,3348.35,1239.3333333333,3370.8666666667,1543.3833333333,70.4166666667,635,82,,110,109,443,67,186,48,108,33,,14022,281,,2459,2411,11282,825,4437,1540,2941,1519,,4560.1166666667,415.85,,1041.1333333333,1041.1333333333,3103.1333333333,2420.8333333333,,,159.1,523.2,,2132.7333333333,1245.1833333333,2.5,376.2666666667,341.7666666667,492.8666666667,6,0.8333333333,,483.5166666667,2.5166666667,15.9166666667
2013,18943,6657,11.0,4863,4603,7294,1299,1383,813,3612,187,119,213,30,0.0,43,42,140,,43,22,70,5,,6547,278,0.0,970,950,5299,,1706,787,2640,166,,2879,878,,805,639,1196,1004,30,,144,18.0,,2637,1195,,467,417,960,12,26.0,2.0,920,,16
2012,13089,5130,1.0,4077,4061,3599,166,1299,619,1225,252,282,117,5,,9,9,99,4,49,20,13,12,4.0,3164,117,,111,111,2906,107,1519,552,378,310,30.0,385,17,,294,294,74,45,,14.0,15,,,1976,841,1.0,918,913,173,11,148.0,8.0,6,,44
2011,21790,8224,9.0,1122,6905,2055,86,583,1133,914,362,66,146,4,,30,31,58,1,24,40,33,12,1.0,3423,8,,30,50,1927,23,767,1063,875,330,2.0,279,65,,205,165,8,8,,,,,,955,502,,257,249,182,22,4.0,,154,1.0,8
2010,22197,9363,3.0,,8526,,350,1285,,,,,156,8,,,10,,3,26,,,,,4482,46,,,137,,34,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
