年份,社会服务机构单位数,行政机关单位数,民政行政机关单位数,社会工作单位数,提供住宿的社会服务机构单位数,老年人与残疾人服务机构单位数,城市养老服务机构单位数,农村养老服务机构单位数,社会福利院单位数,光荣院单位数,荣誉军人康复医院单位数,复员军人疗养院单位数,社区养老服务机构单位数,智障与精神疾病服务机构单位数,复退军人精神病院单位数,社会福利医院单位数,儿童收养救助服务机构单位数,儿童福利机构单位数,流浪儿童救助保护中心单位数,其他提供住宿的服务机构单位数,生活无着人员救助管理站单位数,军休管理单位单位数,军供站单位数,其他收养机构单位数,不提供住宿的社会服务机构单位数,社区服务中心(站)单位数,救灾储备仓库单位数,社会福利企业单位数,福利彩票发行单位单位数,烈士纪念建筑物管理单位单位数,捐赠、救助等其他事业单位单位数,老龄机构单位数,成员组织和其他社会服务机构单位数,成员组织单位数,社会组织单位数,社会团体单位数,基金会单位数,民办非企业单位单位数,自治组织单位数,社区居委会单位数,村民委员会单位数,其他社会服务机构单位数,婚姻单位数,婚姻登记服务机构单位数,殡葬单位数,殡仪馆数,公墓数,殡葬管理机构单位数
2019,,,,,37000,34000,,,,,,,,,,,,663,,,,,,,,,,,,,,,,,866335,371638,7585,487112,642693,109620,533073,,,,,,,
2018,,,,,33000,30000,,,,,,,,,,,,664,,,,,,,,,,,,,,,,,817360,366234,7034,444092,649888,107869,542019,,,,,,,
2017,,,,,32000,29000,,,,,,,,,,,,656,,,,,,,,,,,,,,,,,761539,354794,6307,400438,660709,106491,554218,,,,,,,
2016,,,,,31000,28000,,,,,,,,,,,,713,,,,,,,,,,,,,,,,,702405,335932,5559,360914,662478,103292,559186,,,,,,,
2015,1765004.0,,,413372.0,31187,27752,,,,,,,,,91.0,151.0,,478,275.0,,1766.0,,320.0,339.0,382185.0,,776.0,14585.0,861.0,1464.0,,2280.0,1349554.0,1342960.0,662425,328500,4784,329141,680535,99679,580856,6594.0,,2064.0,4530.0,1821.0,1567.0,1127.0
2014,1668143.0,,,370893.0,37000,33043,,,,,,,,,98.0,156.0,,545,345.0,,1949.0,,327.0,334.0,274799.0,,868.0,16389.0,893.0,1516.0,,2558.0,1294987.0,1288192.0,606048,309736,4117,292195,682144,96693,585451,6795.0,,2236.0,4559.0,1801.0,1598.0,1141.0
2013,1562298.0,3492.0,,323061.0,45977,42475,7077.0,30247.0,1825.0,1425.0,42.0,38.0,,261.0,106.0,155.0,803.0,529,274.0,2438.0,1891.0,1821.0,325.0,196.0,277084.0,,784.0,18227.0,940.0,1463.0,,2571.0,1236853.0,1230412.0,547245,289026,3549,254670,683167,94620,588547,6441.0,,2059.0,4382.0,1784.0,1506.0,1063.0
2012,1366650.0,3493.0,,179045.0,48000,44304,6464.0,32787.0,1719.0,1399.0,43.0,41.0,,257.0,101.0,156.0,724.0,463,261.0,2820.0,1770.0,1851.0,695.0,328.0,130940.0,104237.0,665.0,20232.0,955.0,1306.0,3269.0,2583.0,1185179.0,1178896.0,499268,271131,3029,225108,679628,91153,588475,6283.0,1926.0,1926.0,4357.0,1782.0,1597.0,978.0
2011,1293986.0,3483.0,3483.0,146451.0,46000,42828,5616.0,32140.0,1597.0,1389.0,42.0,40.0,44.0,251.0,96.0,155.0,638.0,397,241.0,2256.0,1547.0,1960.0,327.0,382.0,100478.0,70547.0,553.0,21507.0,974.0,1227.0,3167.0,2503.0,1147535.0,1141104.0,461971,254969,2614,204388,679133,89480,589653,6431.0,2328.0,2328.0,4103.0,1745.0,1406.0,952.0
2010,1268926.0,3482.0,3482.0,131833.0,44000,39904,5413.0,31472.0,1572.0,1371.0,40.0,36.0,,251.0,94.0,157.0,480.0,335,145.0,3847.0,1448.0,1957.0,330.0,112.0,87351.0,56957.0,455.0,22226.0,993.0,1195.0,3060.0,2465.0,1133611.0,1127346.0,445631,245256,2200,198175,681715,87057,594658,6265.0,2314.0,2314.0,3951.0,1724.0,1308.0,919.0
2009,1262066.0,3498.0,3498.0,137637.0,44000,39671,5291.0,31286.0,1611.0,1401.0,47.0,35.0,,266.0,89.0,177.0,419.0,303,116.0,3588.0,1372.0,1876.0,330.0,10.0,30520.0,63173.0,326.0,22783.0,988.0,1137.0,2977.0,2309.0,,1114836.0,431069,238747,1843,190479,683767,84689,599078,6095.0,2199.0,2199.0,3896.0,1729.0,1266.0,901.0
2008,1195492.0,3500.0,3500.0,,41000,,,,,,,,,,,,,,,,,,,,,,301.0,23780.0,999.0,,3108.0,2396.0,,1101358.0,413660,229681,1597,182382,687698,83413,604285,5770.0,2016.0,,3754.0,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386916,211661,1340,173915,694715,82006,612709,,,,3669.0,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354393,191946,1144,161303,704386,80717,623669,,,,3549.0,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319762,171150,975,147637,709026,79947,629079,,,,3284.0,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289432,153359,892,135181,722050,77884,644166,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266612,141167,954,124491,740917,77431,663486,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244509,133297,,111212,767364,86087,681277,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210939,128805,,82134,791867,91893,699974,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153322,130668,,22654,840083,108424,731659,,,,,,,
