年份,社会服务机构职工人数,行政机关职工人数,民政行政机关职工人数,社会工作职工人数,提供住宿的社会服务机构职工人数,老年人与残疾人服务机构职工人数,城市养老服务机构职工人数,农村养老服务机构职工人数,社会福利院职工人数,光荣院职工人数,荣誉军人康复医院职工人数,复员军人疗养院职工人数,社区养老服务机构职工人数,智障与精神疾病服务机构职工人数,复退军人精神病院职工人数,社会福利医院职工人数,儿童收养救助服务机构职工人数,儿童福利机构职工人数,流浪儿童救助保护中心职工人数,其他提供住宿的服务机构职工人数,生活无着人员救助管理站职工人数,军休管理单位职工人数,军供站职工人数,其他收养机构职工人数,不提供住宿的社会服务机构职工人数,社区服务中心(站)职工人数,救灾储备仓库职工人数,社会福利企业职工人数,福利彩票发行单位职工人数,烈士纪念建筑物管理单位职工人数,捐赠、救助等其他事业单位职工人数,老龄机构职工人数,成员组织和其他社会服务机构职工人数,成员组织职工人数,社会组织职工人数,社会团体职工人数,基金会职工人数,民办非企业单位职工人数,自治组织职工人数,社区居委会职工人数,村民委员会职工人数,其他社会服务机构职工人数,婚姻职工人数,婚姻登记服务机构职工人数,殡葬职工人数,殡仪馆职工人数,公墓职工人数,殡葬管理机构职工人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1309.0,,,282.1,38.5,31.8,,,,,,,,,1.1343,1.4393,,1.2038,0.1751,,1.7419,,0.5201,0.4791,243.4868,,0.2288,111.3183,1.1972,1.005,,0.9316,1025.2,1015.7149,734.7892,390.1849,2.5028,342.1015,280.9257,51.2196,229.7061,9.5,,1.0373,8.5,4.6725,2.7277,0.9759
2014,1251.0,,,277.3,40.3,33.4,,,,,,,,,1.2,1.4,,1.3,0.2,,1.8,,0.5,0.5,222.5333,,0.2,125.4,1.1,1.0,,1.0,971.8,962.5,682.2623,373.6265,2.0394,306.5964,280.2062,49.7,230.5,9.3,,1.0,8.2651,4.6,2.7,0.95
2013,1197.8,9.4,,269.3,42.4,35.6,11.0,16.4,4.5,1.2,0.5,0.3,,2.5,1.1,1.4,1.4,1.2,0.2,2.9,1.8,1.7,0.6,0.4,226.9,,0.2,137.3,1.1,1.0,,1.0,926.5,917.4,636.5813,353.1635,1.8646,281.5532,280.7128,48.4,232.3,9.1,,1.0,8.0768,4.6,2.5,0.9
2012,1144.7,9.3,,241.4,39.8,33.1,9.3,15.9,4.2,1.2,0.5,0.3,,2.3,1.0,1.3,1.3,1.1,0.2,3.1,1.7,1.7,0.7,0.6,201.6,47.6,0.2,150.0,0.9,1.0,2.8,1.1,901.1,892.5,613.2774,346.9467,1.8686,264.4621,279.2,46.9,232.3,8.6,0.9,0.9,7.7254,4.5,2.3,0.9
2011,1120.8,9.0,9.0,235.7,37.4,31.2,8.1,15.2,3.9,1.2,0.5,0.3,0.1,2.3,1.0,1.3,1.2,1.0,0.2,2.7,1.6,1.9,0.5,0.6,198.3,33.7,0.2,158.9,0.9,0.9,2.7,1.0,885.1,876.6,599.2765,363.0298,1.4141,234.8326,277.3,45.4,231.9,8.5,0.9,0.9,7.5254,4.5,2.2,0.9
2010,1138.4,8.9,8.9,225.6,34.8,27.4,7.3,14.2,3.9,1.2,0.5,0.3,,2.3,1.0,1.3,1.0,0.9,0.1,4.1,1.5,1.9,0.6,0.1,190.8,27.9,0.1,157.5,0.8,0.9,2.7,0.9,903.9,895.5,618.1918,396.0704,1.3164,220.805,277.3,43.9,233.4,8.4,0.9,0.9,7.523,4.5,2.2,0.8
2009,1038.0336,8.7542,8.7542,199.4,33.0,25.8,6.4,13.6,3.7,1.3,0.5,0.3,,2.2,0.9,1.3,0.9,0.8,0.1,4.1,1.6,1.9,0.7,0.03,159.5,6.8,0.1083,154.4329,0.739,0.9,2.4461,0.8692,,821.7794,544.6666,335.6506,1.2,207.816,277.1,43.1,234.0,8.209,0.804,0.8,7.405,4.5,2.1,0.8
2008,967.3279,8.6579,8.6579,,32.6,,,,,,,,,,,,,,,,,,,,,,0.1097,154.256,0.7088,,2.631,0.8928,,751.8657,475.8332,285.5858,1.0414,189.206,276.0325,42.2,233.9,8.2272,0.7541,,7.4731,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.8515,288.5287,1.8269,166.4959,282.7238,41.6,241.1,,,,7.3227,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.185,269.5983,1.5391,154.0476,287.3,44.3,243.0,,,,7.05,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.1,45.4,265.7,,,,6.8588,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.6,42.5,292.1,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.8,39.7,319.1,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.8,39.6,294.2,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.8,46.4,316.4,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.4,48.4,315.0,,,,,,,
