年份,高技术产业新产品开发经费(大中型工业企业口径),医药制造业高技术产业新产品开发经费(大中型工业企业口径),化学药品制造高技术产业新产品开发经费(大中型工业企业口径),中成药制造高技术产业新产品开发经费(大中型工业企业口径),生物、生化制品的制造高技术产业新产品开发经费(大中型工业企业口径),航空航天器制造业高技术产业新产品开发经费(大中型工业企业口径),电子及通信设备制造业高技术产业新产品开发经费(大中型工业企业口径),通信设备制造业高技术产业新产品开发经费(大中型工业企业口径),雷达及配套设备制造业高技术产业新产品开发经费(大中型工业企业口径),广播电视设备制造业高技术产业新产品开发经费(大中型工业企业口径),电子器件制造业高技术产业新产品开发经费(大中型工业企业口径),电子元件制造业高技术产业新产品开发经费(大中型工业企业口径),家用视听设备制造业高技术产业新产品开发经费(大中型工业企业口径),其他电子设备制造高技术产业新产品开发经费(大中型工业企业口径),电子计算机及办公设备制造业高技术产业新产品开发经费(大中型工业企业口径),电子计算机整机制造业高技术产业新产品开发经费(大中型工业企业口径),电子计算机外部设备制造业高技术产业新产品开发经费(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业新产品开发经费(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业新产品开发经费(大中型工业企业口径),仪器仪表制造业高技术产业新产品开发经费(大中型工业企业口径)
2019,4389.3,,,,,,,,,,,,,,,,,,,
2018,3768.44686,,,,,,,,,,,,,,,,,,,
2017,3421.29505,,,,,,,,,,,,,,,,,,,
2016,3000.35553,,,,,,,,,,,,,,,,,,,
2015,2574.6,,,,,,,,,,,,,,,,,,,
2014,2350.6,,,,,,,,,,,,,,,,,,,
2013,2069.5,,,,,,,,,,,,,,,,,,,
2012,1827.4769,,,,,,,,,,,,,,,,,,,
2011,1528.0302,,,,,,,,,,,,,,,,,,,
2010,1006.93846,131.4,87.81,22.59,14.01,103.34,539.27,199.44,8.06,6.73,129.7,104.94,75.19,15.21,147.97,56.33,71.19,84.96,20.61,64.35
2009,925.07433,107.34,68.04,21.0,10.81,76.46,544.25,279.32,7.56,6.04,87.83,78.08,72.64,12.78,127.15,51.07,57.39,69.87,17.17,52.7
2008,798.4007,87.19137,56.38882,16.8829,8.51503,49.4423,486.56498,228.09793,4.24492,5.99384,81.56997,75.58226,76.53668,14.53938,125.208,53.77652,57.46341,49.99406,11.42854,38.56552
2007,652.02839,73.94351,47.04758,17.65876,5.16277,43.8266,392.87258,164.51179,7.99308,3.97575,63.02997,76.55965,70.87473,5.92761,101.33636,42.11871,44.06032,40.04934,8.70859,31.34075
2006,509.95343,55.75759,35.57848,15.13696,3.33453,34.95234,312.24493,137.53784,3.58926,4.52451,46.59308,56.9796,59.33263,3.68801,82.80655,44.34812,35.68109,24.19202,5.05681,19.13521
2005,415.69158,44.7725,30.04819,9.70475,2.83729,30.16323,261.13261,126.78792,2.74867,2.74376,35.58489,31.55402,58.98399,2.72936,61.77876,27.10335,30.77093,17.84448,3.31423,14.53025
2004,258.8201,26.497,7.5644,9.8525,1.5178,22.899,144.8101,64.3312,1.7511,1.7297,24.299,14.8326,37.1674,0.699,56.5736,44.3346,7.6207,8.0405,1.4124,6.6281
2003,207.5842,22.86162,6.14171,6.58454,1.59463,19.88383,118.75835,60.48647,1.87874,0.65549,14.08543,12.58466,26.859,2.20856,37.93913,29.34771,7.01618,8.1413,1.3906,6.7507
2002,,18.9533,4.7527,6.6704,1.7745,195.0704,101.0877,48.0263,1.478,0.5492,11.5283,7.8756,30.0593,1.571,23.3615,15.6914,6.5266,6.1465,1.0552,5.0913
2001,,3.59848,1.30622,0.82648,0.29275,1.78988,20.16716,12.07251,0.07903,0.0015,2.34928,1.19796,4.3655,0.10138,1.95554,1.07377,0.8664,0.64129,0.05386,0.58743
2000,117.79403,,,,,,,,,,,,,,,,,,,
