年份,高技术产业研究与试验发展经费(大中型工业企业口径),医药制造业高技术产业研究与试验发展经费(大中型工业企业口径),化学药品制造高技术产业研究与试验发展经费(大中型工业企业口径),中成药制造高技术产业研究与试验发展经费(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展经费(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展经费(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展经费(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展经费(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展经费(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展经费(大中型工业企业口径)
2019,3077.8,,,,,,,,,,,,,,,,,,,
2018,2912.52694,,,,,,,,,,,,,,,,,,,
2017,2644.65164,,,,,,,,,,,,,,,,,,,
2016,2437.60503,,,,,,,,,,,,,,,,,,,
2015,2219.7,,,,,,,,,,,,,,,,,,,
2014,1922.2,,,,,,,,,,,,,,,,,,,
2013,1734.4,,,,,,,,,,,,,,,,,,,
2012,1491.494,,,,,,,,,,,,,,,,,,,
2011,1237.8065,,,,,,,,,,,,,,,,,,,
2010,967.82997,122.62621,81.45473,20.77205,13.28277,92.84271,572.4094,304.70684,5.69766,4.07705,93.32985,87.07981,63.57619,13.94195,117.5661,44.75835,56.37231,62.3856,14.86117,47.52443
2009,774.04986,99.62208,63.61422,20.36122,9.6793,65.7822,454.84857,238.83418,7.38581,3.87315,68.40946,67.5056,59.0999,9.74047,98.86649,42.20165,40.44202,54.93052,14.32344,40.60708
2008,655.1994,79.08787,52.094,16.26,6.64224,51.9869,402.93842,202.13344,3.79725,4.66721,61.31126,58.52999,63.01751,9.48176,80.896,34.71715,32.95842,40.29019,9.59073,30.69946
2007,545.32441,65.88362,41.87994,15.68732,5.52253,42.5938,324.52077,157.12547,7.54027,3.16034,45.12026,53.44838,54.26849,3.85756,81.81694,34.98107,32.27087,30.50928,7.31625,23.19303
2006,456.43672,52.58564,35.42372,12.83575,3.05916,33.34176,276.88535,131.32451,5.55659,2.99319,40.9283,43.11861,50.64525,2.3189,72.92505,40.85452,30.65458,20.69892,5.2409,15.45802
2005,362.49852,39.95102,27.38321,9.1512,2.29548,27.79692,234.7164,119.65852,2.44716,1.81049,32.87209,25.79965,50.08841,2.04008,43.44797,21.19988,20.75595,16.58621,3.44807,13.13814
2004,292.1315,28.1812,8.1994,9.382,1.6769,25.2502,188.5462,106.3161,1.9305,1.7017,27.7802,18.8352,31.505,0.4776,39.5999,22.404,8.7462,10.5541,1.9482,8.6059
2003,222.4421,27.66653,7.99925,8.79855,1.5238,22.259,138.50178,77.6355,1.34776,0.57911,21.04121,12.62378,22.51393,2.76049,25.74867,17.20702,5.95558,8.26609,1.08831,7.17778
2002,,21.6997,6.8033,6.68,1.6772,22.2912,112.1617,71.5857,1.719,0.5578,10.6007,7.1014,18.8346,1.7627,24.8781,14.9946,8.512,6.0386,1.2211,4.8176
2001,,19.25438,5.91433,5.92327,2.13428,16.52177,105.38618,71.48308,1.70092,0.22816,6.52862,5.53051,18.10037,1.81452,10.75584,4.10771,6.34306,5.13614,0.68364,4.4525
2000,111.041,,,,,,,,,,,,,,,,,,,
