年份,农村居民平均每户常住人口,农村居民低收入户每户常住人口,农村居民中等偏下户每户常住人口,农村居民中等收入户每户常住人口,农村居民中等偏上户每户常住人口,农村居民高收入户每户常住人口
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,3.8811,4.441557403,4.213070245,3.95082975,3.613688433,3.186519951
2011,3.8987,4.492114947,4.227778068,3.928346012,3.627020553,3.218355516
2010,3.95477,4.52,4.25,4.0,3.71,3.3
2009,3.98,4.48,4.27,4.05,3.75,3.35
2008,4.0137,4.54,4.32,4.07,3.76,3.37
2007,4.03,4.57,4.31,4.05,3.81,3.4
2006,4.05,4.58,4.32,4.08,3.83,3.46
2005,4.07,4.58,4.35,4.1,3.86,3.48
2004,4.08,4.6,4.34,4.1,3.86,3.5
2003,4.1,4.61,4.34,4.11,3.9,3.54
2002,4.13,4.66,4.36,4.15,3.92,3.56
2001,,,,,,
2000,,,,,,
