年份,谷物及谷物粉进口金额,小麦进口金额,稻谷和大米进口金额,大豆进口金额,食用植物油进口金额,食糖进口金额,天然橡胶进口金额,合成橡胶进口金额,原木进口金额,锯材进口金额,纸浆进口金额,羊毛及毛条进口金额,棉花进口金额,纺织用合成纤维进口金额,聚酯纤维进口金额,聚丙烯腈纤维进口金额,铁矿砂及其精矿进口金额,锰矿砂及其精矿进口金额,铜矿砂及其精矿进口金额,铬矿砂及其精矿进口金额,氧化铝进口金额,煤进口金额,原油进口金额,成品油进口金额,乙二醇进口金额,对苯二甲酸进口金额,己内酰胺进口金额,医药品进口金额,肥料进口金额,尿素进口金额,氮、磷、钾复合肥进口金额,磷酸氢二胺进口金额,氯化钾进口金额,原形聚乙烯进口金额,原形聚丙烯进口金额,原形聚苯乙烯进口金额,ABS树脂进口金额,原形聚氯乙烯进口金额,聚酯切片进口金额,农药进口金额,纸及纸板进口金额,钢材进口金额,未锻造的铜及铜合金进口金额,铜材进口金额,未锻造的铝及铝合金进口金额,铝材进口金额,锅炉进口金额,制冷设备用压缩机进口金额,金属加工机床进口金额,阀门进口金额,自动数据处理设备及其部件进口金额,电话机进口金额,收音设备(包括收录音组合机及整套散件)进口金额,电视机进口金额,电视显像管进口金额,汽车进口金额,小轿车进口金额,货车进口金额,自卸车进口金额,装有引擎的汽车底盘进口金额,汽车零件进口金额,飞机进口金额,船舶进口金额,医疗仪器及器械进口金额,机电产品进口金额,高新技术产品进口金额
2019,5202.503076,1003.071764,1297.190043,35342.021503,6333.542508,1121.129142,3374.938287,6676.41109,9433.798486,8591.598381,17112.908474,2474.970995,3570.337307,873.028362,252.002695,249.312327,101331.393341,6356.343637,33908.944334,2626.333886,672.814787,23394.472444,242384.862765,17075.906678,5813.607305,770.485005,306.231284,35709.320395,3527.190558,46.54415,662.211964,,2653.408786,11766.820476,4045.931154,6262.916018,3279.285787,860.694151,555.806417,761.984012,4644.144229,14112.554788,26998.588416,5482.152208,519.949391,2390.390557,20.622282,936.775276,7275.337175,7157.013979,32457.234301,458.880933,176.540954,15.392128,,48383.662262,20372.129187,1116.56228,13.451948,109.131603,,16030.793938,,12463.928115,907895.486717,637791.458038
2018,5911.933,858.26,1639.179,38087.023,4727.907,1028.802,3606.723,7621.876,10984.839,10131.133,19715.64,3278.45,3171.755,1079.449,284.138,423.721,75922.183,5811.172,31935.146,2853.037,320.469,24761.456,240380.261,20142.57,9005.704,667.899,349.423,29607.012,2723.751,45.433,669.03,24.545,1847.918,12334.129,4193.775,6940.295,3923.696,997.929,463.954,689.566,5526.75,16434.849,31450.641,5996.899,449.459,2701.687,24.618,1069.243,9664.425,7321.915,32894.269,310.546,282.621,17.055,,50514.298,19373.807,812.791,16.687,161.054,,27581.302,,11246.174,965699.685,671661.136
2017,6485.237,1082.522,1860.004,39637.651,4530.56,1078.478,4917.019,8472.742,9920.683,10065.485,15341.668,2799.483,2189.77,891.457,230.236,343.778,76277.802,4005.63,26385.711,3441.811,1100.964,22636.707,162328.434,14485.625,7389.829,352.931,429.463,26795.569,2339.673,29.888,461.285,0.026,1714.257,10565.078,3843.863,5801.036,3509.14,1052.726,306.998,681.357,4322.096,15170.11,25458.697,5799.687,396.849,2471.495,53.357,1037.402,8741.885,6108.811,27578.04,771.59,258.481,24.493,,50531.469,17221.866,483.66,6.302,126.753,,23053.141,,9704.733,854496.411,584033.589
2016,5705.236,815.852,1614.281,33981.149,4163.936,1170.556,3354.595,5356.034,8085.187,8137.759,12240.712,2387.29,1570.084,716.28,168.96,300.471,58032.584,2074.643,20888.054,1618.525,872.054,14151.928,116660.748,11157.369,4850.774,302.426,277.854,22094.915,2404.446,15.948,554.261,14.259,1721.776,8511.588,3525.937,4639.52,2757.328,863.681,272.129,674.962,3280.418,13153.123,21584.739,4815.355,489.095,2420.43,41.484,919.576,7513.496,5388.166,27182.465,2554.871,252.506,43.461,,44484.13,13500.43,,,184.276,,20432.497,,8979.567,771385.297,523620.581
2015,9391.460723,901.5425429999999,1497.7557960000001,34769.084187,5010.645106,1774.0682709999999,3916.193685,3893.600194,8062.620022,7503.83292,12754.607674,2573.766057,2572.1237429999996,880.062505,189.909716,425.477326,57620.297531000004,1993.601704,19203.684999,1788.067723,1630.90152,12101.334557,134451.22136300002,14303.436983,6941.997098,478.640442,360.706963,20346.298285999997,3933.886128,3.6923600000000003,826.322552,42.589962,2970.770702,9325.880447000001,4438.779061,5045.859002,2991.032305,939.6843769999999,262.90649699999994,748.44352,3348.7813220000003,14334.801203,23968.904905,5061.692352,460.897676,2803.360716,25.055836,994.386271,8614.866182,5663.054347,27660.668245,3058.765069,303.001101,19.609050999999997,0.351191,44666.412028,13796.972461,299.04740000000004,13.765444,231.61488699999998,,24441.930328000002,,8169.020015,806139.1533860001,548057.9944320001
2014,6217.307421,978.55,1254.243076,40261.719672,5931.534198,1494.2407790000002,4951.416848,3973.057194,11782.227411,8086.222681,12065.923938999998,2508.021345,4991.479279,1045.428532,240.073899,520.182907,93439.146836,2718.871323,21463.925355,1830.9171640000002,1924.499292,22257.214866,228288.472075,23452.955912999998,7892.119859,1073.013864,504.2019,19095.215204,3367.210724,3.049326,640.0658149999999,99.84967,2521.280878,10378.271876,5821.825846,6226.110771,3574.7449380000003,1111.484958,328.85826199999997,770.62667,3588.970166,17913.739554,29552.394812,6036.456387,744.37,3017.158444,33.68568,1164.452396,10818.0806,6417.900332,30546.425549,1843.7707169999999,359.421043,18.534038,4.707793,60630.188516999995,21037.548172,641.115483,64.680278,150.92278,,25962.55702,,8300.260822,854086.100508,551236.262094
2013,5100.598,1880.561,1083.027,38009.435,8074.891,2068.666,6392.577,4428.359,9320.143,6826.29,11375.263,2839.832,8441.348,1154.421,241.569,667.706,106175.378,3192.361,19508.977,2388.387,1404.513,29066.367,219660.366,32025.729,8679.601,2988.339,1075.923,16216.23,3392.738,10.903,753.342,113.352,2376.553,9582.699,5595.865,6407.914,3597.079,1226.13,351.545,692.919,3660.266,17052.458,28546.912,6446.101,1010.044,3026.305,42.907,1149.781,10065.937,6500.593,30824.291,1809.894,266.63,30.875,7.571,48716.791,17618.306,839.814,145.072,135.823,25391.959,20904.037,864.473,7892.845,839699.585,557942.235
2012,4786.732,1108.628,1153.346,34990.169,9692.123,2243.744,6813.468,5096.966,7252.875,5517.49,10972.829,2710.015,11804.254,1008.656,211.209,592.483,95739.598,2185.989,16950.727,2035.572,1816.065,28716.134,220799.886,33071.835,8130.446,5863.588,1813.653,13886.021,4048.885,71.349,753.927,102.95,2918.533,7764.548,5802.55,6317.293,3624.218,1365.412,324.689,592.302,3835.385,17805.22,31870.502,6744.706,1400.363,3389.468,69.23,1050.888,13653.557,6029.727,36937.878,1735.984,216.763,14.138,24.686,47488.064,19562.911,1559.485,192.973,81.032,22967.887,15692.691,601.385,7087.361,782627.345,507077.819
2011,2043.795,423.687,407.638,29834.182,7714.002,1943.4,9379.818,5361.74,8273.132,5711.886,11939.627,2924.684,9468.736,1116.906,238.411,678.75,112406.539,2674.563,15518.135,2663.791,777.809,23890.29,196664.467,32698.702,8523.127,8238.762,2059.042,11308.094,3465.118,1.457,531.911,58.573,2691.321,7343.882,5874.85,6772.669,4119.957,1594.864,350.103,488.698,4076.117,21575.915,28976.396,7828.354,827.96,3592.775,87.981,1134.091,13240.215,6321.947,31675.215,1322.953,232.749,10.075,73.758,43092.346,18630.241,1492.315,258.272,90.87,22091.464,11649.243,783.228,5964.85,753289.174,462992.356
2010,1527.26,315.836,271.359,25081.233,6026.715,905.783,5666.878,4269.755,6071.094,3868.635,8817.786,2042.993,5655.856,944.679,226.271,556.81,79427.005,2805.053,12678.559,2398.089,1498.562,16932.08,135151.09,22343.018,5707.711,6245.561,1560.252,8040.511,2596.498,3.043,445.864,157.676,1840.566,6477.225,5175.173,6674.155,4216.11,1624.688,334.635,421.274,3696.411,20112.471,25136.46,7600.148,800.708,3125.486,70.519,1066.829,9424.386,5217.006,29280.677,1176.89,265.06,12.165,113.924,30583.329,14147.74,1004.82,190.3,81.283,18637.456,10870.376,875.883,4636.227,660312.552,412673.1
