年份,人民检察院适用简易程序案件数,人民检察院适用简易程序的贪污贿赂案件数,人民检察院适用简易程序的渎职侵权案件数,人民检察院适用简易程序的刑事案件数,人民检察院适用简易程序的军人违反职责案件数
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,490021.0,4127.0,1070.0,484824.0,
2012,404384.0,1397.0,681.0,402306.0,
2011,328209.0,1599.0,627.0,325983.0,
2010,286837.0,1900.0,786.0,284151.0,
2009,282909.0,1873.0,777.0,280259.0,
2008,286259.0,2234.0,802.0,283223.0,
2007,267340.0,2490.0,658.0,264192.0,
2006,,,,,
2005,,,,,
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
