年份,经常项目差额(贷-借),经常项目货物和服务差额(贷-借),经常项目货物差额(贷-借),经常项目服务差额(贷-借),经常项目运输服务差额(贷-借),经常项目旅游服务差额(贷-借),经常项目通讯服务差额(贷-借),经常项目建筑服务差额(贷-借),经常项目保险服务差额(贷-借),经常项目金融服务差额(贷-借),经常项目计算机和信息服务差额(贷-借),经常项目专有权利使用费和特许费差额(贷-借),经常项目咨询服务差额(贷-借),经常项目广告、宣传服务差额(贷-借),经常项目电影、音像服务差额(贷-借),经常项目其它商业服务差额(贷-借),经常项目别处未提及的政府服务差额(贷-借),经常项目收益差额(贷-借),经常项目职工报酬收益差额(贷-借),经常项目投资收益差额(贷-借),经常项目经常转移差额(贷-借),经常项目各级政府经常转移差额(贷-借),经常项目其它部门经常转移差额(贷-借)
2019,14133547.8915382,16412198.9112038,42527102.0022907,-26114903.0910868,-5898108.53086606,-21878877.892214,,510024.002206,-622290.039909,150820.623690193,799182.719006,,,,,1940364.185844,-209418.124874,,310115.094233,-3720764.67248506,,,
2018,2549923.60040489,10300214.8451874,39517051.8632001,-29216837.0180127,-6690270.37755583,-23687901.6568866,,493365.889493,-662465.224145667,124402.544201377,649015.518911,,,,,1912545.035136,-271481.879559,,816276.847518,-8504879.59848515,,,
2017,19511666.8509202,21700989.9933947,47594141.313388,-25893151.3199933,-5597816.5488862,-21931595.4715579,,360907.540973,-740236.203823,181462.295751846,749325.914898,,,,,1692719.009711,-175566.336216,,1493686.78922,-2541223.69650186,,,
2016,20220300.0,25573700.0,48888300.0,-23314600.0,-4675300.0,-20568000.0,,415671.983295,-884890.204483,114069.560804021,1269488.044482,,,,,1471254.071957,-197327.807855,,2067238.793823,-6503135.27272405,,,
2015,30416444.5643017,35787076.4281273,57619107.2365714,-21832030.8084441,-4674541.9872265,-20486182.5229471,,645517.026602,-381789.755704,-31031.7235185111,1314025.207944,,,,,1886074.841339,-150149.058789,,2738648.478928,-6911190.20531888,,,
2014,23604657.7873629,22129924.6947269,43504162.1802113,-21374237.4854844,-5791502.0093508,-18330005.2291066,-47376.534427,1048532.373437,-1787994.461311,-40924.4833107253,942464.631478,-2193741.885787,1644064.21800529,116032.273523453,-69865.320589,2815576.86612074,-97278.417528,-3410985.45735952,2575519.854075,-1245398.42318452,-3023477.05482675,-292886.094218599,-2730590.96060816
2013,14820394.9879877,23537956.1604116,35898129.7739869,-12360173.6135753,-5667810.79887,-7691239.47425566,2718.23960000001,677276.205,-1809652.9682,-50615.8497610791,944727.7539,-2014640.8076,1693189.77765952,176721.98894923,-63558.0307,990971.834698418,3885.15799999999,-7844200.0,1607590.262,-9451803.16397736,-873348.270446467,-311272.927725173,-562075.342721294
2012,21539174.7469441,23184487.6748003,31156975.315518,-7972487.64071772,-4694943.50065,-5194858.2284,14617.5553,862721.5063,-1727090.1146,-3977.13867360231,1061033.0459,-1670488.1396,1342738.27147592,197749.004981959,-43890.8873,866896.842583883,-5014.19539999999,-1988683.13336923,1527756.4781,-3516439.61146923,343370.205513095,-309771.619942383,653141.825455478
2011,13609676.157755,18190373.8912673,24354893.1750104,-6164519.28374315,-4487481.14774,-2412105.311,53580.1288,1099590.8953,-1672005.5825,10252.8560093242,833792.1285,-1396280.6993,980987.485996674,124465.751240844,-27678.5367,759559.16425,-31196.4166,-7031756.69236075,1495022.4305,-8526779.12286075,2451058.95884849,-333756.374585115,2784815.33343361
2010,23781038.9607955,22302387.17128,25417989.7364802,-3115602.56520021,-2904620.13493,-906603.12,8294.14310000001,942284.4938,-1402768.9292,-5618.05822173019,629096.7344,-1220906.2645,767578.326332939,84494.9706805786,-24790.4956,937230.792738,-19275.0238,-2589933.90856492,1218058.5567,-3807992.46526492,4068585.6980804,-147802.411452384,4216388.10953279
2009,24325656.7919618,22013040.136678,24951051.7458566,-2938011.60917854,-2300500.73874,-402667.2774,-1128.49719999996,359515.4783,-970594.8432,-28612.2115487922,327913.9996,-1063581.8562,521230.797365138,35919.1243251109,-18118.2846,591641.04092,10971.6592,-853258.053233007,715783.3387,-1569041.39193301,3165874.70851682,-175737.013319459,3341611.72183628
2008,42056851.6143545,34883253.3153934,36064633.144873,-1181379.82947966,-1191117.91832912,468600.0,5958.45938090903,596549.294749948,-1136012.77738084,-25088.3613685501,308693.10208618,-974893.013291579,460531.504658377,26166.8043095945,16332.1713166023,288289.867711618,-25388.9633227954,2858003.04950639,640015.610844961,2217987.43866144,4315595.24945473,-93353.5396506557,4408948.78910538
2007,35318267.7237316,30803602.8783355,31594582.505561,-790979.627225469,-1195192.08812006,744695.325733333,9288.59273817046,246728.005119159,-976043.076802341,-32643.7356012239,213668.003208057,-784943.332735727,72418.2211306337,57534.7009092982,16256.9057017273,867678.834002147,-30425.9825086477,804436.215687558,434007.155690375,370429.059997183,3710228.62970852,-121504.059245247,3831732.68895377
2006,23184304.1064414,20891892.4500593,21774606.0133525,-882713.563293168,-1335374.05781419,962729.5692,-2620.24315437089,70291.84354106,-827614.094892007,-74604.2020172104,121885.983945651,-642957.723480063,-55506.6207874635,49007.2532137309,1595.36085241727,843222.733961009,7230.63413826363,-514338.493588257,198949.979621907,-713288.473210165,2806750.14997034,-123287.82298446,2930037.9729548
2005,13237849.3766399,12462679.751721,13418909.5054245,-956229.753703511,-1302712.66062444,753692.982966,-11817.33526663,97356.68764451,-665014.15637431,-1424.43515389,22024.49399208,-516385.20775698,-86140.8348641098,36052.09006915,-2009.55203265,732965.63954351,-12817.46584575,-1611380.31026241,151964.81395294,-1763345.12421535,2386549.93518132,-112297.99229159,2498847.92747291
