年份,净误差与遗漏差额(贷-借)
2019,-19805371.6488655
2018,-17872594.2574084
2017,-21304627.7651478
2016,-22945300.0
2015,-21295762.8886745
2014,-6687267.2338229
2013,-6292478.71684689
2012,-8707436.33339949
2011,-1376574.77202485
2010,-5293598.84491532
2009,-4138282.81559965
2008,1884437.3414077
2007,1328999.01614664
2006,362805.608425981
2005,2292135.54599968
2004,1296685.82923684
2003,822372.202783338
2002,779425.494130532
2001,-485557.216253105
2000,-1189307.26541472
