年份,农、林、牧产品批发主营业务利润,食品、饮料及烟草制品批发主营业务利润,米、面制品及食用油批发主营业务利润,烟草制品批发主营业务利润,纺织、服装及日用品批发主营业务利润,服装批发主营业务利润,文化、体育用品及器材批发主营业务利润,医药及医疗器材批发主营业务利润,矿产品、建材及化工产品批发主营业务利润,煤炭及制品批发主营业务利润,石油及制品批发主营业务利润,金属及金属矿批发主营业务利润,建材批发主营业务利润,化肥批发主营业务利润,机械设备、五金交电及电子产品批发主营业务利润,汽车、摩托车及零配件批发主营业务利润,日用家电批发主营业务利润,计算机、软件及辅助设备批发主营业务利润,贸易经纪与代理主营业务利润,其他批发主营业务利润
2019,,,,,,,,,,,,,,,,,,,,
2018,447.8,6099.6,385.1,2598.9,5033.7,1377.8,850.000000000001,3455.9,8005.90000000002,1185.5,1952.80000000001,2169.0,756.1,195.499999999999,5832.49999999999,2361.6,728.7,312.299999999999,240.9,592.800000000001
2017,422.098,5642.394,363.934,2445.016,4139.049,1092.758,761.112,2884.608,6665.374,943.168,1938.64,1634.943,578.008,180.285,5282.281,2022.486,909.249,240.224,200.111,407.897
2016,522.1103,5932.6433,376.7533,2419.8792,3770.0636,1089.6032,698.6678,2283.9144,6245.35790000001,907.9418,1698.1174,1535.96959999999,616.031099999999,185.4278,4674.6483,1788.9182,707.204700000002,231.261899999999,250.872,466.8612
2015,533.915300000001,5681.1379,292.862599999999,2680.6448,3663.457,1222.5556,582.9732,1939.6587,5382.89419999999,827.402999999998,1430.7621,1250.82870000001,530.2099,221.7,3873.8652,1415.7983,596.850700000001,186.230599999999,233.049500000001,485.1655
2014,573.94266,5325.63682,272.71981,2815.13508,3592.77284,1106.27894,519.5239,1633.57585,6316.31226,1088.10267,1613.30154,1649.85661000001,512.27727,313.0511,4054.60637,1594.78438,772.68192,197.15365,229.72947,468.0944
2013,546.648709999999,4919.58355,258.58762,2546.05025,3399.21514,1075.61306,451.9978,1358.37968,7384.39736999999,1298.76285,2367.88836,1843.51213,509.544670000001,204.105849999999,3636.89188,1337.39902,731.75325,208.35584,230.2089,512.88746
2012,328.233339999999,4133.09817,221.13335,2329.89349,2545.51494,871.057030000001,492.68615,1071.55721,5315.90739999999,1105.77052,1960.4775,917.516640000001,399.016090000001,161.93002,2972.31604,1122.42026,516.36676,187.51437,183.61485,389.31225
2011,320.788200000001,3529.8563,144.8142,2104.3822,1689.1614,679.517,278.0697,854.2575,5426.8502,1035.6803,1993.2001,1205.9216,388.8811,141.2824,3334.9307,1047.165,558.9178,221.1154,268.1692,344.806299999999
2010,238.0,2761.6,107.9,1764.2,1287.2,462.9,217.7,627.4,4544.3,1008.8,1460.9,1137.9,224.9,100.9,2732.9,829.4,454.5,134.5,208.3,218.3
2009,183.2629,2471.89946,89.79649,1723.41325,1055.15142,383.58552,183.28533,502.97763,3950.83123,676.59873,1733.56839,843.62385,177.40997,53.99367,1994.99436,524.15944,336.14319,102.01755,154.19288,175.59518
2008,187.3361,2437.1649,88.4604,1709.6814,1028.8329,385.2551,219.2512,507.255,4411.2075,996.6306,1274.752,1252.6342,213.5477,139.5817,2094.8202,516.3207,300.7997,94.8721,173.1452,345.5261
2007,98.41102,1680.45451,32.59153,1353.73186,564.3348,219.27493,112.40437,256.60286,2243.64452,350.19614,1018.62551,506.60219,95.87044,68.10601,1092.46004,183.48518,204.56007,50.9781,61.66741,226.12456
2006,83.3241,1382.6262,22.5024,1129.9397,405.6524,151.5427,90.2422,214.0228,1784.9703,226.934,883.0114,380.1792,64.6778,45.484,802.3581,112.5439,144.3913,39.4111,56.264,157.2298
2005,76.77783,1173.9024,20.32167,975.33403,305.49893,116.64355,75.88919,188.00598,1489.20947,249.82177,712.57718,281.99473,54.50644,45.30428,668.54657,116.32945,114.50746,29.40121,33.40679,220.03091
2004,60.45202,980.26601,31.43581,786.00525,310.4843,112.3874,75.603,185.01966,1430.93842,205.18461,640.15885,327.52554,57.51778,33.2073,624.29306,135.66356,66.23937,38.00952,25.41509,102.7866
2003,0.31956,561.31282,1.24282,512.75183,102.98816,41.94206,35.13368,73.24297,363.48284,24.40879,197.28992,82.08009,9.6984,14.25606,148.4037,59.07183,6.96997,5.89566,63.08728,20.8494
2002,,422.1753,-36.0314,399.9157,,,,66.3418,,22.0769,130.77,,6.9697,,,52.8083,,,,
2001,,367.0469,-27.0386,332.9562,,,,65.5954,,16.1976,49.1238,,4.069,,,27.4232,,,,
2000,,358.4206,,332.2164,,,,55.6265,,15.4263,114.1275,,3.6203,,32.9264,19.7272,,,,37.8834
