年份,批发业主营业务收入,内资批发业企业主营业务收入,国有批发业企业主营业务收入,集体批发业企业主营业务收入,股份合作批发业企业主营业务收入,联营批发业企业主营业务收入,国有联营批发业企业主营业务收入,集体联营批发业企业主营业务收入,国有与集体联营批发业企业主营业务收入,其他联营批发业企业主营业务收入,有限责任公司批发业企业主营业务收入,国有独资公司批发业企业主营业务收入,其他有限责任公司批发业企业主营业务收入,股份有限公司批发业企业主营业务收入,私营批发业企业主营业务收入,私营独资批发业企业主营业务收入,私营合伙批发业企业主营业务收入,私营有限责任公司批发业企业主营业务收入,私营股份有限公司批发业企业主营业务收入,其他批发业企业主营业务收入,港澳台商投资批发业企业主营业务收入,港澳台商合资经营批发业企业主营业务收入,港澳台商合作经营批发业企业主营业务收入,港澳台商独资经营批发业企业主营业务收入,港澳台商投资股份有限公司批发业企业主营业务收入,其他港澳台商投资批发业企业主营业务收入,外商投资批发业企业主营业务收入,中外合资经营批发业企业主营业务收入,中外合作经营批发业企业主营业务收入,外资批发业企业主营业务收入,外商投资股份有限公司批发业企业主营业务收入,其他外商投资批发业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,499369.4,422390.1,16401.3,650.2,289.3,25.4,3.9,16.6,,,208430.1,35232.1,173198.0,42244.2,153988.3,348.8,47.0,150185.0,3407.5,361.2,23533.6,3732.6,210.0,19007.5,371.3,212.2,53445.7,16003.2,46.5,33257.4,472.9,3665.7
2017,445793.6426,380157.246,19422.338,753.672,219.843,27.116,5.123,5.656,15.087,1.251,196313.233,38385.665,157927.568,37736.775,124963.818,379.027,38.818,121508.616,3037.357,720.451,21911.406,3615.761,130.556,17744.558,155.488,265.044,43724.992,13521.243,50.863,28981.817,443.033,728.037
2016,384580.9817,328798.2262,19796.5281,1013.9765,200.629,34.7479,5.8353,6.7053,19.4424,2.7649,170243.8991,32609.3388,137634.5602,33056.2164,103620.6161,512.8184,68.534,100228.8611,2810.4033,831.6139,19141.8457,3410.7483,180.7182,14973.1322,445.6,131.6471,36640.9103,10816.6585,39.3149,24864.1425,325.0488,595.7455
2015,358481.2983,307777.6877,25128.9432,1222.9732,292.5836,55.5053,9.3331,6.3331,27.3794,12.4599,153495.7824,30470.4904,123025.2923,34195.5412,92469.2189,673.7174,126.961,89180.8895,2487.6516,917.1404,16977.0845,3450.2528,169.5046,12867.8776,426.2169,63.2333,33726.5262,9917.2244,62.084,23050.3446,334.7187,362.1547
2014,387325.3429,335970.77063,28237.66122,1286.00362,283.24067,75.99608,8.93446,6.53247,51.6772,8.85195,166037.08075,36226.79714,129810.28361,39352.28131,99911.96619,631.70286,107.83358,96381.0973,2791.33245,786.54079,15638.87964,3560.34944,150.26428,11538.75151,372.80557,16.70884,35715.6926,9640.4459,570.85946,24761.19205,335.57136,407.62383
2013,357661.7652,314087.94336,37273.12771,1386.58503,418.23902,207.20772,137.72084,17.30197,43.57737,8.60754,146917.11146,28059.85059,118857.26087,38430.8741,88177.66645,635.55319,122.97041,84577.15863,2841.98422,1277.13187,11880.0395,1562.20003,105.70075,9958.61564,245.9031,7.61998,31693.78231,8558.75686,662.84961,21803.53381,327.95934,340.68269
2012,292183.5854,256240.63939,59355.49839,1871.8703,732.07666,705.68966,360.31234,42.13601,202.67477,100.56654,93636.19018,10494.87326,83141.31692,30407.42482,65835.80502,2596.88286,844.49196,60348.03681,2046.39339,3696.08436,9274.36338,1370.10375,100.19155,7641.38156,153.83472,8.8518,26668.58258,7205.2586,707.61688,18407.02844,327.9822,20.69646
2011,257889.8496,225261.6216,50959.7642,1904.4381,774.8328,577.8333,247.2161,39.3755,174.7862,116.4556,76862.1785,8290.9371,68571.2415,30218.7906,61242.7414,2265.5569,774.6923,56018.2035,2184.2887,2721.0428,8325.6278,1285.4022,100.6865,6783.1687,150.4398,5.9307,24302.6002,5802.4956,920.5175,17444.5986,130.4055,4.5831
2010,197758.88068,175111.1,40479.3,2247.8,722.6,564.4,286.6,39.5,111.2,127.2,55647.8,7388.0,48259.9,24748.6,49745.9,2021.5,570.8,45366.2,1787.4,954.6,5046.6,1052.2,73.2,3685.4,235.8,,17601.2,4879.0,741.7,11921.0,59.6,
2009,142954.01599,128045.33012,29861.14011,2521.30892,557.98238,402.16154,199.08515,14.56285,117.83717,70.67637,38922.23679,4716.00137,34206.23542,20299.84099,34813.87077,1553.22554,398.12352,31572.46207,1290.05964,666.78862,3554.84831,912.17743,52.48642,2433.703,156.48146,,11353.83756,3056.99103,39.54909,8189.89439,67.40305,
