年份,批发业主营业务利润,内资批发业企业主营业务利润,国有批发业企业主营业务利润,集体批发业企业主营业务利润,股份合作批发业企业主营业务利润,联营批发业企业主营业务利润,国有联营批发业企业主营业务利润,集体联营批发业企业主营业务利润,国有与集体联营批发业企业主营业务利润,其他联营批发业企业主营业务利润,有限责任公司批发业企业主营业务利润,国有独资公司批发业企业主营业务利润,其他有限责任公司批发业企业主营业务利润,股份有限公司批发业企业主营业务利润,私营批发业企业主营业务利润,私营独资批发业企业主营业务利润,私营合伙批发业企业主营业务利润,私营有限责任公司批发业企业主营业务利润,私营股份有限公司批发业企业主营业务利润,其他批发业企业主营业务利润,港澳台商投资批发业企业主营业务利润,港澳台商合资经营批发业企业主营业务利润,港澳台商合作经营批发业企业主营业务利润,港澳台商独资经营批发业企业主营业务利润,港澳台商投资股份有限公司批发业企业主营业务利润,其他港澳台商投资批发业企业主营业务利润,外商投资批发业企业主营业务利润,中外合资经营批发业企业主营业务利润,中外合作经营批发业企业主营业务利润,外资批发业企业主营业务利润,外商投资股份有限公司批发业企业主营业务利润,其他外商投资批发业企业主营业务利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,30559.0,21866.1,2301.8,38.4,12.9,0.9,0.5,0.2,,,9259.9,1248.1,8011.8,2011.4,8188.3,34.1,4.0,7882.9,267.2,52.5,2848.0,196.5,8.8,2574.4,52.6,15.8,5844.9,1264.0,4.0,4385.8,108.1,82.9
2017,26404.9224,18942.8940000001,2338.092,50.7069,8.24690000000001,2.8468,0.755599999999999,0.452999999999999,1.6056,,8469.65259999998,1260.88,7208.77179999999,1890.7037,6108.00070000001,43.1717,2.4124,5827.4614,234.9557,74.6452999999999,2248.0886,157.8789,11.6659,2036.0659,20.961,21.5185,5213.939,1040.0898,3.2002,3987.7952,94.2057,88.6487
2016,24845.1412,18268.2561,2371.2613,74.8410999999999,10.811,3.7673,0.866,0.616800000000001,1.8398,0.4448,8173.5084,1355.9419,6817.56710000001,1781.0272,5743.6353,66.8845,7.5564,5416.435,252.7592,109.4036,2105.5825,168.0267,20.6163,1886.3128,18.8516,11.7742,4471.3016,863.990999999999,2.9122,3490.1755,45.7598,68.4626999999999
2015,22376.1171,16511.5418,2763.623,78.215,11.5496,5.2157,0.788,0.4215,2.9622,1.0442,6901.5638,1062.2201,5839.34349999999,1491.9195,5139.78530000001,84.0499000000001,12.7804,4830.6304,212.3246,119.668,1890.4728,151.9244,19.4927,1693.266,18.8649,6.9253,3974.1018,790.6799,5.0253,3078.0693,55.4338,44.8934
2014,22714.1946,16753.69291,2972.81096,82.6361099999999,15.30347,11.78585,0.609329999999999,0.38913,9.87086,0.91653,6694.60840999999,1033.64233,5660.96608,1561.31034,5301.93290000001,87.01264,11.1029,4996.27082,207.54654,113.30487,1717.25192,179.31407,18.73132,1488.64305,27.75947,2.80401,4243.24974,793.639870000001,10.8996,3364.53697,46.19556,27.97774
2013,22440.2105,17151.9066,3531.07354,112.33951,18.70646,11.2134,3.19692000000001,0.618450000000002,4.76988,2.62815,6309.55914999999,1016.16667,5293.39247999999,1632.34307,5386.15416,91.05406,13.60374,5035.82879,245.66757,150.51731,1509.66081,93.7034699999999,12.5521,1362.88957,39.42851,1.08716,3778.64308,704.264959999999,21.41054,2985.71746,46.73779,20.51233
2012,17432.24035,13202.19524,3818.20803,122.59352,52.09102,29.13164,8.38929000000002,1.88558,8.37849,10.47828,3885.62790999999,451.86159,3433.76632000001,1394.3443,3644.71926,238.81158,49.41215,3255.81619000001,100.67934,255.47956,1083.79934,95.42013,18.12243,944.61171,23.69349,1.95158,3146.24577,505.62413,21.24183,2547.47375,68.00295,3.90311
2011,16046.8894,12228.8323,3490.0345,121.2846,45.0455,27.8295,6.65490000000003,4.0135,7.8108,9.35040000000001,3450.6159,325.846599999999,3124.7694,1647.9518,3225.4645,214.3621,43.0939000000001,2832.3766,135.632,220.6058,922.2854,91.0611,11.2511,793.7184,25.9368,0.3179,2895.7717,429.7903,22.9109000000001,2409.4612,33.0768,0.5327
2010,12835.7,9959.5,3090.0,136.8,29.4,27.5,13.1,2.1,6.4,5.9,2669.7,271.8,2397.9,1177.5,2751.3,182.7,38.1,2412.3,118.1,77.1,626.5,79.1,8.7,502.5,36.2,,2249.8,369.0,17.7,1849.3,13.8,
2009,10672.19039,8590.03256,2680.13823,109.55757,24.67715,24.31821,14.27354,0.59375,3.53157,5.91935,2037.89473,218.11044,1819.78429,1618.538,2041.05539,126.99313,32.80317,1799.10505,82.15404,53.85328,468.58382,64.04338,5.71864,376.12015,22.70165,,1613.57401,241.39924,9.07788,1347.80194,15.29495,
2008,11404.5392,9260.1185,2938.8182,147.4513,39.6348,40.5395,24.0203,5.2433,5.6576,5.6183,2298.2432,292.8243,2005.4189,1060.3606,2662.4952,174.1676,49.7631,2329.4243,109.1402,72.5757,414.2127,72.15,6.9495,320.6157,14.4976,,1730.208,211.1596,10.2155,1485.151,23.6819,
2007,6336.10409,5137.24397,1950.38245,65.96658,21.82103,34.66147,25.06011,0.62281,5.16438,3.81417,1349.2855,256.86228,1092.42322,818.83214,854.52875,21.13435,6.13152,787.65984,39.60304,41.76605,155.03298,33.78434,6.5255,109.33339,5.38975,,1043.82714,142.85201,2.1921,857.52824,41.25479,
2006,4976.6899,4222.0828,1679.5364,53.9893,23.7282,35.0727,25.6178,1.5498,3.3273,4.5778,1054.5693,169.2441,885.3252,701.5037,657.9101,11.0428,4.5902,619.422,22.855,15.7731,89.1379,35.8483,4.2934,43.0268,5.9693,,665.4692,71.0881,1.8225,586.2231,6.3354,
2005,4231.26817,3599.21106,1404.78695,55.26596,23.04968,28.15823,21.52954,0.47935,2.35346,3.79588,984.79669,186.36152,798.43517,603.22198,492.25638,8.68747,3.05748,464.22471,16.28662,7.67519,65.75018,16.75535,3.67072,40.6197,4.70441,,566.30693,79.4528,5.9709,480.20536,0.67787,
2004,3795.25816,3290.9912,1156.55007,54.18843,25.20994,28.4805,18.9243,1.37173,4.88855,3.29592,921.66547,159.01423,762.65124,600.73101,502.44936,11.44981,3.8745,470.01211,17.11294,1.71642,65.4085,11.53241,4.93504,42.03373,6.90732,0.0,438.85846,106.96037,6.76947,321.33031,3.79831,0.0
2003,1368.82041,1249.20155,696.28831,33.58534,7.22814,8.33501,5.33324,0.53146,0.97205,1.49826,245.24936,34.21044,211.03892,200.40472,57.53312,4.80533,0.61089,49.36976,2.74714,0.57755,22.34344,2.29168,2.15466,15.8897,2.0074,,97.27542,32.7416,0.18237,64.21795,0.1335,
2002,1111.5487,996.195,623.2676,29.6175,16.5104,8.7076,5.204,0.3843,1.7791,1.3415,166.6891,18.5745,148.1147,116.8282,34.686,0.7937,0.4027,32.0676,1.4221,-0.1114,22.8509,2.5017,1.3005,18.1525,0.8963,,92.5027,33.2842,0.1917,58.7422,0.2847,
2001,820.3844,795.0324,538.9632,29.7949,13.8716,6.9589,3.8614,0.2231,2.1817,0.6928,119.4022,13.0359,106.3663,66.317,19.535,0.7159,0.3769,17.4245,1.0177,0.1896,2.6634,0.4999,1.3954,0.4537,0.3144,,22.6885,17.1679,-0.173,5.3524,0.3413,
2000,862.3787,845.6859,597.874,51.5073,14.4748,6.1042,3.1014,0.4928,1.9244,0.5856,91.533,18.6598,72.8733,75.1729,8.9597,0.342,0.4889,7.7144,0.4143,0.06,1.5921,0.4011,0.6614,0.5296,,,15.1007,11.3738,-0.0414,3.5316,0.2367,
