年份,农、林、牧产品批发主营业务成本,食品、饮料及烟草制品批发主营业务成本,米、面制品及食用油批发主营业务成本,烟草制品批发主营业务成本,纺织、服装及日用品批发主营业务成本,服装批发主营业务成本,文化、体育用品及器材批发主营业务成本,医药及医疗器材批发主营业务成本,矿产品、建材及化工产品批发主营业务成本,煤炭及制品批发主营业务成本,石油及制品批发主营业务成本,金属及金属矿批发主营业务成本,建材批发主营业务成本,化肥批发主营业务成本,机械设备、五金交电及电子产品批发主营业务成本,汽车、摩托车及零配件批发主营业务成本,日用家电批发主营业务成本,计算机、软件及辅助设备批发主营业务成本,贸易经纪与代理主营业务成本,其他批发主营业务成本
2019,,,,,,,,,,,,,,,,,,,,
2018,9585.7,33954.0,5997.9,11402.0,36961.7,6516.7,9258.0,22581.9,271631.0,27747.1,67307.4,115218.2,14738.2,4284.6,70796.8,27560.6,9738.5,6515.6,4258.4,7242.4
2017,8203.086,32184.472,5619.303,10931.617,32369.738,6231.93,8107.169,20842.209,240465.913,24617.028,59624.396,101592.319,12130.156,4133.656,62520.424,22285.564,11075.315,5404.591,5091.406,7150.914
2016,7800.6894,31879.1889,5146.5631,10714.2634,28413.2394,5953.7183,7106.1006,18261.8459,196244.7089,22084.582,49007.5729,79361.4131,10936.1065,4153.2298,55274.5518,20119.0651,8820.2388,4449.8257,5179.2779,7125.8057
2015,7472.0268,30162.7647,4773.7573,11301.1239,28000.0896,6709.2762,6590.8314,16162.485,185826.611,22720.2802,48226.0781,71991.0504,10195.2921,5352.4556,47670.4262,16741.8415,7755.9828,3947.0113,4955.2566,7137.5905
2014,7308.59234,28497.3297,4643.95291,11543.7033,27875.62041,6765.74922,5905.26864,14255.34231,221563.07253,27393.72288,62659.26739,82726.44741,10758.51628,6141.97087,45160.55466,15707.01478,7810.37626,3933.63453,4607.18951,7941.45956
2013,7038.80431,25157.6724,4175.5324,10710.44679,25153.03663,6201.18565,5396.45304,12106.22282,207316.39543,28466.97415,61665.64626,74794.18938,10036.26857,4856.28102,39849.38103,13908.0508,7695.1568,3671.69587,4250.67029,7463.07265
2012,5318.85982,19798.15351,3086.98423,9703.69029,20601.46145,5213.00049,4175.14692,9677.81084,170192.01069,23405.26266,53578.39273,60268.55985,8576.35094,4490.06135,34099.43925,12112.84745,6319.66808,3457.29861,3551.78179,6203.75575
2011,4376.8385,16839.605,2432.0282,8296.2567,12827.2653,4600.1364,2899.3816,8460.8971,149198.0336,19374.0245,46740.9301,56492.6304,7582.8912,3257.4716,36478.5204,11695.4974,5959.2357,4003.7621,3562.1968,6175.2812
2010,3406.1,13705.6,1838.4,7113.0,10065.0,3463.2,2176.1,6530.5,111005.2,14186.9,34668.2,42638.1,5099.8,2271.9,28728.0,9487.3,4909.5,2668.4,3020.9,4845.0
2009,2656.13517,11154.45275,1295.41904,6412.31114,7970.65166,2936.76496,1593.8987,5599.24807,76134.61836,8801.33453,25366.32088,28282.92307,3835.53119,2074.66585,20902.00183,6255.64993,3546.59471,2153.58274,2574.77039,3344.8996
2008,2534.3575,10394.7827,1268.8024,5779.7741,8501.7631,3094.8139,1783.8441,4749.2862,85065.9301,8709.7531,26725.2244,34756.8448,3823.9854,2207.786,21366.405,6688.7307,2840.0178,1990.178,3257.7768,4730.7175
2007,1798.6024,7858.22923,706.67383,4879.10712,6379.53198,2515.02564,1050.49642,3488.18273,49421.71101,3633.21576,20517.07844,16963.99095,2252.13955,1341.66353,13266.17472,3117.36279,2264.13733,1285.7404,1608.51817,3210.26976
2006,1703.1022,7285.8429,617.9344,4731.6744,5635.2179,2239.2004,936.0253,2954.1593,39073.4957,2573.4065,16699.8732,13160.1158,1547.8673,1125.5665,10817.0484,2200.1668,1729.2277,1033.6518,1351.0602,2636.8504
2005,1605.81316,6929.3855,614.94601,4707.92105,4709.50378,1778.50263,841.45926,2683.96218,32431.86871,2344.35687,13994.89488,10284.62829,1282.21017,997.73973,9379.30214,2583.37879,1437.00867,936.80531,640.44822,2826.16776
2004,1632.08502,6810.6421,773.21832,4413.74333,4617.57335,1737.50505,855.96804,2481.51615,30211.70426,2028.43683,12644.15252,9931.32053,1281.8734,887.87953,10956.19031,3310.69435,1403.27518,1066.44899,571.78389,2012.20784
2003,1234.83962,5132.6211,609.16513,3586.60523,3058.71228,991.81206,522.43997,1604.13233,13083.99019,695.67969,6215.47609,3773.73552,435.0259,643.70101,5001.50888,1919.65292,516.24081,253.60606,623.86557,948.92147
2002,,4961.6554,921.6098,3077.8662,,,,1285.187,,532.9645,5804.3912,,203.3297,,,1592.359,,,,
2001,,4888.3757,831.2687,3060.2558,,,,1078.2494,,501.5281,5510.0178,,146.7328,,,1186.9092,,,,
2000,,5207.285,794.6045,3371.2465,,,,896.593,,420.5913,4956.791,,133.9082,,1147.7714,1073.3177,,,,662.8556
