年份,农、林、牧产品批发主营业务税金及附加,食品、饮料及烟草制品批发主营业务税金及附加,米、面制品及食用油批发主营业务税金及附加,烟草制品批发主营业务税金及附加,纺织、服装及日用品批发主营业务税金及附加,服装批发主营业务税金及附加,文化、体育用品及器材批发主营业务税金及附加,医药及医疗器材批发主营业务税金及附加,矿产品、建材及化工产品批发主营业务税金及附加,煤炭及制品批发主营业务税金及附加,石油及制品批发主营业务税金及附加,金属及金属矿批发主营业务税金及附加,建材批发主营业务税金及附加,化肥批发主营业务税金及附加,机械设备、五金交电及电子产品批发主营业务税金及附加,汽车、摩托车及零配件批发主营业务税金及附加,日用家电批发主营业务税金及附加,计算机、软件及辅助设备批发主营业务税金及附加,贸易经纪与代理主营业务税金及附加,其他批发主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,
2018,15.6,1908.0,9.2,1827.6,73.5,19.7,21.2,70.9,252.5,49.5,54.8,71.3,30.3,6.6,143.1,73.1,9.2,7.0,12.2,43.4
2017,19.415,1848.363,9.596,1758.123,81.443,20.505,20.907,64.511,244.928,54.291,59.885,58.698,28.006,6.692,139.879,70.045,16.589,5.314,5.288,28.655
2016,23.8608,1802.3443,15.3506,1672.6878,74.5156,19.1859,19.2575,49.9491,270.3464,51.9947,51.9579,50.8737,36.2321,10.7349,170.0413,90.2457,12.8645,4.9527,6.406,33.7142
2015,26.1426,1465.3391,9.4968,1334.9931,84.7132,24.4151,17.7928,44.0162,280.037,49.5078,55.8031,63.3024,29.8943,16.1812,170.5577,92.0905,12.9583,4.7089,7.9566,30.5462
2014,36.13958,824.81099,8.44584,721.39786,86.48501,33.44657,14.14885,38.13339,263.87021,54.6779,44.49562,66.01206,27.60975,13.94486,192.60066,127.98702,12.62624,4.2767,6.98188,33.54807
2013,28.2849,779.3353,8.52731,679.25471,79.35149,29.171,14.609,34.11162,309.94123,65.81329,65.95025,78.44498,27.13165,17.63967,206.52833,144.06636,14.14389,4.04717,6.45443,31.22978
2012,11.7007,665.71694,6.66069,603.40009,52.75286,18.79022,19.00031,23.26789,192.93839,50.66041,40.75028,46.77596,18.65849,11.342,139.46395,91.1065,9.56162,7.27988,5.77165,22.31229
2011,12.7795,581.9756,4.2193,537.2075,33.7127,14.0613,7.32,18.9207,186.0578,44.0759,39.115,49.6281,16.0971,10.2072,146.5177,98.5604,10.3233,3.9176,7.4674,30.1893
2010,9.2,481.6,3.1,445.7,19.0,5.9,5.6,14.7,176.2,45.8,30.3,55.1,14.4,8.9,40.5,8.2,5.9,2.7,12.0,30.1
2009,7.3489,270.68654,2.15604,248.36937,13.88658,4.77512,4.01466,10.25191,157.37819,39.33931,22.97586,62.96984,11.46814,7.09268,32.37099,5.92145,5.51502,4.14923,4.52818,21.85236
2008,6.9088,53.0179,2.1027,35.9674,23.0389,5.0579,5.4752,10.5211,233.5703,42.8047,29.5403,93.3914,9.4313,12.9999,35.7191,8.4942,4.1677,3.867,7.0897,11.1344
2007,2.55931,32.08624,0.56301,25.06193,5.12358,2.20219,2.15963,5.03364,70.25665,12.88184,22.20956,22.48607,3.14804,4.8076,14.01537,2.42031,2.20339,0.89219,2.68445,3.93492
2006,1.5096,26.9661,0.5183,20.3966,3.8138,1.1208,1.9098,4.3568,37.584,7.0103,15.8183,8.5677,1.6814,1.0734,11.9218,1.9159,1.5882,0.9248,1.6358,4.0367
2005,1.23246,22.69924,0.49614,17.07409,4.63155,1.30325,1.56829,3.54925,33.06124,7.14157,11.90426,6.71583,2.71647,0.81672,10.65132,1.46672,1.69218,0.70647,0.5394,2.25248
2004,1.56759,23.83649,1.36479,18.08484,7.24135,0.90315,1.45994,3.65283,37.4086,6.37026,16.56954,7.10223,2.33914,0.52989,10.28977,1.98449,1.16919,0.86942,0.41487,2.20128
2003,0.86551,13.27046,0.21788,10.62729,1.37168,0.483,0.96123,2.11497,14.06743,1.34604,6.92896,3.15708,0.55894,0.23068,3.78646,1.08574,0.53108,0.18441,2.06306,0.72409
2002,,11.7569,0.5582,8.4769,,,,3.0069,,1.0261,5.7363,,0.3156,,,1.7374,,,,
2001,,16.6499,0.7134,12.6909,,,,2.2667,,1.8879,4.7502,,0.2571,,,1.0492,,,,
2000,,19.1417,0.4831,15.7421,,,,1.7315,,1.3065,3.8266,,0.2622,,0.8875,1.2913,,,,1.3034
