年份,规模以上工业企业有效发明专利数,大中型工业企业有效发明专利数,规模以上工业内资企业有效发明专利数,规模以上工业国有企业有效发明专利数,规模以上工业集体企业有效发明专利数,规模以上工业股份合作企业有效发明专利数,规模以上工业联营企业有效发明专利数,规模以上工业国有联营企业有效发明专利数,规模以上工业有限责任公司有效发明专利数,规模以上工业国有独资公司有效发明专利数,规模以上工业股份有限公司有效发明专利数,规模以上工业私营企业有效发明专利数,规模以上工业其他企业有效发明专利数,规模以上工业港、澳、台商投资企业有效发明专利数,规模以上工业港、澳、台商合资经营企业有效发明专利数,规模以上工业港、澳、台商合作经营企业有效发明专利数,规模以上工业港、澳、台商独资经营企业有效发明专利数,规模以上工业港、澳、台商投资股份有限公司有效发明专利数,规模以上工业外商投资企业有效发明专利数,规模以上工业中外合资经营企业有效发明专利数,规模以上工业中外合作经营企业有效发明专利数,规模以上工业外资企业有效发明专利数,规模以上工业外商投资股份有限公司有效发明专利数
2019,1218074,760471,1028567,14497,320,739,33,22,394039,58329,226204,392406,329,93651,33837,657,52504,6308,95856,43804,745,43188,6671
2018,1094200,692288,907856,12259,340,553,36,26,365468,57907,206003,322578,619,89280,33172,430,48713,6642,97064,44918,850,42674,7997
2017,933990,632727,771070,19778,3213,598,97,57,305070,42866,210065,231855,394,81769,27646,810,47328,5755,81151,37063,684,36867,5910
2016,769847,528006,622533,23393,2690,465,36,24,243148,30405,171965,180490,346,68740,24800,501,39213,4015,78574,36714,641,36384,4534
2015,573765,403292,455689,17748,1837,376,93,81,178596,22373,127392,128688,959,58214,21963,340,32556,3261,59862,27436,918,27481,3833
2014,448885,313626,351133,13468,968,364,179,169,139419,16937,92760,103775,200,42508,17463,490,21652,2877,55244,25200,929,25821,3208
2013,335401,244175,260828,10508,1157,327,119,113,108529,13502,64653,74757,778,31086,13559,435,15025,2000,43487,16552,337,23992,2574
2012,277196,204636,209301,16376,1280,777,142,59,79977,7829,53543,55726,1480,28136,10962,825,14590,1671,39759,15601,380,21639,2095
2011,201089,146469,148535,11076,1071,362,152,59,57413,5414,35696,41366,1399,23371,8797,295,12312,1956,29183,11048,354,15250,2502
2010,,113074,,,,,,,,,,,,,,,,,,,,,
2009,118245,81592,,,,,,,,,,,,,,,,,,,,,
2008,80252,55723,,,,,,,,,,,,,,,,,,,,,
2007,,43652,,,,,,,,,,,,,,,,,,,,,
2006,,29176,,,,,,,,,,,,,,,,,,,,,
2005,,22971,,,,,,,,,,,,,,,,,,,,,
2004,30315,17988,,,,,,,,,,,,,,,,,,,,,
2003,,15409,,,,,,,,,,,,,,,,,,,,,
2002,,9388,,,,,,,,,,,,,,,,,,,,,
2001,,8103,,,,,,,,,,,,,,,,,,,,,
2000,,6394,,,,,,,,,,,,,,,,,,,,,
