年份,规模以上工业企业专利申请数,大中型工业企业专利申请数,规模以上工业内资企业专利申请数,规模以上工业国有企业专利申请数,规模以上工业集体企业专利申请数,规模以上工业股份合作企业专利申请数,规模以上工业联营企业专利申请数,规模以上工业国有联营企业专利申请数,规模以上工业有限责任公司专利申请数,规模以上工业国有独资公司专利申请数,规模以上工业股份有限公司专利申请数,规模以上工业私营企业专利申请数,规模以上工业其他企业专利申请数,规模以上工业港、澳、台商投资企业专利申请数,规模以上工业港、澳、台商合资经营企业专利申请数,规模以上工业港、澳、台商合作经营企业专利申请数,规模以上工业港、澳、台商独资经营企业专利申请数,规模以上工业港、澳、台商投资股份有限公司专利申请数,规模以上工业外商投资企业专利申请数,规模以上工业中外合资经营企业专利申请数,规模以上工业中外合作经营企业专利申请数,规模以上工业外资企业专利申请数,规模以上工业外商投资股份有限公司专利申请数
2019,1059808,574316,912864,11750,352,673,30,3,302457,50486,150246,447064,292,70919,26670,680,40199,3007,76025,37195,825,32208,4816
2018,957298,541149,819575,10004,373,617,32,19,277326,50873,150680,380281,262,68851,24945,498,38234,4805,68872,35122,842,27371,4820
2017,817037,496260,688531,17360,7672,505,28,9,247913,35665,144682,270129,242,67597,26256,796,35894,4349,60909,30379,672,25365,3876
2016,715397,438422,589008,22113,4290,465,35,13,200555,28822,123575,237820,155,60762,22650,613,32713,4629,65627,33964,699,26771,3696
2015,638513,394956,518135,23633,3924,581,63,44,167905,28916,105609,215465,955,57439,23038,617,28918,4775,62939,33648,828,24770,3326
2014,630561,393480,502172,23324,3071,721,426,407,164224,27598,106179,202849,1378,56575,22434,1113,29390,3595,71814,35863,1257,31825,2788
2013,560918,359791,437396,23124,2471,738,358,335,147026,24965,88111,174650,918,57155,25310,955,27492,3363,66367,33604,956,29203,2552
2012,489945,327116,379211,30790,2750,1397,415,224,117620,13942,78416,144168,3655,51434,21480,785,25963,3065,59300,31858,865,24283,2233
2011,386075,265612,291769,20746,2624,1154,243,135,86208,11100,66059,111705,3030,41595,18428,752,19667,2697,52711,24434,621,25023,2547
2010,,198890,,,,,,,,,,,,,,,,,,,,,
2009,265808,166762,,,,,,,,,,,,,,,,,,,,,
2008,173573,122076,,,,,,,,,,,,,,,,,,,,,
2007,,95905,,,,,,,,,,,,,,,,,,,,,
2006,,69009,,,,,,,,,,,,,,,,,,,,,
2005,,55271,,,,,,,,,,,,,,,,,,,,,
2004,64569,42318,,,,,,,,,,,,,,,,,,,,,
2003,,31382,,,,,,,,,,,,,,,,,,,,,
2002,,21297,,,,,,,,,,,,,,,,,,,,,
2001,,15339,,,,,,,,,,,,,,,,,,,,,
2000,,11819,,,,,,,,,,,,,,,,,,,,,
