年份,规模以上工业企业有效发明专利数,规模以上煤炭开采和洗选业工业企业有效发明专利数,规模以上石油和天然气开采业工业企业有效发明专利数,规模以上黑色金属矿采选业工业企业有效发明专利数,规模以上有色金属矿采选业工业企业有效发明专利数,规模以上非金属矿采选业工业企业有效发明专利数,规模以上农副食品加工业企业有效发明专利数,规模以上食品制造业工业企业有效发明专利数,规模以上饮料制造业工业企业有效发明专利数,规模以上烟草制品业工业企业有效发明专利数,规模以上纺织业工业企业有效发明专利数,规模以上纺织服装、鞋、帽制造业工业企业有效发明专利数,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业有效发明专利数,规模以上木材加工及木、竹、藤、棕、草制品业工业企业有效发明专利数,规模以上家具制造业工业企业有效发明专利数,规模以上造纸及纸制品业工业企业有效发明专利数,规模以上印刷业和记录媒介的复制工业企业有效发明专利数,规模以上文教体育用品制造业工业企业有效发明专利数,规模以上石油加工、炼焦及核燃料加工业企业有效发明专利数,规模以上化学原料及化学制品制造业工业企业有效发明专利数,规模以上医药制造业工业企业有效发明专利数,规模以上化学纤维制造业工业企业有效发明专利数,规模以上橡胶制品业工业企业有效发明专利数,规模以上塑料制品业工业企业有效发明专利数,规模以上非金属矿物制品业工业企业有效发明专利数,规模以上黑色金属冶炼及压延加工业企业有效发明专利数,规模以上有色金属冶炼及压延加工业企业有效发明专利数,规模以上金属制品业工业企业有效发明专利数,规模以上通用设备制造业工业企业有效发明专利数,规模以上专用设备制造业工业企业有效发明专利数,规模以上交通运输设备制造业工业企业有效发明专利数,规模以上电气机械及器材制造业工业企业有效发明专利数,规模以上通信设备、计算机及其他电子设备制造业工业企业有效发明专利数,规模以上仪器仪表及文化、办公用机械制造业工业企业有效发明专利数,规模以上工艺品及其他制造业工业企业有效发明专利数,规模以上电力、热力的生产和供应业工业企业有效发明专利数,规模以上燃气生产和供应业工业企业有效发明专利数,规模以上水的生产和供应业工业企业有效发明专利数
2019,1218074,3442,3806,1359,994,781,10805,12303,,4454,11897,,,3236,7178,6608,6462,,5096,65333,47910,4067,,,31743,18331,18271,43567,91608,107509,,143142,340117,,,27078,532,1070
2018,1094200,2596,3466,1083,761,570,9524,10906,,4196,10822,,,3246,6546,6091,5284,,4784,61451,45766,3595,,,27727,17006,17256,39321,78732,97839,,136014,300369,,,20446,371,906
2017,933990,2366,2261,1038,578,503,8657,9344,,3796,8320,,,2091,4085,5027,3792,,3606,54262,41673,2643,,,23267,18308,16250,28081,65982,81588,,109179,274170,,,15613,224,619
2016,769847,1944,1994,965,341,353,7520,7863,,3081,6359,,,1708,4031,4741,3312,,3061,48805,37463,2510,,,19013,15661,13527,22231,55508,67163,,85028,227365,,,12893,204,491
2015,573765,1616,1334,766,318,344,6160,6431,,2950,4774,,,1270,1764,2558,2044,,2775,37649,31259,1700,,,13177,12322,10451,15667,40413,49732,,63837,170387,,,8832,184,292
2014,448885,1222,1255,893,176,244,4858,4411,,1605,4338,,,991,2073,1877,1610,,1900,29433,24799,1394,,,11574,9543,8361,12514,33014,39555,,51467,126488,,,6710,149,205
2013,335401,835,1198,540,140,221,3221,3105,,1168,2587,,,1011,880,1282,1404,,1710,22005,19558,1288,,,8941,7018,6753,9656,23994,28145,,38601,97994,,,3602,49,138
2012,277196,1023,807,376,114,157,2261,2375,,710,2245,,,1224,814,1042,1016,,1514,16777,15058,1064,,,7740,5976,5338,8093,22984,21785,,31346,83589,,,3078,69,128
2011,201089,606,954,204,71,118,1613,1435,1239.0,490,1962,686.0,377.0,583,1102,809,578,1229.0,1228,11917,10506,733,999.0,3393.0,6366,4119,4651,4780,13464,16358,12071.0,24052,62159,6759.0,863.0,2415,48,116
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,118245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,80252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,30315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
