年份,规模以上工业企业专利申请数,规模以上煤炭开采和洗选业工业企业专利申请数,规模以上石油和天然气开采业工业企业专利申请数,规模以上黑色金属矿采选业工业企业专利申请数,规模以上有色金属矿采选业工业企业专利申请数,规模以上非金属矿采选业工业企业专利申请数,规模以上农副食品加工业企业专利申请数,规模以上食品制造业工业企业专利申请数,规模以上饮料制造业工业企业专利申请数,规模以上烟草制品业工业企业专利申请数,规模以上纺织业工业企业专利申请数,规模以上纺织服装、鞋、帽制造业工业企业专利申请数,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业专利申请数,规模以上木材加工及木、竹、藤、棕、草制品业工业企业专利申请数,规模以上家具制造业工业企业专利申请数,规模以上造纸及纸制品业工业企业专利申请数,规模以上印刷业和记录媒介的复制工业企业专利申请数,规模以上文教体育用品制造业工业企业专利申请数,规模以上石油加工、炼焦及核燃料加工业企业专利申请数,规模以上化学原料及化学制品制造业工业企业专利申请数,规模以上医药制造业工业企业专利申请数,规模以上化学纤维制造业工业企业专利申请数,规模以上橡胶制品业工业企业专利申请数,规模以上塑料制品业工业企业专利申请数,规模以上非金属矿物制品业工业企业专利申请数,规模以上黑色金属冶炼及压延加工业企业专利申请数,规模以上有色金属冶炼及压延加工业企业专利申请数,规模以上金属制品业工业企业专利申请数,规模以上通用设备制造业工业企业专利申请数,规模以上专用设备制造业工业企业专利申请数,规模以上交通运输设备制造业工业企业专利申请数,规模以上电气机械及器材制造业工业企业专利申请数,规模以上通信设备、计算机及其他电子设备制造业工业企业专利申请数,规模以上仪器仪表及文化、办公用机械制造业工业企业专利申请数,规模以上工艺品及其他制造业工业企业专利申请数,规模以上电力、热力的生产和供应业工业企业专利申请数,规模以上燃气生产和供应业工业企业专利申请数,规模以上水的生产和供应业工业企业专利申请数
2019,1059808,3547,4069,705,1030,702,11441,9989,,4940,16410,,,4388,11928,8002,7392,,3277,43817,23400,3290,,,35527,17474,15599,46181,95039,94361,,157224,204836,,,27165,814,1135
2018,957298,3769,4196,643,705,602,11774,9227,,4763,18239,,,4112,11064,6841,6356,,2884,42545,21698,3126,,,30385,14303,14259,38868,78960,81540,,152766,179405,,,28463,637,842
2017,817037,3179,3140,428,509,456,10966,8293,,3557,12667,,,3375,10064,5184,5081,,2682,39389,19878,2526,,,24215,14784,13324,29243,64164,68462,,136915,145303,,,19914,432,488
2016,715397,2399,2950,699,425,503,10066,7673,,3318,13777,,,3124,10629,5008,3702,,1805,34739,17785,2753,,,18777,13262,11173,24978,60198,57906,,113140,118725,,,20065,202,459
2015,638513,2951,2725,762,408,426,9074,6677,,3110,17017,,,2950,9181,3982,3303,,1912,28778,16020,2379,,,16243,14085,10146,22003,52898,52288,,92865,100785,,,20735,195,271
2014,630561,2549,2467,663,246,418,8449,6180,,2257,12712,,,2467,5009,4351,3117,,2078,30482,19354,3083,,,16627,15419,9820,19564,53169,54607,,92954,103504,,,20068,260,361
2013,560918,2857,2628,588,254,387,7344,5421,,2634,11457,,,2603,4826,3278,2867,,1600,27165,17124,3177,,,15369,13874,9022,18318,49305,53037,,78154,88960,,,17537,84,294
2012,489945,2372,2129,547,204,273,5927,4716,,1581,12082,,,2442,3897,3445,1970,,1441,23143,14976,2142,,,11711,12112,8026,16722,42136,43050,,74811,82406,,,13515,105,283
2011,386075,1917,2337,301,193,145,4350,3870,2174.0,1145,12711,3565.0,2008.0,1914,3298,2243,1281,4463.0,1055,18436,11115,2231,2814.0,7735.0,9136,8381,6519,12699,33060,32022,38829.0,57713,71890,14059.0,3396.0,6716,63,197
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,265808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,173573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,64569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
