年份,规模以上工业企业发明专利申请数,大中型工业企业发明专利申请数,规模以上工业内资企业发明专利申请数,规模以上工业国有企业发明专利申请数,规模以上工业集体企业发明专利申请数,规模以上工业股份合作企业发明专利申请数,规模以上工业联营企业发明专利申请数,规模以上工业国有联营企业发明专利申请数,规模以上工业有限责任公司发明专利申请数,规模以上工业国有独资公司发明专利申请数,规模以上工业股份有限公司发明专利申请数,规模以上工业私营企业发明专利申请数,规模以上工业其他企业发明专利申请数,规模以上工业港、澳、台商投资企业发明专利申请数,规模以上工业港、澳、台商合资经营企业发明专利申请数,规模以上工业港、澳、台商合作经营企业发明专利申请数,规模以上工业港、澳、台商独资经营企业发明专利申请数,规模以上工业港、澳、台商投资股份有限公司发明专利申请数,规模以上工业外商投资企业发明专利申请数,规模以上工业中外合资经营企业发明专利申请数,规模以上工业中外合作经营企业发明专利申请数,规模以上工业外资企业发明专利申请数,规模以上工业外商投资股份有限公司发明专利申请数
2019,398802,267754,343664,6391,108,155,6,1,140515,25683,68666,127651,172,25564,9354,123,14899,1122,29574,15453,256,11603,1943
2018,371569,241854,321873,4771,147,133,17,7,126831,23494,67621,122242,111,25946,9070,131,14420,2263,23750,11844,293,9215,2150
2017,320626,218376,274490,8782,5385,148,24,5,112503,17581,63069,84468,111,24272,8960,192,13209,1843,21864,10299,195,9599,1606
2016,286987,188684,236768,10958,2830,160,30,9,91432,14036,52721,78551,86,22581,7925,145,12471,1997,27638,14246,233,11605,1410
2015,245688,163156,198262,10984,2165,203,21,18,71917,13132,45573,67125,274,21507,7703,145,12134,1503,25919,12967,303,11108,1415
2014,239925,158680,188392,10423,1605,219,227,217,68050,11854,44747,62185,936,20661,7118,226,11781,1516,30872,14864,459,14128,1401
2013,205146,139723,158978,9319,1134,215,209,201,59995,9761,36973,50653,480,18124,7023,277,9618,1199,28044,13112,458,13076,1374
2012,176167,124695,135421,11248,876,451,175,100,48843,5412,33008,39626,1194,17426,5729,175,10396,1085,23320,11256,288,10696,1061
2011,134843,97822,100277,7318,1048,348,76,34,32775,4293,28656,29210,846,12130,4589,123,6653,760,22436,8497,202,12753,956
2010,,72523,,,,,,,,,,,,,,,,,,,,,
2009,92450,63011,,,,,,,,,,,,,,,,,,,,,
2008,59254,43773,,,,,,,,,,,,,,,,,,,,,
2007,,36074,,,,,,,,,,,,,,,,,,,,,
2006,,25685,,,,,,,,,,,,,,,,,,,,,
2005,,18292,,,,,,,,,,,,,,,,,,,,,
2004,20456,13908,,,,,,,,,,,,,,,,,,,,,
2003,,9395,,,,,,,,,,,,,,,,,,,,,
2002,,5770,,,,,,,,,,,,,,,,,,,,,
2001,,3625,,,,,,,,,,,,,,,,,,,,,
2000,,2792,,,,,,,,,,,,,,,,,,,,,
