年份,中国实际利用亚洲外商直接投资金额,中国实际利用阿富汗外商直接投资金额,中国实际利用巴林外商直接投资金额,中国实际利用孟加拉国外商直接投资金额,中国实际利用文莱外商直接投资金额,中国实际利用缅甸外商直接投资金额,中国实际利用柬埔寨外商直接投资金额,中国实际利用塞浦路斯外商直接投资金额,中国实际利用朝鲜外商直接投资金额,中国实际利用中国香港外商直接投资金额,中国实际利用印度外商直接投资金额,中国实际利用印度尼西亚外商直接投资金额,中国实际利用伊朗外商直接投资金额,中国实际利用伊拉克外商直接投资金额,中国实际利用以色列外商直接投资金额,中国实际利用日本外商直接投资金额,中国实际利用约旦外商直接投资金额,中国实际利用科威特外商直接投资金额,中国实际利用老挝外商直接投资金额,中国实际利用黎巴嫩外商直接投资金额,中国实际利用中国澳门外商直接投资金额,中国实际利用马来西亚外商直接投资金额,中国实际利用蒙古外商直接投资金额,中国实际利用尼泊尔外商直接投资金额,中国实际利用阿曼外商直接投资金额,中国实际利用巴基斯坦外商直接投资金额,中国实际利用巴勒斯坦外商直接投资金额,中国实际利用菲律宾外商直接投资金额,中国实际利用卡塔尔外商直接投资金额,中国实际利用沙特阿拉伯外商直接投资金额,中国实际利用新加坡外商直接投资金额,中国实际利用韩国外商直接投资金额,中国实际利用斯里兰卡外商直接投资金额,中国实际利用叙利亚外商直接投资金额,中国实际利用泰国外商直接投资金额,中国实际利用土耳其外商直接投资金额,中国实际利用阿联酋外商直接投资金额,中国实际利用也门外商直接投资金额,中国实际利用越南外商直接投资金额,中国实际利用中国台湾外商直接投资金额,中国实际利用哈萨克斯坦外商直接投资金额,中国实际利用塔吉克斯坦外商直接投资金额,中国实际利用乌兹别克斯坦外商直接投资金额,中国实际利用亚洲其他国家(地区)外商直接投资金额
2019,11688841.0,,,71,701,215,5755,730,,9629894,2563,1242,,38,2930,372093,104,742,,36,173544,7013,79,,,3,,1383,,1170,759064,553817,,65,10580,1123,2141,168,1720,158740,1116,,,
2018,10701310.0,233.0,,7,1872,822,199,975,,8991724,4754,3246,10.0,36,1131,379780,394,443,51.0,167,127987,21162,41,15.0,,67,,4986,5.0,8694,521021,466688,,898,4574,87,2568,1536,13883,139136,1968,,,
2017,10919387.0,73.0,30.0,10,2573,170,1505,1192,,9450901,15772,4076,,182,773,326100,19,1474,1082.0,19,63738,10836,308,1.0,599.0,99,73.0,500,,1493,476318,367253,22.0,934,11023,674,1357,33,353,177247,561,2.0,,
2016,9883103.0,35.0,,7,6567,2,,216,,8146508,5181,6399,382.0,223,5008,309585,155,152,,160,81756,22113,,,6.0,65,8.0,7760,,1345,604668,475112,20.0,105,5615,3205,3933,251,,196280,275,,3.0,
2015,10415946.0,50.0,,24,7258,,1000,195,7.0,8638672,8080,10754,246.0,102,523,319496,5,220,,1114,88540,48048,,,,65,,3867,90.0,27774,690407,403401,3.0,55,4438,2701,3899,249,,153710,953,,,
2014,9864918.0,100.0,15.0,15,7094,585,312,673,29.0,8126820,5075,7802,380.0,16,1342,432530,116,694,,91,55057,15749,16,22.0,,2323,70.0,9707,,3061,582668,396564,,173,6052,1272,2855,94,7,201812,3655,,37.0,30.0
2013,9467234.0,558.0,,27,13319,585,2251,2128,268.0,7339667,2705,12623,325.0,101,1365,705817,125,69,,199,46020,28053,207,11.0,,1805,3.0,6726,1771.0,5851,722872,305421,,248,48305,4004,4381,90,,208771,363,,5.0,176.0
2012,8669559.0,163.0,79.0,227,15109,384,1660,863,155.0,6556119,4406,6378,410.0,93,1250,735156,120,,200.0,371,50556,31751,25,3.0,,183,10.0,13221,2706.0,4987,630508,303800,20.0,95,7772,1556,12963,287,316,284707,555,11.0,155.0,
2011,8951427.0,76.0,,495,25582,1021,1737,667,84.0,7050016,4217,4607,787.0,99,4394,632963,631,25,588.0,215,68043,35828,,,,971,80.0,11185,73.0,2394,609681,255107,68.0,89,10120,1485,7140,888,129,218343,1127,,457.0,15.0
2010,7759215.0,1240.0,105.0,18,30956,352,1035,1756,1122.0,6056677,4931,7684,1786.0,212,2596,408372,640,47,945.0,249,65524,29433,325,25.0,5.0,570,6.0,13806,51.0,48397,542820,269217,143.0,810,5134,986,11003,2079,203,247574,155,7.0,,219.0
2009,6064531.0,786.0,360.0,93,34812,339,1337,1015,151.0,4607547,5520,11172,1912.0,140,1757,410497,87,54,243.0,115,81471,42874,231,,,380,5.0,11101,7.0,11365,360484,270007,147.0,188,4866,1864,10273,442,592,188055,2240,2.0,,
2008,5634512.0,228.0,205.0,65,34042,330,292,2139,193.0,4103640,8805,16725,2702.0,324,2649,365235,341,63,670.0,245,58161,24696,141,,,1452,,12687,,27524,443529,313532,40.0,136,12921,729,9381,484,207,189868,663,,,131.0
