年份,中国实际利用世界外商直接投资金额
2019,13813462.0
2018,13496589.0
2017,13103513.0
2016,12600142.0
2015,12626660.0
2014,11956156.0
2013,11758260.0
2012,11171614.0
2011,11601100.0
2010,10573524.0
2009,9003300.0
2008,9239544.0
2007,7476789.0
2006,6302053.0
2005,6032459.0
2004,6062998.0
2003,5350467.0
2002,5274286.0
2001,4687759.0
2000,4071481.0
