年份,中国实际利用拉丁美洲外商直接投资金额,中国实际利用安提瓜和巴布达外商直接投资金额,中国实际利用阿根廷外商直接投资金额,中国实际利用巴哈马外商直接投资金额,中国实际利用巴巴多斯外商直接投资金额,中国实际利用伯利兹外商直接投资金额,中国实际利用玻利维亚外商直接投资金额,中国实际利用巴西外商直接投资金额,中国实际利用开曼群岛外商直接投资金额,中国实际利用智利外商直接投资金额,中国实际利用哥伦比亚外商直接投资金额,中国实际利用多米尼克外商直接投资金额,中国实际利用哥斯达黎加外商直接投资金额,中国实际利用古巴外商直接投资金额,中国实际利用多米尼加共和国外商直接投资金额,中国实际利用厄瓜多尔外商直接投资金额,中国实际利用洪都拉斯外商直接投资金额,中国实际利用牙买加外商直接投资金额,中国实际利用墨西哥外商直接投资金额,中国实际利用巴拿马外商直接投资金额,中国实际利用巴拉圭外商直接投资金额,中国实际利用秘鲁外商直接投资金额,中国实际利用圣文森特和格林纳丁斯外商直接投资金额,中国实际利用特克斯和凯科斯岛外商直接投资金额,中国实际利用乌拉圭外商直接投资金额,中国实际利用委内瑞拉外商直接投资金额,中国实际利用维尔京群岛外商直接投资金额,中国实际利用圣其茨-尼维斯外商直接投资金额,中国实际利用拉美洲其他国家(地区)外商直接投资金额
2019,756690,,30,,1405,988,,340,255681,30,18,,,,,2,,,1,1528,,120,13,110,,,496386,,32
2018,902646,,65,500.0,14750,354,,3119,406825,1279,7,,,,,,,,1731,2115,,,,43,586.0,54.0,471151,,28
2017,636273,2272.0,,,4103,931,,4228,217690,516,5,,,,,,,,1204,2137,,,,,4087.0,2.0,399076,22.0,
2016,1221618,,3,4271.0,17902,1988,64.0,4667,515133,300,6,4.0,,761.0,,,,,74,2427,,1,15,,,3.0,673957,35.0,7
2015,913768,,,14895.0,3911,3180,,5084,144446,526,12,,,,,,,,731,2064,,28,18,,12.0,6.0,738778,52.0,25
2014,771545,400.0,305,8412.0,7074,2208,,2811,125509,625,,60.0,,287.0,,,,,319,600,,39,,17,215.0,45.0,622566,50.0,
2013,820687,,52,8192.0,16096,4204,22.0,2304,166825,2094,38,100.0,,,,2,,,1580,2594,,,111,40,158.0,66.0,615858,95.0,256
2012,1018357,,830,3731.0,15988,1130,,5760,197540,2075,3,103.0,,,,1,,,1487,3281,2013.0,16,21,25,50.0,128.0,783086,652.0,
2011,1250460,218.0,732,3961.0,31005,2133,189.0,4304,224196,1679,1,134.0,22.0,2300.0,6.0,3,260.0,,453,3845,,87,13,495,63.0,209.0,972495,263.0,1394
2010,1352563,,94,5592.0,35584,1673,460.0,5725,249880,146,5,274.0,10.0,727.0,50.0,203,301.0,20.0,1525,2481,234.0,2,246,164,132.0,358.0,1044734,418.0,1525
2009,1468433,,1241,9868.0,55754,1988,338.0,5248,258189,323,14,176.0,,,35.0,26,,110.0,91,1797,301.0,4,200,92,221.0,198.0,1129858,193.0,2021
2008,2090344,102.0,1266,35141.0,125520,6302,99.0,3879,314497,466,10,119.0,,,5.0,49,214.0,29.0,385,3539,215.0,267,507,130,,237.0,1595384,1363.0,369
2007,2011799,,1113,13493.0,70958,2421,129.0,3164,257078,719,5,16.0,,63.0,182.0,100,168.0,,566,2580,58.0,527,320,114,10.0,209.0,1655244,1577.0,841
2006,1416262,,686,8394.0,53548,2345,306.0,5560,209546,560,35,35.0,10.0,280.0,164.0,10,131.0,79.0,1234,5956,158.0,73,478,52,13.0,98.0,1124758,1007.0,560
2005,1129333,,1089,7467.0,9701,2284,164.0,2461,194754,636,,102.0,60.0,30.0,204.0,76,290.0,100.0,710,4291,142.0,338,166,350,104.0,276.0,902167,623.0,748
2004,904353,,3080,4800.0,3129,1033,134.0,3070,204258,339,10,35.0,2.0,100.0,114.0,10,539.0,360.0,2129,3592,830.0,445,127,127,,,673030,1057.0,367
2003,690657,,1889,8787.0,2446,1990,290.0,1671,86604,801,47,,0.0,1407.0,307.0,53,69.0,10.0,555,3283,60.0,90,,57,,128.0,577696,1400.0,610
2002,1487227,,1030,8990.0,1611,2502,607.0,1536,117954,1189,,,598.0,,748.0,27,106.0,,731,4646,107.0,112,,80,,203.0,611739,,278
2001,630891,,1638,5960.0,1214,1915,70.0,390,106671,133,1234,,110.0,19.0,1.0,136,108.0,123.0,182,5785,117.0,27,,,,500.0,504234,,60
2000,461658,,1389,6776.0,5,890,707.0,393,62373,44,50,,548.0,43.0,10.0,,73.0,49.0,93,4263,30.0,7,,322,,37.0,383289,,
