年份,中国实际利用欧洲外商直接投资金额,中国实际利用比利时外商直接投资金额,中国实际利用丹麦外商直接投资金额,中国实际利用英国外商直接投资金额,中国实际利用德国外商直接投资金额,中国实际利用法国外商直接投资金额,中国实际利用爱尔兰外商直接投资金额,中国实际利用意大利外商直接投资金额,中国实际利用卢森堡外商直接投资金额,中国实际利用荷兰外商直接投资金额,中国实际利用希腊外商直接投资金额,中国实际利用葡萄牙外商直接投资金额,中国实际利用西班牙外商直接投资金额,中国实际利用奥地利外商直接投资金额,中国实际利用保加利亚外商直接投资金额,中国实际利用芬兰外商直接投资金额,中国实际利用匈牙利外商直接投资金额,中国实际利用冰岛外商直接投资金额,中国实际利用列支敦士登外商直接投资金额,中国实际利用马耳他外商直接投资金额,中国实际利用摩纳哥外商直接投资金额,中国实际利用挪威外商直接投资金额,中国实际利用波兰外商直接投资金额,中国实际利用罗马尼亚外商直接投资金额,中国实际利用圣马力诺外商直接投资金额,中国实际利用瑞典外商直接投资金额,中国实际利用瑞士外商直接投资金额,中国实际利用爱沙尼亚外商直接投资金额,中国实际利用拉脱维亚外商直接投资金额,中国实际利用立陶宛外商直接投资金额,中国实际利用亚美尼亚外商直接投资金额,中国实际利用白俄罗斯外商直接投资金额,中国实际利用俄罗斯外商直接投资金额,中国实际利用乌克兰外商直接投资金额,中国实际利用斯洛文尼亚外商直接投资金额,中国实际利用克罗地亚外商直接投资金额,中国实际利用捷克外商直接投资金额,中国实际利用斯洛伐克外商直接投资金额,中国实际利用欧洲其他国家(地区)外商直接投资金额
2019,807360,3698,8928,85705,165805,79337,65678,19188,33224,179544,619,73,11802,29930,141,2828,2189,,,,,5153,1286,396,,37387,64492,816,100,,28,7,5402,20,1160,,167,110,2125
2018,1119350,14788,5887,248164,367428,101107,16485,23260,75747,127268,126,40,17064,14518,66,8372,131,,67.0,21.0,26.0,7381,247,272,,15760,60387,,4,20.0,3,1820,5677,80,421,615.0,421,2877,2745
2017,883619,14759,81947,100333,154163,79018,14881,19482,59587,217398,85,1499,14246,9488,9,5385,148,734.0,24.0,246.0,27.0,732,289,711,,50695,45961,,,2372.0,,824,2384,2707,37,,797,44,2600
2016,943439,14765,16281,135368,271046,86975,3308,22317,138635,55586,9,1042,19815,4271,133,25804,325,58.0,,5740.0,11.0,366,585,204,,74697,54749,,10,1554.0,,4,7343,172,55,37.0,1148,66,952
2015,689705,7629,10466,49648,155636,122390,45157,24519,63011,75179,7,202,19726,7842,14,5432,317,735.0,331.0,177.0,,12798,8277,,134.0,52721,21885,7,,22.0,2,,1312,50,3,10.0,1627,1071,1350
2014,669165,10823,29054,73534,207056,71207,40400,37200,12829,63873,147,444,17638,10625,219,6722,45,,259.0,,,2192,219,21,,36194,33953,8,2,,5,4,4088,38,6,2.0,3371,360,6494
2013,689319,3451,36960,39194,207844,75189,4324,31685,43256,127477,158,948,31197,15341,165,8961,311,755.0,183.0,3.0,24.0,2786,155,135,,20852,31468,,,8.0,1012,19,2208,552,86,21.0,1099,845,78
2012,629050,3821,13048,40960,145095,65242,11192,24576,22702,114358,140,48,34717,21626,747,10891,615,882.0,170.0,54.0,8.0,1751,357,456,389.0,20250,87280,9,,,,,2992,280,269,289.0,2071,429,828
2011,587654,12101,18021,58152,112896,76853,13091,38779,51450,76137,215,1334,27070,10478,1441,5949,1309,4.0,200.0,170.0,,1290,701,517,,17502,55474,4,200,30.0,24,664,3102,622,410,15.0,732,486,231
2010,592183,3838,36537,71032,88840,123820,6638,39609,24550,91449,451,1058,25449,12531,1837,6452,2369,6.0,212.0,5.0,4.0,3847,1243,404,211.0,16105,26130,22,,39.0,,10,3497,790,69,50.0,748,32,2299
2009,549529,5660,31552,67902,121657,65365,10125,35168,16060,74128,897,1175,30285,8857,380,5294,2026,85.0,7.0,51.0,14.0,3988,1084,385,26.0,32712,30169,83,15,24.0,,,3177,462,161,,161,11,242
2008,545937,5586,29376,91401,90049,58775,19829,49326,13283,86216,1309,829,20890,13255,30,5410,1748,101.0,496.0,,,2409,1109,3205,10.0,13917,24259,63,79,21.0,,,5997,409,86,9.0,3579,16,170
2007,436511,9584,12514,83094,73397,45601,6103,34792,8246,61666,235,823,21324,8234,258,5589,2109,600.0,75.0,103.0,,3424,920,3044,224.0,12636,29932,42,,14.0,,35,5207,1855,285,20.0,1490,109,379
2006,571156,7916,19341,72610,197871,38269,2402,34999,9466,84104,17,990,23517,14943,311,5544,3152,220.0,28.0,27.0,,1319,825,1779,177.0,20447,19663,,,180.0,,53,6720,467,104,131.0,1897,90,6
2005,564310,5384,10043,96475,153004,61506,973,32201,14200,104358,184,413,19690,7630,23,2172,4545,15.0,286.0,10.0,4.0,2624,749,5710,,11145,20588,53,,32.0,,,8199,126,83,2.0,552,97,604
2004,479830,8209,6571,79282,105848,65674,456,28082,2878,81056,2819,3322,15075,9761,577,2801,4996,50.0,4780.0,73.0,188.0,178,318,3058,,12070,20312,,,364.0,359,,12638,1386,,,3363,207,1936
2003,427197,11059,4282,74247,85697,60431,1061,31670,17543,72549,177,415,9181,9450,234,3239,2366,0.0,229.0,113.0,,1861,364,1527,450.0,12030,18134,,0,,,83,5430,279,,4.0,1245,1175,177
