年份,中国实际利用非洲外商直接投资金额,中国实际利用阿尔及利亚外商直接投资金额,中国实际利用安哥拉外商直接投资金额,中国实际利用博茨瓦纳外商直接投资金额,中国实际利用喀麦隆外商直接投资金额,中国实际利用刚果外商直接投资金额,中国实际利用埃及外商直接投资金额,中国实际利用赤道几内亚外商直接投资金额,中国实际利用埃塞俄比亚外商直接投资金额,中国实际利用冈比亚外商直接投资金额,中国实际利用加纳外商直接投资金额,中国实际利用几内亚外商直接投资金额,中国实际利用几内亚(比绍)外商直接投资金额,中国实际利用肯尼亚外商直接投资金额,中国实际利用利比里亚外商直接投资金额,中国实际利用利比亚外商直接投资金额,中国实际利用马里外商直接投资金额,中国实际利用毛里塔尼亚外商直接投资金额,中国实际利用毛里求斯外商直接投资金额,中国实际利用摩洛哥外商直接投资金额,中国实际利用纳米比亚外商直接投资金额,中国实际利用尼日尔外商直接投资金额,中国实际利用尼日利亚外商直接投资金额,中国实际利用塞内加尔外商直接投资金额,中国实际利用塞舌尔外商直接投资金额,中国实际利用塞拉利昂外商直接投资金额,中国实际利用南非外商直接投资金额,中国实际利用苏丹外商直接投资金额,中国实际利用坦桑尼亚外商直接投资金额,中国实际利用突尼斯外商直接投资金额,中国实际利用乌干达外商直接投资金额,中国实际利用赞比亚外商直接投资金额,中国实际利用津巴布韦外商直接投资金额,中国实际利用非洲其他国家(地区)外商直接投资金额
2019,47198,50,,,,60,10,,,,,,,8,2,,5,,26990,,,,6,,19271,,311,,5,92,291,,80,17
2018,61042,,,,,1,88,,,,4786.0,,,,,,5,,26058,,,,1306,,22547,,4185,,1013,,653,400.0,,
2017,65746,3,120.0,,,2,75,,,390.0,950.0,2.0,103.0,309,50,38.0,8,,34368,,,,625,,20409,,6518,,51,80,,,150,20
2016,112720,3,359.0,,4.0,,269,,6.0,7.0,,,,6,572,18.0,4,,86176,,,,87,,24593,,382,50.0,112,,,,,92
2015,58507,,90.0,4.0,5.0,,50,,,,6.0,,,2,,10.0,8,,34601,,,,300,,22600,,198,,25,13,,512.0,65,
2014,101826,,712.0,,2.0,12,126,,4.0,,36.0,1.0,,,,12.0,,,59128,,,,3008,,35904,2.0,589,,1627,2,100,,,540
2013,137901,5,454.0,29.0,3.0,3,209,,,150.0,4.0,,,11,16,,,,91030,27.0,1600.0,,1488,,34812,2.0,1292,24.0,1629,45,3580,1488.0,,
2012,138787,571,195.0,,,16,567,,,131.0,382.0,,,209,,180.0,9,,95873,,,,1253,8.0,36507,,1605,7.0,,32,511,629.0,,
2011,164091,29,303.0,170.0,21.0,11,552,215.0,,60.0,,97.0,302.0,235,5,121.0,26,,113921,4.0,,,1999,,43333,44.0,1323,255.0,,185,488,1.0,66,325
2010,127992,40,295.0,,87.0,,803,,85.0,,62.0,456.0,225.0,48,18,5.0,,,92884,7.0,875.0,310.0,500,40.0,22837,45.0,6647,,8,683,18,407.0,39,568
2009,130969,,609.0,,181.0,,1090,,20.0,308.0,23.0,46.0,60.0,202,23,25.0,4,5.0,110378,1.0,,115.0,33,,11790,6.0,4120,,32,258,18,50.0,39,720
2008,166788,904,239.0,651.0,218.0,,758,143.0,,633.0,82.0,,56.0,99,84,10.0,,,149371,45.0,50.0,75.0,5504,7.0,4226,15.0,2560,10.0,,80,52,,101,
2007,148683,379,232.0,14.0,-18.0,,678,208.0,53.0,170.0,22.0,,,80,,96.0,,,133250,48.0,1295.0,,1211,,1594,,6916,80.0,,,45,100.0,219,116
2006,121735,658,78.0,5.0,65.0,,127,,255.0,175.0,10.0,21.0,84.0,300,10,21.0,,,103271,6.0,371.0,,2000,,1573,,9481,102.0,25,,63,539.0,346,164
2005,107086,101,18.0,,,10,532,68.0,58.0,132.0,40.0,49.0,,,771,25.0,6,,90777,166.0,644.0,,856,,440,147.0,10635,60.0,,,197,289.0,24,115
2004,77568,206,,47.0,590.0,,396,,,,40.0,258.0,110.0,106,285,15.0,11,,60232,97.0,80.0,10.0,1583,,654,82.0,10940,41.0,15,60,,385.0,325,110
2003,61776,183,,137.0,73.0,137,334,,,0.0,,,20.0,0,1124,0.0,,,52098,76.0,391.0,0.0,2083,,246,2.0,3245,0.0,50,,0,109.0,0,693
2002,56462,108,,12.0,16.0,,182,,,1006.0,,,75.0,7,40,16.0,,,48369,,70.0,140.0,646,,597,57.0,2593,2.0,,,15,15.0,180,500
2001,32977,23,,29.0,,12,146,,,,,,,30,,,,,30563,17.0,75.0,12.0,384,,300,50.0,836,,40,,30,,,11
2000,28771,40,,5.0,,,67,,,,,,,,,,,,26479,,199.0,,652,,,142.0,919,19.0,65,,12,10.0,63,
