年份,中国实际利用大洋洲及太平洋岛屿外商直接投资金额,中国实际利用澳大利亚外商直接投资金额,中国实际利用库克群岛外商直接投资金额,中国实际利用瓦努阿图外商直接投资金额,中国实际利用新西兰外商直接投资金额,中国实际利用萨摩亚外商直接投资金额,中国实际利用马绍尔群岛外商直接投资金额,中国实际利用其它太平洋岛屿外商直接投资金额,中国实际利用大洋洲其他国家(地区)外商直接投资金额
2019,172579,42856,,190,4405,119182,5776,,170
2018,190904,28889,,,3326,155421,2292,,949
2017,160950,27618,,,2116,122943,4863,,3410
2016,126794,26264,,2920,3182,87248,4825,,2355
2015,244357,30689,,624,2247,199109,7189,,1083
2014,189251,23853,82.0,16,4748,156383,3412,545.0,29
2013,232652,32967,65.0,79,6795,185807,4884,1048.0,1007
2012,226589,33797,134.0,515,11890,174371,1676,,
2011,261998,30953,150.0,1002,7422,207623,6370,2331.0,6147
2010,232777,32501,300.0,2997,14229,177333,3031,1555.0,831
2009,252877,39437,,147,8495,202003,1063,1147.0,539
2008,316987,40707,2030.0,16,6923,254975,9456,889.0,1521
2007,274290,35387,2614.0,283,6391,216988,7391,,1239
2006,226024,55189,271.0,298,8340,153754,3057,,1266
2005,199898,40093,457.0,171,12991,135187,4580,,634
2004,197437,66263,637.0,,11528,112885,1543,,210
2003,173119,59253,251.0,,6577,98572,1102,,465
2002,104619,38070,388.0,,4616,87947,668,,606
2001,101478,33560,728.0,,4818,54321,779,,2351
2000,69403,30888,25.0,,1822,28316,913,,
