年份,实际利用外商直接投资金额,农、林、牧、渔业实际利用外商直接投资金额,采矿业实际利用外商直接投资金额,制造业实际利用外商直接投资金额,电力、燃气及水的生产和供应业实际利用外商直接投资金额,建筑业实际利用外商直接投资金额,交通运输、仓储和邮政业实际利用外商直接投资金额,信息传输、计算机服务和软件业实际利用外商直接投资金额,批发和零售业实际利用外商直接投资金额,住宿和餐饮业实际利用外商直接投资金额,金融业实际利用外商直接投资金额,房地产业实际利用外商直接投资金额,租赁和商务服务业实际利用外商直接投资金额,科学研究、技术服务和地质勘查业实际利用外商直接投资金额,水利、环境和公共设施管理业实际利用外商直接投资金额,居民服务和其他服务业实际利用外商直接投资金额,教育实际利用外商直接投资金额,卫生、社会保障和社会福利业实际利用外商直接投资金额,文化、体育和娱乐业实际利用外商直接投资金额,公共管理和社会组织实际利用外商直接投资金额,国际组织实际利用外商直接投资金额
2019,13813500.0,56183,219044,3537022,352398,121551,453316,1468232,904982,97180,713206,2347188,2207283,1116831,52242,54218,22248,27186,62986,166,
2018,13496600.0,80131,122841,4117421,442390,148809,472737,1166127,976689,90107,870366,2246740,1887459,681298,47408,56166,7420,30178,52290,12,
2017,13103500.0,107492,130198,3350619,352132,261940,558803,2091861,1147808,41914,792119,1685559,1673855,684373,56951,56723,7747,30516,69846,3057,
2016,12600100.0,189770,9634,3549230,214677,247744,508944,844249,1587016,36512,1028901,1965528,1613171,651989,42159,49038,9437,25411,26732,,
2015,12626700.0,153386,24292,3954290,225022,155876,418607,383556,1202313,43398,1496889,2899484,1004973,452936,43334,72131,2894,14338,78941,,
2014,11956200.0,152227,56222,3993872,220290,123949,445559,275511,946340,65021,418216,3462611,1248588,325466,57349,71813,2097,7757,82338,930,
2013,11758600.0,180003,36495,4555498,242910,121983,421738,288056,1151099,77181,233046,2879807,1036158,275026,103586,65693,1822,6435,82079,5,
2012,11171600.0,206220,77046,4886649,163897,118176,347376,335809,946187,70157,211945,2412487,821105,309554,85028,116451,3437,6430,53655,5,
2011,11601100.0,200888,61279,5210054,211843,91694,319079,269918,842455,84289,190970,2688152,838247,245781,86427,188357,395,7751,63455,66,
2010,10573500.0,191195,68440,4959058,212477,146062,224373,248667,659566,93494,112347,2398556,713023,196692,90859,205268,818,9017,43612,,
2009,9003300.0,142873,50059,4677146,211206,69171,252728,224694,538980,84412,45617,1679619,607806,167363,55613,158596,1349,4283,31756,1,
2008,9239500.0,119102,57283,4989483,169602,109256,285131,277479,443297,93851,57255,1858995,505884,150555,34027,56992,3641,1887,25818,,6.0
2007,7476800.0,92407,48944,4086482,107255,43424,200676,148524,267652,104165,25729,1708873,401881,91668,27283,72270,3246,1157,45109,,
2006,6582100.0,59945,46052,4007671,128136,68801,198485,107049,178941,82764,29369,822950,422266,50413,19517,50402,2940,1517,24136,,
2005,6032500.0,71826,35495,4245291,139437,49020,181230,101454,103854,56017,21969,541807,374507,34041,13906,26001,1775,3926,30543,,
2004,6063000.0,,,,,,,,,,,,,,,,,,,,
2003,5350500.0,100084,33635,3693570,129538,61176,86737,,,,23199,523560,,,,,,,,,
2002,5274300.0,102764,58106,3679998,137508,70877,91346,,,,10665,566277,,,,,,,,,
2001,4687800.0,89873,81102,3090747,227276,80670,90890,,,,3527,513655,,,,,,,,,
2000,4071500.0,67594,58328,2584417,224212,90542,101188,,,,7629,465751,,,,218544,,,,,
