省份编码,省份,年份,卫生机构床位数(万张),医院床位数(万张),基层医疗卫生机构床位数(万张),社区卫生服务中心床位数(万张),街道卫生院床位数(万张),乡镇卫生院床位数(万张),专业公共卫生机构床位数(万张),妇幼保健院(所、站)床位数(万张),专科疾病防治院(所、站)床位数(万张)
110000,北京市,2019,12.7777,12.024,0.4879,,,,0.2658,0.2049,0.0609
110000,北京市,2018,12.3626,11.6397,0.4774,,,,0.2455,0.2021,0.0434
110000,北京市,2017,12.0645,11.3664,0.441,,,,0.2571,0.2017,0.0554
110000,北京市,2016,11.7041,11.0073,0.4443,,,,0.2525,0.1971,0.0554
110000,北京市,2015,11.1555,10.4644,0.4442,,,,0.2469,0.1935,0.0534
110000,北京市,2014,10.9811,10.2852,0.4515,,,,0.2444,0.1939,0.0484
110000,北京市,2013,10.4011,9.6558,0.4607,,,,0.2369,0.183,0.0539
110000,北京市,2012,10.0167,9.261,0.4745,,,,0.2335,0.177,0.0565
110000,北京市,2011,9.4735,8.7596,0.4423,0.4423,,,0.2239,0.1671,0.0568
110000,北京市,2010,9.2764,8.5775,0.0,0.4291,,,,0.1622,0.0568
110000,北京市,2009,9.01,,,,,,,,
110000,北京市,2008,,,,,,,,,
110000,北京市,2007,8.3925,,,,,,,,
110000,北京市,2006,8.144,,,,,,,,
110000,北京市,2005,7.9067,,,,,,,,
110000,北京市,2004,7.7141,,,,,,,,
110000,北京市,2003,7.4134,,,,,,,,
110000,北京市,2002,7.5293,,,,,,,,
110000,北京市,2001,7.3053,,,,,,,,
110000,北京市,2000,7.1245,,,,,,,,
120000,天津市,2019,6.8262,6.099,0.6417,,,0.386,0.0625,,0.0625
120000,天津市,2018,6.8247,6.0337,0.6972,,,0.4156,0.0708,0.0063,0.0645
120000,天津市,2017,6.8409,6.0158,0.7313,,,0.4017,0.0708,0.0063,0.0645
120000,天津市,2016,6.5832,5.7561,0.7101,,,0.4093,0.0874,0.013,0.0744
120000,天津市,2015,6.3693,5.5556,0.699,,,0.4133,0.0846,0.013,0.0716
120000,天津市,2014,6.0869,5.235,0.7111,,,0.4134,0.0992,0.031,0.0682
120000,天津市,2013,5.7743,4.9071,0.7163,,,0.3991,0.1114,0.0466,0.0648
120000,天津市,2012,5.3509,4.4798,0.7023,,,0.4098,0.1287,0.0618,0.0669
120000,天津市,2011,4.9423,4.0787,0.6883,0.2851,,0.3874,0.1352,0.0666,0.0686
120000,天津市,2010,4.8828,4.0387,,0.3079,,0.3693,,0.0742,0.0328
120000,天津市,2009,4.6353,,,,,,,,
120000,天津市,2008,,,,,,,,,
120000,天津市,2007,4.4335,,,,,,,,
120000,天津市,2006,4.36,,,,,,,,
120000,天津市,2005,4.1513,,,,,,,,
120000,天津市,2004,4.0969,,,,,,,,
120000,天津市,2003,4.0095,,,,,,,,
120000,天津市,2002,4.009,,,,,,,,
120000,天津市,2001,4.1637,,,,,,,,
120000,天津市,2000,4.0039,,,,,,,,
130000,河北省,2019,43.0079,32.8553,8.6422,,,7.1611,1.4251,1.3989,0.018
130000,河北省,2018,42.1916,32.0739,8.6553,,,7.1819,1.3521,1.3262,0.0175
130000,河北省,2017,39.5036,29.9523,8.1551,,,7.0892,1.2947,1.2587,0.029
130000,河北省,2016,36.0485,27.0831,7.6853,,,6.6624,1.1796,1.091,0.0831
130000,河北省,2015,34.2096,25.3825,7.4993,,,6.4973,1.2273,1.1418,0.08
130000,河北省,2014,32.2909,23.6889,7.3108,,,6.293,1.1907,1.1015,0.0837
130000,河北省,2013,30.3497,22.0423,7.0278,,,6.0836,1.1791,1.0854,0.0837
130000,河北省,2012,28.4359,20.3324,6.9143,,,5.9469,1.0487,0.9593,0.0795
130000,河北省,2011,26.6479,18.7504,6.7942,0.4952,,5.8777,0.9618,0.8819,0.07
130000,河北省,2010,24.9725,17.2956,,0.4939,,5.7097,,0.8333,0.0094
130000,河北省,2009,23.2638,,,,,,,,
130000,河北省,2008,,,,,,,,,
130000,河北省,2007,19.5637,,,,,,,,
130000,河北省,2006,17.3024,,,,,,,,
130000,河北省,2005,16.2061,,,,,,,,
130000,河北省,2004,15.7626,,,,,,,,
130000,河北省,2003,15.792,,,,,,,,
130000,河北省,2002,17.2013,,,,,,,,
130000,河北省,2001,17.2679,,,,,,,,
130000,河北省,2000,16.8906,,,,,,,,
140000,山西省,2019,21.8441,17.5047,3.8714,,,3.1223,0.406,0.387,0.018
140000,山西省,2018,20.8305,16.3584,3.8924,,,3.1018,0.5127,0.4937,0.018
140000,山西省,2017,19.7525,15.4184,3.8538,,,3.1014,0.3833,0.3663,0.016
140000,山西省,2016,18.9689,14.7011,3.7042,,,3.0068,0.3786,0.3616,0.016
140000,山西省,2015,18.3209,14.0257,3.7567,,,2.9162,0.3535,0.3365,0.016
140000,山西省,2014,17.7442,13.3957,3.8053,,,2.8434,0.3727,0.3522,0.019
