省份编码,省份,年份,县(市、区)数(个),开展新型农村合作医疗县(区、市)数(个),参加新型农村合作医疗人数(亿人),新型农村合作医疗人均筹资(元),新型农村合作医疗本年度筹资总额(亿元),新型农村合作医疗补偿受益人次(亿人次)
110000,北京市,2019,16,,,,,
110000,北京市,2018,16,,,,,
110000,北京市,2017,16,,,,,
110000,北京市,2016,16,,,,,
110000,北京市,2015,16,,,,,
110000,北京市,2014,16,,0.02425898,1090.8725655407,26.46345575,0.05822824
110000,北京市,2013,16,,0.02543573,893.9,22.74,0.056293
110000,北京市,2012,16,13,0.02674,707.3,18.9,0.05656
110000,北京市,2011,16,13,0.02768315,637.188470242729,17.64,0.067286
110000,北京市,2010,16,13,0.027853,555.403654902524,15.469658,0.06944612
110000,北京市,2009,18,13,0.027498,433.4,,0.045623
110000,北京市,2008,18,13,0.02724762,,9.156545,0.02775074
110000,北京市,2007,18,,,,,
110000,北京市,2006,18,,,,,
110000,北京市,2005,18,,,,,
110000,北京市,2004,18,,,,,
110000,北京市,2003,18,,,,,
110000,北京市,2002,18,,,,,
110000,北京市,2001,2,,,,,
110000,北京市,2000,5,,,,,
120000,天津市,2019,16,,,,,
120000,天津市,2018,16,,,,,
120000,天津市,2017,16,,,,,
120000,天津市,2016,16,,,,,
120000,天津市,2015,16,,,,,
120000,天津市,2014,16,,,,,
120000,天津市,2013,16,,,,,
120000,天津市,2012,16,,,,,
120000,天津市,2011,16,,,,,
120000,天津市,2010,16,,,,,
120000,天津市,2009,16,12,0.03679,172.3,,0.039049
120000,天津市,2008,18,12,0.03578143,,5.2101381,0.03477462
120000,天津市,2007,18,,,,,
120000,天津市,2006,18,,,,,
120000,天津市,2005,18,,,,,
120000,天津市,2004,18,,,,,
120000,天津市,2003,18,,,,,
120000,天津市,2002,18,,,,,
120000,天津市,2001,3,,,,,
120000,天津市,2000,4,,,,,
130000,河北省,2019,168,,,,,
130000,河北省,2018,168,,,,,
130000,河北省,2017,168,,,,,
130000,河北省,2016,168,,,,,
130000,河北省,2015,170,,,,,
130000,河北省,2014,171,,0.52349588,396.6801116954,207.6604041505,1.3606817
130000,河北省,2013,172,,0.51463752,346.2,178.19,1.335006
130000,河北省,2012,172,164,0.5037,294.7,148.5,1.24067
130000,河北省,2011,172,164,0.5020017,232.107557179388,116.52,1.006189
130000,河北省,2010,172,164,0.499809,139.953028056718,69.949783,0.65929302
130000,河北省,2009,172,164,0.479304,103.7,,0.22599
130000,河北省,2008,172,164,0.4668194,,41.8794873789,0.17973797
130000,河北省,2007,172,,,,,
130000,河北省,2006,172,,,,,
130000,河北省,2005,172,,,,,
130000,河北省,2004,172,,,,,
130000,河北省,2003,172,,,,,
130000,河北省,2002,172,,,,,
130000,河北省,2001,138,,,,,
130000,河北省,2000,138,,,,,
140000,山西省,2019,117,,,,,
140000,山西省,2018,117,,,,,
140000,山西省,2017,119,,,,,
140000,山西省,2016,119,,,,,
140000,山西省,2015,119,,,,,
140000,山西省,2014,119,,0.21912352,395.0889944503,86.5732911772,0.40620479
140000,山西省,2013,119,,0.2193675,346.6,76.02,0.410557
140000,山西省,2012,119,115,0.2194,294.1,64.5,0.35984
140000,山西省,2011,119,115,0.21850169,231.875429589583,50.67,0.317278
140000,山西省,2010,119,115,0.216457,150.625329742166,32.603907,0.25705704
140000,山西省,2009,119,115,0.212585,102.2,,0.113003
140000,山西省,2008,119,115,0.20897767,,19.3826911396,0.10067448
140000,山西省,2007,119,,,,,
140000,山西省,2006,119,,,,,
140000,山西省,2005,119,,,,,
140000,山西省,2004,119,,,,,
140000,山西省,2003,119,,,,,
140000,山西省,2002,119,,,,,
140000,山西省,2001,97,,,,,
140000,山西省,2000,97,,,,,
150000,内蒙古自治区,2019,103,,,,,
150000,内蒙古自治区,2018,103,,,,,
150000,内蒙古自治区,2017,103,,,,,
150000,内蒙古自治区,2016,103,,,,,
150000,内蒙古自治区,2015,102,,,,,
150000,内蒙古自治区,2014,102,,0.12892605,420.138977344,54.1668588,0.08489766
150000,内蒙古自治区,2013,102,,0.12615122,374.3,47.22,0.095874
150000,内蒙古自治区,2012,101,92,0.12336,308.3,38.0,0.08231
150000,内蒙古自治区,2011,101,96,0.12401743,246.401544444196,30.56,0.083495
150000,内蒙古自治区,2010,101,98,0.121463,157.566567596717,19.138508,0.08943077
150000,内蒙古自治区,2009,101,98,0.12018,107.4,,0.05763
150000,内蒙古自治区,2008,101,95,0.11804702,,10.842917,0.04891392
150000,内蒙古自治区,2007,101,,,,,
150000,内蒙古自治区,2006,101,,,,,
150000,内蒙古自治区,2005,101,,,,,
150000,内蒙古自治区,2004,101,,,,,
150000,内蒙古自治区,2003,101,,,,,
150000,内蒙古自治区,2002,101,,,,,
150000,内蒙古自治区,2001,82,,,,,
150000,内蒙古自治区,2000,84,,,,,
210000,辽宁省,2019,100,,,,,
210000,辽宁省,2018,100,,,,,
210000,辽宁省,2017,100,,,,,
210000,辽宁省,2016,100,,,,,
210000,辽宁省,2015,100,,,,,
210000,辽宁省,2014,100,,0.19726483,407.8862470315,80.46161118,0.27348505
210000,辽宁省,2013,100,,0.19771139,354.0,69.99,0.24533
210000,辽宁省,2012,100,94,0.19586,295.5,57.9,0.21512
210000,辽宁省,2011,100,94,0.19761959,234.93494182434,46.43,0.163964
210000,辽宁省,2010,100,90,0.195363,158.377906768426,30.941183,0.13998669
210000,辽宁省,2009,100,90,0.196591,108.4,,0.12516
210000,辽宁省,2008,100,91,0.19535316,,18.96474807,0.13087694
210000,辽宁省,2007,100,,,,,
210000,辽宁省,2006,100,,,,,
210000,辽宁省,2005,100,,,,,
210000,辽宁省,2004,100,,,,,
210000,辽宁省,2003,100,,,,,
210000,辽宁省,2002,100,,,,,
210000,辽宁省,2001,44,,,,,
210000,辽宁省,2000,44,,,,,
220000,吉林省,2019,60,,,,,
220000,吉林省,2018,60,,,,,
220000,吉林省,2017,60,,,,,
220000,吉林省,2016,60,,,,,
220000,吉林省,2015,60,,,,,
220000,吉林省,2014,60,,0.132129,414.63211099,54.784926193,0.06742376
220000,吉林省,2013,60,,0.13442756,362.8,48.77,0.066495
220000,吉林省,2012,60,60,0.13282,290.5,38.6,0.09778
220000,吉林省,2011,60,61,0.13020533,231.066069432027,30.09,0.07094
220000,吉林省,2010,60,60,0.125254,150.374071885928,18.834954,0.06278828
220000,吉林省,2009,60,60,0.12515,101.8,,0.069172
220000,吉林省,2008,60,60,0.12166049,,9.8190888425,0.05256793
220000,吉林省,2007,60,,,,,
220000,吉林省,2006,60,,,,,
220000,吉林省,2005,60,,,,,
220000,吉林省,2004,60,,,,,
220000,吉林省,2003,60,,,,,
220000,吉林省,2002,60,,,,,
220000,吉林省,2001,41,,,,,
220000,吉林省,2000,41,,,,,
230000,黑龙江省,2019,121,,,,,
230000,黑龙江省,2018,128,,,,,
230000,黑龙江省,2017,128,,,,,
230000,黑龙江省,2016,128,,,,,
230000,黑龙江省,2015,128,,,,,
230000,黑龙江省,2014,128,,0.1530558,392.8550981132,60.1287513258,0.27208573
230000,黑龙江省,2013,128,,0.15211156,354.3,53.89,0.24572
230000,黑龙江省,2012,128,122,0.14473,295.3,42.7,0.19607
230000,黑龙江省,2011,128,122,0.14187956,230.569943858016,32.71,0.157307
230000,黑龙江省,2010,128,121,0.140078,151.228379902626,21.183769,0.11816494
230000,黑龙江省,2009,128,121,0.137035,102.1,,0.075876
230000,黑龙江省,2008,128,121,0.13512026,,11.2122397596,0.07200896
230000,黑龙江省,2007,128,,,,,
230000,黑龙江省,2006,128,,,,,
230000,黑龙江省,2005,130,,,,,
230000,黑龙江省,2004,130,,,,,
230000,黑龙江省,2003,130,,,,,
230000,黑龙江省,2002,130,,,,,
230000,黑龙江省,2001,66,,,,,
230000,黑龙江省,2000,66,,,,,
310000,上海市,2019,16,,,,,
310000,上海市,2018,16,,,,,
310000,上海市,2017,16,,,,,
310000,上海市,2016,16,,,,,
310000,上海市,2015,16,,,,,
310000,上海市,2014,17,,0.00987377,1710.0493529827,16.884634,0.17072664
310000,上海市,2013,17,,0.01047096,1593.7,16.69,0.168344
310000,上海市,2012,17,9,0.01132,1232.5,14.0,0.15708
310000,上海市,2011,17,10,0.01472299,987.03785247426,14.53,0.192684
310000,上海市,2010,18,10,0.014895,757.658878818395,11.285329,0.2035177
310000,上海市,2009,18,10,0.016655,563.8,,0.15943
310000,上海市,2008,19,10,0.01774019,,9.526467,0.1561128
310000,上海市,2007,19,,,,,
310000,上海市,2006,19,,,,,
310000,上海市,2005,19,,,,,
310000,上海市,2004,19,,,,,
310000,上海市,2003,19,,,,,
310000,上海市,2002,19,,,,,
310000,上海市,2001,1,,,,,
310000,上海市,2000,3,,,,,
320000,江苏省,2019,96,,,,,
320000,江苏省,2018,96,,,,,
320000,江苏省,2017,96,,,,,
320000,江苏省,2016,96,,,,,
320000,江苏省,2015,97,,,,,
320000,江苏省,2014,99,,0.40761449,457.5253749934,186.49397239,1.57476338
320000,江苏省,2013,100,,0.40550694,394.6,160.0,1.444919
320000,江苏省,2012,102,81,0.40893,327.8,134.1,1.22716
320000,江苏省,2011,104,83,0.42655273,272.957453208657,116.43,0.969804
320000,江苏省,2010,105,86,0.437057,191.97249557838,83.902923,0.89566992
320000,江苏省,2009,106,88,0.439626,148.1,,0.832316
320000,江苏省,2008,106,90,0.4408553,,55.3866577469,0.70760848
320000,江苏省,2007,106,,,,,
320000,江苏省,2006,106,,,,,
320000,江苏省,2005,106,,,,,
320000,江苏省,2004,106,,,,,
320000,江苏省,2003,106,,,,,
320000,江苏省,2002,106,,,,,
320000,江苏省,2001,58,,,,,
320000,江苏省,2000,58,,,,,
330000,浙江省,2019,90,,,,,
330000,浙江省,2018,89,,,,,
330000,浙江省,2017,89,,,,,
330000,浙江省,2016,89,,,,,
330000,浙江省,2015,90,,,,,
330000,浙江省,2014,90,,0.13745549,523.9290405934,72.016923,0.52635461
330000,浙江省,2013,90,,0.22282731,665.9,148.38,1.271419
330000,浙江省,2012,90,81,0.28762,480.4,138.2,1.12316
330000,浙江省,2011,90,85,0.28832912,408.230618537593,117.7,0.945096
330000,浙江省,2010,90,85,0.29721,251.767595302984,74.827847,0.77584045
330000,浙江省,2009,90,86,0.303956,190.2,,0.590508
330000,浙江省,2008,90,86,0.30827475,,43.7466028,0.39767886
330000,浙江省,2007,90,,,,,
330000,浙江省,2006,90,,,,,
330000,浙江省,2005,90,,,,,
330000,浙江省,2004,90,,,,,
330000,浙江省,2003,90,,,,,
330000,浙江省,2002,88,,,,,
330000,浙江省,2001,59,,,,,
330000,浙江省,2000,62,,,,,
340000,安徽省,2019,105,,,,,
340000,安徽省,2018,105,,,,,
340000,安徽省,2017,105,,,,,
340000,安徽省,2016,105,,,,,
340000,安徽省,2015,105,,,,,
