省份编码,省份,年份,医疗卫生机构数(个),医院数(个),综合医院数(个),中医医院数(个),专科医院数(个),基层医疗卫生机构(个),社区卫生服务中心(站)数(个),街道卫生院数(个),乡镇卫生院数(个),村卫生室数(个),门诊部(所)数(个),专业公共卫生机构数(个),疾病预防控制中心数(个),专科疾病防治院(所/站)数(个),妇幼保健院(所/站)数(个),卫生监督所(中心)数(个)
110000,北京市,2019,10336,664,240,162,211,9416,1952,,,2449,5015,108,29,24,19,18
110000,北京市,2018,10058,648,248,159,193,9172,1951,,,2493,4728,110,29,24,20,18
110000,北京市,2017,9976,656,259,161,185,9090,1957,,,2696,4437,110,28,25,20,18
110000,北京市,2016,9773,638,272,154,169,8908,1915,,,2729,4264,112,29,25,20,18
110000,北京市,2015,9771,631,295,149,158,8912,1906,,,2768,4238,113,30,25,19,18
110000,北京市,2014,9638,608,296,144,144,8802,1896,,,2802,4104,117,32,26,19,18
110000,北京市,2013,9683,596,302,134,139,8857,1871,,,2888,4098,118,32,27,19,18
110000,北京市,2012,9632,573,301,123,132,8837,1846,,,2957,4034,118,32,28,19,18
110000,北京市,2011,9495,550,313,104,120,8718,1693,,,2968,4057,121,32,28,19,20
110000,北京市,2010,9411,544,321,90,122,8651,1583,,,2972,4096,114,31,27,19,20
110000,北京市,2009,9734,522,310,82,122,,1395,,116,3114,4377,,31,27,19,20
110000,北京市,2008,6497,529,325,79,118,,1282,,123,,4355,,31,26,19,
110000,北京市,2007,6210,,,,,,,,,,4188,,31,,18,
110000,北京市,2006,4877,,,,,,,,,,3902,,28,,18,
110000,北京市,2005,4818,,,,,,,,,,3841,,28,,18,
110000,北京市,2004,4835,,,,,,,,,2401,3942,,29,,19,
110000,北京市,2003,5073,,,,,,,,,2148,4204,,29,,19,
110000,北京市,2002,4998,,,,,,,,,,3896,,24,,19,
110000,北京市,2001,5969,,,,,,,,,3615,4863,,21,,9,
110000,北京市,2000,6176,,,,,,,,,,5061,,21,,8,
120000,天津市,2019,5962,441,284,55,98,5348,624,,138,2374,2207,95,23,14,19,17
120000,天津市,2018,5686,420,270,55,92,5101,601,,141,2511,1843,96,23,15,20,19
