省份编码,省份,年份,医疗卫生机构床位数(万张),城市医疗卫生机构床位数(万张),农村卫生机构床位数(万张),每万人医疗机构床位数(张),城市每万人医疗机构床位数(张),农村每万人医疗机构床位数(张),医院、卫生院床位数(万张),每万人医院和卫生院床位数(张),每万农业人口乡镇卫生院床位数(张)
110000,北京市,2019,12.7777,12.7777,,59.3318164933135,87.2241681597302,,,,
110000,北京市,2018,12.3626,12.3626,,57.3936861652739,86.9,,,,
110000,北京市,2017,12.0645,12.0645,,55.578845534,86.580713126,,,,
110000,北京市,2016,11.7041,11.7041,,53.861481822,86.364457109,,11.0021,,
110000,北京市,2015,11.1555,10.8907,0.2648,51.39599170698,84.3103035974497,36.8210937032871,,,
110000,北京市,2014,10.9811,10.7133,0.2678,51.0274163568773,84.5896808690393,37.4047944621909,,,
110000,北京市,2013,10.4011,10.1544,0.2467,49.182428598449,81.4529596003139,34.6635792147793,,,
110000,北京市,2012,10.0167,9.7601,0.2566,48.4062243270671,79.4096732357971,36.1466488985555,9.261,44.7542647272024,
110000,北京市,2011,9.4735,9.2247,0.2488,73.9588093111826,76.2306128297691,35.135635131681,8.7596,68.3854526882604,
110000,北京市,2010,9.2764,,,73.5,,,8.5775,68.0,
110000,北京市,2009,9.01,,,,,,8.4896,68.0085734894095,8.84451596243652
110000,北京市,2008,,,,69.9134936864998,,,8.1894,66.4572986658876,10.1879512452159
110000,北京市,2007,8.3925,,,,,,8.0238,,
110000,北京市,2006,8.144,,,,,,7.8588,,
110000,北京市,2005,7.9067,,,,,,7.5715,,
110000,北京市,2004,7.7141,,,,,,7.3593,63.0,
110000,北京市,2003,7.4134,,,,,,7.0823,61.4,
110000,北京市,2002,7.5293,,,,,,7.2,63.1,
110000,北京市,2001,7.3053,,,,,,7.0837,62.8,
110000,北京市,2000,7.1245,,,,,,6.9183,,
120000,天津市,2019,6.8262,6.4402,0.386,43.7064213134592,59.0444552712639,72.8301886792453,,,
120000,天津市,2018,6.8247,6.4091,0.4156,43.7480769230769,62.0,61.2,,,61.2
120000,天津市,2017,6.8409,6.4392,0.4017,43.936416185,63.856157533,59.678091243,6.43,,
120000,天津市,2016,6.5832,6.0521,0.5311,42.145966709,63.117153701,61.502509432,,,
120000,天津市,2015,6.3693,5.6257,0.7436,41.1732764472026,66.320311413219,40.1027700896758,,,
120000,天津市,2014,6.0869,5.3494,0.7375,40.1245880026368,64.1957607084839,40.0961655561161,,,11.0741793213409
120000,天津市,2013,5.7743,5.0781,0.6962,39.2243838817488,61.5961955212515,38.1821941105529,,,10.6426666666667
120000,天津市,2012,5.3509,4.6686,0.6823,37.8650532498319,57.2402209718234,37.7461619018799,4.8896,34.6007147153522,10.6402286324969
120000,天津市,2011,4.9423,4.2866,0.6557,49.4033078414944,52.2635445256357,36.3854695623367,4.4661,44.6432052183999,10.0586251152497
120000,天津市,2010,4.8828,,,49.3,,,4.408,44.5,9.6
120000,天津市,2009,4.6353,,,,,,4.1921,42.5848553094185,8.58377962533415
120000,天津市,2008,,,,47.2700601124406,,,4.1142,42.2283582999529,7.70803703290505
120000,天津市,2007,4.4335,,,,,,3.9668,,
120000,天津市,2006,4.36,,,,,,3.8893,,
120000,天津市,2005,4.1513,,,,,,3.9491,,
120000,天津市,2004,4.0969,,,,,,3.8876,41.4,
120000,天津市,2003,4.0095,,,,,,3.807,40.8,
120000,天津市,2002,4.009,,,,,,3.8,41.2,
120000,天津市,2001,4.1637,,,,,,4.0394,43.7,
120000,天津市,2000,4.0039,,,,,,3.8842,,
130000,河北省,2019,43.0079,17.6067,25.4012,56.6491964536214,67.2528120424972,47.4391093582451,,,13.3740219369687
130000,河北省,2018,42.1916,17.2918,24.8998,55.8385389094759,75.3,45.1,,,13.0
130000,河北省,2017,39.5036,16.1031,23.4005,52.53473626,77.989326676,40.566484646,,,
130000,河北省,2016,36.0485,14.8711,21.1774,48.257697456,80.400243573,36.094759524,,,
130000,河北省,2015,34.2096,13.3141,20.8955,46.0740317740797,84.1600305436543,34.3197598741885,,,
130000,河北省,2014,32.2909,12.5325,19.7584,43.7309046587216,92.0794414324791,31.6890028074624,,,12.3261156838765
130000,河北省,2013,30.3497,11.5897,18.76,41.3900371082057,87.1670268761176,30.3873041713589,,,11.9897516752069
130000,河北省,2012,28.4359,10.9032,17.5327,39.0064644851259,82.6261461676168,28.7563697933318,26.2793,36.0607395392939,11.8912352983708
130000,河北省,2011,26.6479,10.1484,16.4995,36.2814999123525,77.8466746366614,27.3119749424072,24.6281,33.5315131020234,11.7528651420462
130000,河北省,2010,24.9725,,,34.2,,,23.0053,31.5,11.5
130000,河北省,2009,23.2638,,,,,,21.3528,29.4759178818884,10.8563276050301
130000,河北省,2008,,,,29.9760918374485,,,19.7791,27.7101450266201,9.87893335520355
130000,河北省,2007,19.5637,,,,,,18.0302,,
130000,河北省,2006,17.3024,,,,,,16.3986,,
130000,河北省,2005,16.2061,,,,,,15.3981,,
130000,河北省,2004,15.7626,,,,,,14.7592,21.6,
130000,河北省,2003,15.792,,,,,,14.9587,22.1,
130000,河北省,2002,17.2013,,,,,,15.0,22.2,
130000,河北省,2001,17.2679,,,,,,15.1671,22.6,
130000,河北省,2000,16.8906,,,,,,14.8893,,
140000,山西省,2019,21.8441,10.9035,10.9406,58.5789755966747,108.36798214664,43.4420060589567,,,12.397763881129
140000,山西省,2018,20.8305,10.2839,10.5466,56.0260892953201,102.6,41.8,,,12.3
140000,山西省,2017,19.7525,9.5832,10.1693,53.356293895,96.43557098,40.196346245,,,
140000,山西省,2016,18.9689,9.3759,9.593,51.517925041,94.415366184,37.901901203,,,
140000,山西省,2015,18.3209,9.0445,9.2764,50.0008187504776,91.854442116163,36.847383851238,,,
140000,山西省,2014,17.7442,8.6466,9.0976,48.640899122807,87.5906641273958,35.9021848572622,,,12.2062713035043
140000,山西省,2013,17.262,8.4152,8.8468,47.556339192242,84.918671239552,34.9080713610186,,,12.2037671232877
140000,山西省,2012,16.5309,7.9475,8.5834,45.7772866626233,81.2601722194195,34.0260723580281,15.393,42.6300878191441,12.1425966509488
140000,山西省,2011,15.7132,7.3993,8.3139,44.9012664779235,75.7480908395617,32.9567416751415,14.5166,41.4819212479587,12.2025009264838
140000,山西省,2010,15.5885,,,44.9,,,14.3076,41.2,12.4
140000,山西省,2009,14.4517,,,,,,13.1122,37.841975912068,10.7068076517597
140000,山西省,2008,,,,37.1173479320516,,,11.8947,34.6919150458007,10.7020311366143
140000,山西省,2007,10.8742,,,,,,10.2765,,
140000,山西省,2006,11.2105,,,,,,10.645,,
140000,山西省,2005,10.798,,,,,,10.303,,
140000,山西省,2004,10.793,,,,,,10.2375,31.1,
140000,山西省,2003,10.3368,,,,,,9.8591,30.2,
140000,山西省,2002,10.358,,,,,,10.0,30.7,
140000,山西省,2001,11.0231,,,,,,10.4132,32.3,
140000,山西省,2000,11.188,,,,,,10.3351,,
150000,内蒙古自治区,2019,16.1083,7.902,8.2063,63.4294917229756,113.866979748752,47.5712862280156,,,12.8285897935243
150000,内蒙古自治区,2018,15.9006,7.8117,8.0889,62.7490134175217,113.0,46.6,,,12.9
150000,内蒙古自治区,2017,15.0325,7.4434,7.5891,59.440490312,105.125726897,43.902749016,,,
150000,内蒙古自治区,2016,13.9236,7.0018,6.9218,55.252380952,102.195872844,39.392849974,12.9678,51.56,
150000,内蒙古自治区,2015,13.3889,6.6214,6.7675,53.3201382694023,97.043453230915,38.4074029155348,,,
150000,内蒙古自治区,2014,12.9011,6.225,6.6761,51.5013972055888,91.5144292895569,37.5281590482066,,,13.1408970519443
150000,内蒙古自治区,2013,12.0065,5.7701,6.2364,48.0719567906919,92.9533406481136,33.7927135314881,,,12.3308011049724
150000,内蒙古自治区,2012,11.0788,5.3105,5.7683,44.4958531638452,86.4512545484381,31.2538977294314,9.9761,40.0670723135932,11.9895887458713
150000,内蒙古自治区,2011,10.0633,4.8344,5.2289,40.8093084461963,72.5315435097741,29.0589903227655,8.978,36.4081336370724,11.5717136953067
150000,内蒙古自治区,2010,9.335,,,38.1,,,8.3451,34.0,11.3
150000,内蒙古自治区,2009,8.739,,,,,,7.7666,31.5929997013419,10.6585429508883
150000,内蒙古自治区,2008,,,,33.2786215521069,,,7.3205,30.0508399210784,9.93061054841866
150000,内蒙古自治区,2007,7.39,,,,,,6.585,,
150000,内蒙古自治区,2006,6.9753,,,,,,6.4816,,
150000,内蒙古自治区,2005,6.9047,,,,,,6.3786,,
150000,内蒙古自治区,2004,6.6253,,,,,,6.1155,25.9,
150000,内蒙古自治区,2003,6.4898,,,,,,6.053,25.8,
150000,内蒙古自治区,2002,6.5115,,,,,,6.1,25.8,
150000,内蒙古自治区,2001,6.6682,,,,,,6.3071,27.2,
150000,内蒙古自治区,2000,6.691,,,,,,6.3163,,
210000,辽宁省,2019,31.3847,20.7427,10.642,72.1205505894248,103.371449960565,49.2876080534048,,,14.6190880304992
210000,辽宁省,2018,31.444,20.7897,10.6543,72.1358109658179,104.5,48.6,,,14.6
210000,辽宁省,2017,29.8609,20.1416,9.7193,68.347219043,111.175267152,40.185763626,,,
210000,辽宁省,2016,28.4384,19.0867,9.3517,64.957514847,99.533114719,40.731752509,,,
210000,辽宁省,2015,26.6986,17.593,9.1056,60.9223256663016,91.5353976847002,39.3590155059116,,,
210000,辽宁省,2014,25.5513,16.7506,8.8007,58.1901616943749,87.3295603101105,37.8453907399953,,,14.2950822990186
210000,辽宁省,2013,24.186,15.9056,8.2804,55.0933940774488,69.9446339076331,42.1608853969233,,,14.08935546875
210000,辽宁省,2012,23.0962,15.2052,7.891,52.6001367053999,79.6726072673666,33.775631021327,21.4126,48.7869674185464,13.5019801572817
210000,辽宁省,2011,21.5815,14.1951,7.3864,50.7205209401615,74.945011234281,31.2861724131388,19.8577,46.6692717685724,12.9909097318252
210000,辽宁省,2010,20.4208,,,48.0,,,18.7837,44.2,12.6
210000,辽宁省,2009,19.1492,,,,,,17.4368,40.9259851511866,11.9243865221954
210000,辽宁省,2008,,,,43.0914008148394,,,16.6501,39.2123457527467,10.8926703488824
210000,辽宁省,2007,17.9952,,,,,,16.5373,,
210000,辽宁省,2006,17.9415,,,,,,16.4943,,
210000,辽宁省,2005,17.7524,,,,,,16.1244,,
210000,辽宁省,2004,17.6886,,,,,,16.0553,38.5,
210000,辽宁省,2003,17.0636,,,,,,15.8215,38.0,
210000,辽宁省,2002,17.2131,,,,,,15.8,37.9,
210000,辽宁省,2001,18.7873,,,,,,16.9288,40.8,
210000,辽宁省,2000,19.0731,,,,,,17.2198,,
220000,吉林省,2019,17.0332,8.9466,8.0866,63.3032671431173,105.259404464428,47.1479165419954,,,9.87898867122858
220000,吉林省,2018,16.6994,8.6256,8.0738,61.7581360946746,101.9,46.4,,,10.4
220000,吉林省,2017,15.3657,8.0739,7.2918,56.553919764,80.296678181,43.560398361,14.52,,
220000,吉林省,2016,15.1195,7.9464,7.1731,55.321990487,94.26426212,40.104759574,,,
