年份,中国实际利用大洋洲及太平洋岛屿外商其他投资金额,中国实际利用澳大利亚外商其他投资金额,中国实际利用库克群岛外商其他投资金额,中国实际利用瓦努阿图外商其他投资金额,中国实际利用新西兰外商其他投资金额,中国实际利用萨摩亚外商其他投资金额,中国实际利用马绍尔群岛外商其他投资金额,中国实际利用其它太平洋岛屿外商其他投资金额,中国实际利用大洋洲其他国家(地区)外商其他投资金额
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,,,,,,,,,
2011,230.0,230.0,,,,,,,
2010,5915.0,115.0,,,,5800.0,,,
2009,,,,,,,,,
2008,,,,,,,,,
2007,7000.0,,,,,,,,
2006,213.0,213.0,,,,,,,
2005,18.0,18.0,,,,,,,
2004,129.0,129.0,,,,,,,
2003,305.0,,5.0,,133.0,167.0,,,
2002,0.0,,129.0,,,,,,
2001,24.0,24.0,,,,,,,
2000,,,,,,,,,
