年份,中国实际利用欧洲外商其他投资金额,中国实际利用比利时外商其他投资金额,中国实际利用丹麦外商其他投资金额,中国实际利用英国外商其他投资金额,中国实际利用德国外商其他投资金额,中国实际利用法国外商其他投资金额,中国实际利用爱尔兰外商其他投资金额,中国实际利用意大利外商其他投资金额,中国实际利用卢森堡外商其他投资金额,中国实际利用荷兰外商其他投资金额,中国实际利用希腊外商其他投资金额,中国实际利用葡萄牙外商其他投资金额,中国实际利用西班牙外商其他投资金额,中国实际利用奥地利外商其他投资金额,中国实际利用保加利亚外商其他投资金额,中国实际利用芬兰外商其他投资金额,中国实际利用匈牙利外商其他投资金额,中国实际利用冰岛外商其他投资金额,中国实际利用列支敦士登外商其他投资金额,中国实际利用马耳他外商其他投资金额,中国实际利用摩纳哥外商其他投资金额,中国实际利用挪威外商其他投资金额,中国实际利用波兰外商其他投资金额,中国实际利用罗马尼亚外商其他投资金额,中国实际利用圣马力诺外商其他投资金额,中国实际利用瑞典外商其他投资金额,中国实际利用瑞士外商其他投资金额,中国实际利用爱沙尼亚外商其他投资金额,中国实际利用拉脱维亚外商其他投资金额,中国实际利用立陶宛外商其他投资金额,中国实际利用亚美尼亚外商其他投资金额,中国实际利用白俄罗斯外商其他投资金额,中国实际利用俄罗斯外商其他投资金额,中国实际利用乌克兰外商其他投资金额,中国实际利用斯洛文尼亚外商其他投资金额,中国实际利用克罗地亚外商其他投资金额,中国实际利用捷克外商其他投资金额,中国实际利用斯洛伐克外商其他投资金额,中国实际利用欧洲其他国家(地区)外商其他投资金额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,9000.0,,,3000.0,,,,,,,,,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3338.0,,,,1900.0,808.0,,,,,,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1689.0,,,,,1353.0,,,,,,,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5475.0,,1508.0,,2017.0,,,,,1887.0,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7429.0,,,2247.0,1920.0,,,,,3262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,4941.0,300.0,,,4460.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2474.0,,,414.0,1756.0,,,,,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1793.0,,,642.0,151.0,441.0,,,,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1408.0,,,73.0,723.0,,,,,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,363.0,,,360.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4132.0,,1.0,1146.0,2942.0,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,
2002,2134.0,,1.0,2089.0,16.0,2102.0,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,
2001,1863.0,,3.0,,156.0,1702.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
2000,223.0,,,,84.0,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
