年份,中国实际利用拉丁美洲外商其他投资金额,中国实际利用安提瓜和巴布达外商其他投资金额,中国实际利用阿根廷外商其他投资金额,中国实际利用巴哈马外商其他投资金额,中国实际利用巴巴多斯外商其他投资金额,中国实际利用伯利兹外商其他投资金额,中国实际利用玻利维亚外商其他投资金额,中国实际利用巴西外商其他投资金额,中国实际利用开曼群岛外商其他投资金额,中国实际利用智利外商其他投资金额,中国实际利用哥伦比亚外商其他投资金额,中国实际利用多米尼克外商其他投资金额,中国实际利用哥斯达黎加外商其他投资金额,中国实际利用古巴外商其他投资金额,中国实际利用多米尼加共和国外商其他投资金额,中国实际利用厄瓜多尔外商其他投资金额,中国实际利用洪都拉斯外商其他投资金额,中国实际利用牙买加外商其他投资金额,中国实际利用墨西哥外商其他投资金额,中国实际利用巴拿马外商其他投资金额,中国实际利用巴拉圭外商其他投资金额,中国实际利用秘鲁外商其他投资金额,中国实际利用圣文森特和格林纳丁斯外商其他投资金额,中国实际利用特克斯和凯科斯岛外商其他投资金额,中国实际利用乌拉圭外商其他投资金额,中国实际利用委内瑞拉外商其他投资金额,中国实际利用维尔京群岛外商其他投资金额,中国实际利用圣其茨-尼维斯外商其他投资金额,中国实际利用拉美洲其他国家(地区)外商其他投资金额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,43191.0,,,,,,,,,,,,,,,,,,,,,,,,,,43191.0,,
2010,9732.0,,,,,,,,,,,,,,,,,,,50.0,,,,,,,9682.0,,
2009,16192.0,,,,,,,,,,,,,,,,,,,,,,,,,,16192.0,,
2008,1293.0,,,,,,,,,,,,,,,,,,,,,,,,,,1293.0,,
2007,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,
2006,11398.0,,,,,,,,2275.0,,,,,,,,,,,,,,,,,,9123.0,,
2005,11511.0,,,,,,,,,,,,,,,,,,,,,,,,,,11511.0,,
2004,21280.0,,,,,,,,,,,,,,,,,,,,,,,,,,10307.0,,10973.0
2003,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,784.0,,
2002,16969.0,,,,,,,,,,,,,,,,,,,,,,,,,,3720.0,,
2001,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,732.0,,
2000,923.0,,,,,,,,,,,,,,,,,,,,,,,,,,923.0,,
