年份,中国实际利用亚洲外商其他投资金额,中国实际利用阿富汗外商其他投资金额,中国实际利用巴林外商其他投资金额,中国实际利用孟加拉国外商其他投资金额,中国实际利用文莱外商其他投资金额,中国实际利用缅甸外商其他投资金额,中国实际利用柬埔寨外商其他投资金额,中国实际利用塞浦路斯外商其他投资金额,中国实际利用朝鲜外商其他投资金额,中国实际利用中国香港外商其他投资金额,中国实际利用印度外商其他投资金额,中国实际利用印度尼西亚外商其他投资金额,中国实际利用伊朗外商其他投资金额,中国实际利用伊拉克外商其他投资金额,中国实际利用以色列外商其他投资金额,中国实际利用日本外商其他投资金额,中国实际利用约旦外商其他投资金额,中国实际利用科威特外商其他投资金额,中国实际利用老挝外商其他投资金额,中国实际利用黎巴嫩外商其他投资金额,中国实际利用中国澳门外商其他投资金额,中国实际利用马来西亚外商其他投资金额,中国实际利用蒙古外商其他投资金额,中国实际利用尼泊尔外商其他投资金额,中国实际利用阿曼外商其他投资金额,中国实际利用巴基斯坦外商其他投资金额,中国实际利用巴勒斯坦外商其他投资金额,中国实际利用菲律宾外商其他投资金额,中国实际利用卡塔尔外商其他投资金额,中国实际利用沙特阿拉伯外商其他投资金额,中国实际利用新加坡外商其他投资金额,中国实际利用韩国外商其他投资金额,中国实际利用斯里兰卡外商其他投资金额,中国实际利用叙利亚外商其他投资金额,中国实际利用泰国外商其他投资金额,中国实际利用土耳其外商其他投资金额,中国实际利用阿联酋外商其他投资金额,中国实际利用也门外商其他投资金额,中国实际利用越南外商其他投资金额,中国实际利用中国台湾外商其他投资金额,中国实际利用哈萨克斯坦外商其他投资金额,中国实际利用塔吉克斯坦外商其他投资金额,中国实际利用乌兹别克斯坦外商其他投资金额,中国实际利用亚洲其他国家(地区)外商其他投资金额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11777.0,,,,,,,,,11777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,95279.0,,,,,,,,,88298.0,,,,,,6981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,117523.0,,,,,,,,,109534.0,,,,,,7500.0,,,,,,,,,,,,,,,,,,,,,,,,489.0,,,,
2011,105239.0,,,,,,,,,78795.0,,,,,1468.0,24976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,243721.0,,,,,,,,,67314.0,,,,,,163597.0,,,,,44.0,,,,,,,150.0,,,500.0,100.0,,,,,,,,12016.0,,,,
2009,115524.0,,,,,,,,,65272.0,700.0,,,,,22835.0,,,,,84.0,1600.0,,,,,,,,,248.0,2225.0,,,,,,,,22560.0,,,,
2008,194877.0,,,,,,,,,150548.0,347.0,,,,,24667.0,,,,,141.0,1387.0,,,,,,,,,185.0,1634.0,,,,,,,,15968.0,,,,
2007,249781.0,,,,,,,,,208811.0,436.0,,,,199.0,16003.0,,,,,832.0,600.0,,,,,,,,,168.0,2034.0,,,,,,,,20698.0,,,,
2006,210812.0,,,,,,,,,195077.0,63.0,,,,,11907.0,,,,,905.0,919.0,,,,,,,,,35.0,1232.0,,,,,,,,674.0,,,,
2005,240763.0,,,,10.0,,,,,184920.0,,,,,,11662.0,,,,,826.0,531.0,,,,,,5.0,,,551.0,1618.0,,,178.0,,,,,40462.0,,,,
2004,232647.0,,,,,,,,,180673.0,,,,,,6746.0,,,,,191.0,,,,,,,13.0,,,180.0,542.0,,,164.0,,,,,34061.0,,,,10071.0
2003,240559.0,,,,275.0,,,,,181596.0,,,,,,8828.0,,,,,1550.0,21.0,,,,,,,,,142.0,755.0,,,385.0,,,,,47007.0,,,,
2002,196401.0,,,,,,,,,130902.0,,,,,,16608.0,,,,,3335.0,,96.0,,,,,,,,214.0,793.0,,,,,,,,44453.0,,,,
2001,181004.0,,,,,,,,,121779.0,,,,,,16079.0,,,,,3244.0,,,,,,,,,,169.0,348.0,,,170.0,,,,,39215.0,,,,
2000,166146.0,,,,,,,,,122935.0,,,,,,14532.0,,,,,3511.0,,,,,,,,,,41.0,1081.0,,,2.0,,,,,24044.0,,,,
