年份,中国实际利用北美洲外商其他投资金额,中国实际利用加拿大外商其他投资金额,中国实际利用美国外商其他投资金额,中国实际利用百慕大外商其他投资金额,中国实际利用北美洲其他国家(地区)外商其他投资金额
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,2863.0,,2863.0,,
2011,1627.0,,1627.0,,
2010,663.0,,663.0,,
2009,3112.0,1180.0,1932.0,,
2008,6555.0,310.0,6245.0,,
2007,3364.0,310.0,3054.0,,
2006,1371.0,300.0,1071.0,,
2005,1315.0,,1315.0,,
2004,326.0,,326.0,,
2003,17253.0,,17253.0,,
2002,0.0,,13249.0,,
2001,10904.0,4.0,10900.0,,
2000,3434.0,3371.0,63.0,,
