年份,高等教育学校数,研究生培养机构学校数,普通高校研究生培养机构学校数,科研机构研究生培养机构学校数,普通高等学校学校数,本科院校学校数,专科院校学校数,职业技术学院学校数,其他机构(教学点)学校数_x,独立学院学校数,成人高等学校学校数,民办的其他高等教育机构学校数,中等教育学校数,高中阶段教育学校数,高中学校数,普通高中学校数,普通高中完全中学数,高级中学数,十二年一贯制普通高中学校数,成人高中学校数,中等职业教育学校数,普通中专学校数,成人中专学校数,职业高中学校数,技工学校学校数,其他机构(教学点)学校数_y,初中阶段教育学校数,普通初中学校数,初级中学数,九年一贯制普通初中学校数,十二年一贯制普通初中学校数,普通初中完全中学数,职业初中学校数,成人初中学校数,初等教育学校数,普通小学学校数,小学学校数,九年一贯制普通小学学校数,十二年一贯制普通小学学校数,成人小学学校数,扫盲班学校数,工读学校学校数,特殊教育学校数,学前教育学校数
2019,,828,593,235,2688,1265,1423,,21,257,268,782,77270,24375,14297,13964,5392,7003,1569,333,10078,3339,1032,3315,2392,286,52895,,35038,17366,,,11,480,166389,160148,160148,,,6241,3828,94,2192,281174
2018,,815,580,235,2663,1245,1418,,22,265,277,784,76746,24320,14091,13737,5412,6898,1427,354,10229,3322,1097,3431,2379,285,52426,,35275,16696,,,11,444,170209,161811,161811,,,8398,5211,92,2152,266677
2017,,815,578,237,2631,1243,1388,,24,265,282,800,77018,24618,13947,13555,5460,6780,1315,392,10671,3346,1218,3617,2490,312,52400,,35696,16183,,,15,506,176718,167009,167009,,,9709,6587,93,2107,254950
2016,,793,576,217,2596,1237,1359,,25,266,284,813,77398,24711,13818,13383,5479,6706,1198,435,10893,3398,1243,3726,2526,342,52687,,36471,15631,,,16,569,189435,177633,177633,,,11802,8289,89,2080,239812
2015,,792,575,217,2560,1219,1341,,28,275,292,813,78421,24945,13743,13240,5538,6628,1074,503,11202,3456,1294,3907,2545,486,53476,,37217,15166,,,22,1071,205283,190525,190525,,,14758,10747,86,2053,223683
2014,,788,571,217,2529,1202,1327,1186.0,31,283,295,799,79670,25677,13799,13253,5647,6619,987,546,11878,3536,1457,4067,2818,402,53993,,37958,14639,,,26,1370,219632,201377,201377,,,18255,12861,79,2000,209881
2013,,830,548,282,2491,1170,1321,,33,292,297,802,80797,26225,13963,13352,5861,6591,900,611,12262,3577,1536,4267,2882,451,54572,52764.0,38747,14017,,,40,1768,235369,213529,213529,,,21840,15104,78,1933,198553
2012,,811,534,277,2442,1145,1297,,36,303,348,823,81662,26868,14205,13509,6108,6547,854,696,12654,3681,1564,4517,2892,509,54794,53167.0,39592,13575,,,49,1578,255400,228585,228585,,,26815,18092,79,1853,181251
2011,2762.0,755,481,274,2409,1129,1280,1143.0,47,309,353,830,83810,27638,14545,13688,6357,6532,799,857,13083,3753,1614,4802,2914,642,56172,54063.0,40759,13304,,,54,2055,271804,241249,241249,,,30555,20179,76,1767,166750
2010,,797,481,316,2358,1112,1246,1113.0,56,323,365,836,85063,28584,14712,14058,7597,6461,,654,13862,3938,1720,5206,2998,2012,56479,54823.0,42121,12702,,,67,1589,290597,257410,,,,33187,22227,77,1706,150420
2009,,796,481,315,2305,1090,1215,1071.0,74,322,384,812,87639,29761,15360,14607,8131,6476,,753,14388,3789,1883,5652,3064,2390,57878,56167.0,43744,12423,,,153,1558,322094,280184,,,,41910,27850,72,1672,138209
2008,,796,479,317,2263,1079,1184,1036.0,77,322,400,866,90121,30806,15959,15206,8655,6551,,753,14847,3846,1983,5915,3075,2483,59315,57701.0,45811,11890,,,213,1401,349126,300854,,,,48272,34213,74,1640,133722
2007,,795,479,316,1908,740,1168,1015.0,425,,413,906,92267,31255,16423,15681,9130,6551,,742,14832,3801,2120,5916,2995,2868,61012,59109.0,47602,11507,,,275,1628,369063,320061,,,,49002,33024,76,1618,129086
2006,,767,450,317,1867,720,1147,981.0,428,,444,994,94116,31685,16992,16153,9659,6494,,839,14693,3698,2350,5765,2880,2502,62431,60550.0,49491,11059,,,335,1546,396567,341639,,,,54928,40397,74,1605,130495
2005,,766,450,316,1792,701,1091,921.0,428,,481,1077,96082,31532,17066,16092,9639,6453,,974,14466,3207,2582,5822,2855,2386,64550,61885.0,51991,9894,,,601,2064,427697,366213,,,,61484,43572,77,1593,124402
2004,,769,454,315,1731,684,1047,872.0,364,,505,1187,97144,31407,16953,15998,9837,6161,,955,14454,3047,2742,5781,2884,2295,65737,63060.0,53887,9173,,,697,1980,463635,394183,,,,69452,47239,76,1560,117899
2003,,,,,1552,,,,,,,,,,,15779,,,,,14682,3065,,,2970,,,63711.0,,,,,1019,,,425846,,,,,,,1551,116390
2002,,,,,1396,,,,,,,,,,,15406,,,,,15919,2953,,,3075,,,64661.0,,,,,984,,,456903,,,,,,,1540,111752
2001,,,,,1225,,,,,,,,,,,14907,,,,,17580,3260,,,3470,,,65525.0,,,,,1065,,,491273,,,,,,,1531,111706
2000,,,,,1041,,,,,,,,,,,14564,,,,,19727,3646,,,3792,,,62704.0,,,,,1194,,,553622,,,,,,,1539,175836
