年份,炼焦、燃气及石油加工业总投入,炼焦、燃气及石油加工业部门生产1单位总产出对中间投入产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对采矿业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对其他制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对化学工业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对金属产品制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对机械设备制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对建筑业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对金融业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对其他服务业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对增加值产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对劳动者报酬产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对生产税净额产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对固定资产折旧产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对营业盈余产品的消耗量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1.0,0.763985336487703,0.027518118003371,0.138074987900508,0.018716953313296,0.005797418925746,0.002418378884873,0.033535314677445,0.377327285018826,,0.005547556359664,0.012490314750484,0.01133708877463,0.000250573998557,,,,,0.02901486950394,0.236014663512297,0.066625442448334,0.073231097269744,0.028701674367373,0.067456449426846
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1.0,0.789529389883464,6.0851280173e-05,0.434903256126471,0.013011640600628,0.001958035046643,0.003003296782584,0.035374794960051,0.114187868040127,0.038896092554474,0.00708047474426,0.001520199156072,0.023586061304237,0.002590342711775,0.030078970660192,0.026384943084289,0.015392591458701,0.031833719521952,0.009666251850839,0.210470610116535,0.033980828302118,0.107461988389253,0.021870202160213,0.047157591264952
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1.0,0.811801499585926,4.4507994322e-05,0.611395473415408,0.005610473149999,0.000765335168193,0.001417289180697,0.016694692208734,0.075213235178097,0.023387817764164,0.006724994948691,0.000879705155041,0.012733735542343,0.001322447295998,0.018972440863962,0.012502032760067,0.00577832692344,0.01434019841788,0.00401879361889,0.188198500414074,0.038891508033672,0.096255930271088,0.024046475274318,0.029004586834997
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.0,0.801574996252953,2.2159881754e-05,0.622735272308689,0.004635925790022,0.000464203371903,0.001481047281706,0.018187050475694,0.060417050807571,0.018643061943759,0.003374598599728,0.003839450073122,0.017711779956464,0.000479967822053,0.022066759872648,0.01343776103938,0.004750385938013,0.005835697182498,0.003492823907948,0.198425003747047,0.032307823650345,0.106663839100422,0.023942985472457,0.035510355523822
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,1.0,0.820845460523649,2.8173247614e-05,0.61477962689352,0.005711515905979,0.001060719474799,0.001973807553594,0.02320453841072,0.059682773161563,0.018018653133964,0.003980062250028,0.005138813568216,0.023568307005472,0.000560532140926,0.028403442569345,0.016549692082544,0.005416949779941,0.007983618428704,0.004784234916717,0.179154539476351,0.05358356721141,0.048367398936114,0.035704806210957,0.04149876711787
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
