年份,运输仓储邮政、信息传输、计算机服务和软件业总投入,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对中间投入产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对采矿业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对其他制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对化学工业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对金属产品制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对机械设备制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对建筑业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对金融业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对其他服务业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对增加值产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对劳动者报酬产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对生产税净额产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对固定资产折旧产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对营业盈余产品的消耗量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1.0,0.590721926605624,0.006646877928785,0.000447672441941,0.012619162050818,0.003623167059966,0.015438312407547,0.007792535941225,0.07384909299899,0.010430346870704,0.001050870725376,0.003120876367323,0.11490592814515,0.006427667521043,0.163080624315547,0.039243475946461,0.038106368479289,0.071535279429489,0.022403667975971,0.409278073394376,0.215473995156281,-0.000322348443576,0.104171285378565,0.089955141303106
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1.0,0.600993430664502,0.009729593899814,0.000665862127952,0.01132724802227,0.003297042738067,0.01402162927697,0.011015554854349,0.112370209126749,0.011335103850028,0.001102399692272,0.005071937681339,0.108159215543005,0.00685997969671,0.147003802861446,0.034338495033225,0.030863819624178,0.07063899729819,0.023192539337936,0.399006569335498,0.168853769752653,0.014338152575245,0.091941709670773,0.123872937336827
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.0,0.571869564440056,0.017332966205973,0.00361840713074,0.006384004145209,0.006807968529749,0.013353440384059,0.016962439549865,0.136400091501142,0.014193019445193,0.001673942853919,0.008309457474405,0.114584668278499,0.004369216366374,0.08989820150027,0.035586527094995,0.028111081767259,0.048333635973166,0.025950496239241,0.428130435559944,0.157416106908904,0.034222218430795,0.086756339980157,0.149735770240088
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,1.0,0.505343496488619,0.008943219997398,0.003569579241456,0.00624206476168,0.006183878421372,0.009668744123047,0.014698878551628,0.140968442293107,0.010821844900408,0.001312387224037,0.005745009976085,0.109011145441831,0.003224995967702,0.072762864909712,0.028522956709747,0.019624960887263,0.040626219485324,0.023416303596822,0.494656503511381,0.122419735967392,0.041614861430211,0.126008866780646,0.204613039333132
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
